arbitro,n,amarillas_tot,rojas_tot
A Backhouse,59,4.32,0.068
A Davies,79,3.24,0.063
A Herczeg,35,3.71,0.143
A Kitchen,87,3.08,0.08
A Madley,120,3.5,0.117
A Marriner,40,3.42,0.125
A Taylor,147,3.78,0.136
A Woolmer,38,3.45,0.026
B Toner,41,4.05,0.146
C Kavanagh,122,3.78,0.139
C Pawson,121,3.86,0.107
D Bond,83,3.87,0.133
D Coote,74,4.28,0.122
D England,111,4.32,0.117
D Webb,149,3.06,0.107
D Whitestone,116,3.17,0.052
E Bell,20,4.6,0.1
F Hallam,44,3.61,0.023
G Eltringham,61,3.85,0.164
G Scott,51,3.45,0.157
G Ward,131,3.47,0.137
J Bell,67,3.61,0.134
J Brooks,99,4.3,0.131
J Busby,119,3.68,0.076
J Gillett,108,3.54,0.074
J Linington,108,4.1,0.12
J Moss,26,2.46,0.154
J Simpson,69,3.59,0.087
J Smith,137,3.8,0.146
K Friend,24,4.04,0.083
K Stroud,85,4.73,0.129
L Doughty,97,4.32,0.134
L Smith,63,3.65,0.095
M Atkinson,26,2.46,0.077
M Dean,27,3.22,0.074
M Donohue,148,4.09,0.149
M Oliver,139,3.37,0.151
M Salisbury,100,3.59,0.17
O Langford,125,3.62,0.128
P Bankes,108,4.11,0.102
P Tierney,106,3.59,0.123
R Jones,125,3.99,0.072
R Madley,69,4.04,0.232
R Ricardo,28,4.54,0.143
R Welch,16,4.19,0.125
S Allison,68,3.69,0.059
S Attwell,117,3.99,0.111
S Barrott,91,3.58,0.055
S Hooper,126,4.0,0.071
S Martin,119,4.07,0.084
T Bramall,112,3.64,0.143
T Harrington,89,3.56,0.124
T Kirk,40,3.97,0.125
T Nield,63,3.73,0.048
T Robinson,133,4.28,0.143
W Finnie,25,3.76,0.16
