equipo,liga,n,gf_casa,gc_casa,gf_fuera,gc_fuera,cor_f_casa,cor_c_casa,cor_f_fuera,cor_c_fuera,amar_casa,amar_fuera,ult6_gf,ult6_gc,desde,n12m,peso_ef,ultimo
Gimnasia L.P.,Primera Division,40,1.361,1.154,1.036,1.215,,,,,,,1.5,2.0,2025-09-14,38,20.9,2026-09-19
Argentinos Jrs,Primera Division,40,1.346,0.667,0.887,1.117,,,,,,,0.67,1.0,2025-09-14,38,21.3,2026-09-20
Velez Sarsfield,Primera Division,40,1.183,0.827,1.185,1.053,,,,,,,1.5,1.17,2025-08-17,35,20.3,2026-09-21
Aldosivi,Primera Division,40,1.033,0.94,0.844,1.557,,,,,,,1.5,1.67,2025-07-26,33,19.9,2026-09-21
Talleres Cordoba,Primera Division,40,1.024,1.062,0.937,1.19,,,,,,,1.0,1.67,2025-08-19,35,20.3,2026-09-20
Central Cordoba,Primera Division,40,1.048,1.053,0.697,1.267,,,,,,,0.67,1.5,2025-08-17,35,20.1,2026-09-18
Union de Santa Fe,Primera Division,40,1.51,1.088,1.187,1.441,,,,,,,2.0,1.5,2025-08-24,36,20.7,2026-09-19
Defensa y Justicia,Primera Division,40,1.203,0.973,1.012,1.392,,,,,,,1.33,0.83,2025-07-28,33,19.8,2026-09-18
Lanus,Primera Division,40,1.139,0.828,1.123,1.136,,,,,,,1.33,1.0,2025-08-09,34,20.2,2026-09-22
Racing Club,Primera Division,40,1.146,1.051,0.973,1.09,,,,,,,1.17,1.67,2025-09-19,39,21.0,2026-09-19
Rosario Central,Primera Division,40,1.173,0.859,1.105,1.006,,,,,,,1.17,0.83,2025-09-14,38,21.1,2026-09-20
River Plate,Primera Division,40,1.35,1.034,1.055,1.059,,,,,,,2.17,1.33,2025-09-13,38,21.5,2026-09-19
Patronato,Primera Division,40,1.16,0.914,0.914,1.162,,,,,,,1.17,0.83,2022-02-17,0,0.1,2022-10-23
Banfield,Primera Division,40,1.24,1.173,0.891,1.361,,,,,,,1.33,1.83,2025-07-29,33,19.8,2026-09-19
San Lorenzo,Primera Division,40,0.978,0.943,0.636,0.905,,,,,,,0.5,0.67,2025-08-16,35,20.3,2026-09-20
Arsenal Sarandi,Primera Division,40,1.151,0.916,0.896,1.163,,,,,,,0.5,0.67,2023-02-04,0,0.4,2023-11-26
Independiente,Primera Division,40,1.132,0.956,1.115,1.083,,,,,,,1.17,1.0,2025-08-09,35,20.3,2026-09-19
Newells Old Boys,Primera Division,40,1.137,0.959,0.871,1.351,,,,,,,1.17,0.5,2025-07-26,34,19.8,2026-09-20
Atl. Tucuman,Primera Division,40,0.954,0.814,0.869,1.21,,,,,,,0.67,0.67,2025-07-28,33,19.9,2026-09-21
Estudiantes L.P.,Primera Division,40,1.378,0.753,0.737,1.033,,,,,,,1.17,1.0,2025-08-30,37,20.4,2026-09-22
Huracan,Primera Division,40,1.042,0.802,0.928,0.966,,,,,,,1.0,1.0,2025-08-16,35,20.6,2026-09-19
Godoy Cruz,Primera Division,40,0.951,0.849,0.877,1.317,,,,,,,0.5,1.0,2024-11-01,7,6.3,2025-11-15
Boca Juniors,Primera Division,40,1.296,0.665,1.342,1.126,,,,,,,1.67,0.83,2025-08-31,37,20.6,2026-09-20
Colon Santa FE,Primera Division,40,1.162,0.915,0.913,1.161,,,,,,,1.17,1.5,2021-07-27,0,0.1,2022-06-15
Sarmiento Junin,Primera Division,40,1.284,0.924,0.986,1.575,,,,,,,1.5,1.33,2025-07-25,34,19.9,2026-09-19
Platense,Primera Division,40,0.864,1.252,0.863,1.176,,,,,,,0.83,1.17,2025-07-26,34,19.9,2026-09-20
Tigre,Primera Division,40,1.036,0.779,0.925,1.099,,,,,,,0.83,1.17,2025-08-16,35,20.1,2026-09-21
Barracas Central,Primera Division,40,0.894,0.959,0.787,0.889,,,,,,,0.33,0.83,2025-08-17,35,20.1,2026-09-21
Colon Santa Fe,Primera Division,40,1.169,0.916,0.901,1.172,,,,,,,1.0,1.17,2023-02-11,0,0.5,2023-12-01
Instituto,Primera Division,40,1.345,0.849,0.809,1.023,,,,,,,1.5,0.83,2025-07-26,33,19.9,2026-09-20
Belgrano,Primera Division,40,1.27,0.785,0.906,0.906,,,,,,,1.17,0.83,2025-08-31,38,21.4,2026-09-20
Ind. Rivadavia,Primera Division,40,1.731,1.145,0.897,1.079,,,,,,,1.5,1.5,2025-08-08,34,20.2,2026-09-21
Dep. Riestra,Primera Division,40,1.012,0.801,0.57,1.036,,,,,,,0.33,1.17,2025-08-11,34,19.9,2026-09-19
San Martin S.J.,Primera Division,32,1.035,0.936,0.795,1.152,,,,,,,0.83,0.83,2025-01-25,7,5.7,2025-11-15
Gimnasia Mendoza,Primera Division,26,1.298,0.849,0.937,1.348,,,,,,,1.83,1.17,2026-01-23,26,16.3,2026-09-19
Estudiantes Rio Cuarto,Primera Division,26,0.686,0.945,0.677,1.555,,,,,,,0.5,1.33,2026-01-26,26,16.4,2026-09-20
