equipo,liga,n,gf_casa,gc_casa,gf_fuera,gc_fuera,cor_f_casa,cor_c_casa,cor_f_fuera,cor_c_fuera,amar_casa,amar_fuera,ult6_gf,ult6_gc,desde,n12m,peso_ef,ultimo
Corinthians,Brasileirao,40,1.261,0.968,1.077,1.435,,,,,,,1.0,1.5,2025-10-01,40,21.5,2026-09-13
Fortaleza,Brasileirao,40,1.386,1.114,1.135,1.675,,,,,,,2.0,1.67,2024-12-05,16,8.7,2025-12-07
Bragantino,Brasileirao,40,1.47,1.085,1.012,1.422,,,,,,,1.0,1.5,2025-09-28,40,20.9,2026-09-13
Gremio,Brasileirao,40,1.642,1.162,0.775,1.533,,,,,,,1.0,1.5,2025-09-28,40,20.9,2026-09-12
Botafogo RJ,Brasileirao,40,1.602,1.28,1.098,1.551,,,,,,,0.67,1.5,2025-09-28,40,21.2,2026-09-13
Coritiba,Brasileirao,40,1.478,1.335,1.244,1.473,,,,,,,2.0,1.67,2023-10-08,27,17.8,2026-09-12
Atletico GO,Brasileirao,40,1.419,1.08,1.015,1.572,,,,,,,0.83,1.33,2022-11-10,0,2.1,2024-12-08
Sport Recife,Brasileirao,40,1.273,1.571,0.865,1.712,,,,,,,0.67,3.33,2021-12-07,17,8.7,2025-12-07
Internacional,Brasileirao,40,1.348,1.091,1.022,1.605,,,,,,,1.17,1.33,2025-10-04,40,21.5,2026-09-12
Athletico-PR,Brasileirao,40,1.658,0.941,1.274,1.543,,,,,,,2.17,2.0,2024-09-30,27,18.6,2026-09-12
Palmeiras,Brasileirao,40,1.644,0.783,1.516,1.148,,,,,,,1.5,0.83,2025-10-11,40,21.5,2026-09-12
Vasco,Brasileirao,40,1.429,1.321,0.949,1.683,,,,,,,1.0,1.67,2025-09-27,40,20.9,2026-09-12
Ceara,Brasileirao,40,1.319,1.069,0.902,1.354,,,,,,,0.67,1.67,2022-11-09,16,8.6,2025-12-07
Atletico-MG,Brasileirao,40,1.802,1.121,0.958,1.309,,,,,,,1.67,1.0,2025-10-04,40,20.9,2026-09-12
Santos,Brasileirao,40,1.488,1.135,1.414,1.577,,,,,,,1.67,1.0,2025-10-02,40,20.9,2026-09-13
Fluminense,Brasileirao,40,1.665,0.909,1.144,1.571,,,,,,,1.83,1.67,2025-10-09,40,21.5,2026-09-12
Flamengo RJ,Brasileirao,40,1.882,0.819,1.673,1.173,,,,,,,2.33,0.67,2025-10-05,40,22.0,2026-09-13
Bahia,Brasileirao,40,1.6,0.976,1.319,1.543,,,,,,,2.17,1.33,2025-10-05,40,21.8,2026-09-15
Goias,Brasileirao,40,1.49,1.084,1.069,1.515,,,,,,,0.5,1.17,2022-11-09,0,0.5,2023-12-06
Sao Paulo,Brasileirao,40,1.585,0.975,0.841,1.583,,,,,,,1.0,1.17,2025-09-30,40,20.9,2026-09-12
Cuiaba,Brasileirao,40,1.424,1.094,1.0,1.477,,,,,,,0.67,1.33,2023-12-03,0,2.1,2024-12-08
Chapecoense-SC,Brasileirao,40,1.403,1.743,0.948,1.688,,,,,,,1.5,1.83,2021-10-10,26,17.1,2026-09-12
America MG,Brasileirao,40,1.499,1.114,1.075,1.544,,,,,,,0.67,2.5,2022-11-10,0,0.5,2023-12-06
Juventude,Brasileirao,40,1.319,1.24,0.989,1.725,,,,,,,1.5,1.83,2024-12-04,16,8.8,2025-12-07
Avai,Brasileirao,38,1.512,1.078,1.07,1.518,,,,,,,1.0,1.33,2022-04-10,0,0.1,2022-11-12
Cruzeiro,Brasileirao,40,1.679,1.053,1.122,1.553,,,,,,,2.0,1.5,2025-10-03,40,21.5,2026-09-13
Criciuma,Brasileirao,38,1.453,1.132,1.054,1.569,,,,,,,0.67,2.5,2024-04-13,0,2.1,2024-12-08
Vitoria,Brasileirao,40,1.28,0.818,0.908,1.852,,,,,,,0.83,1.33,2025-10-02,40,21.8,2026-09-13
Mirassol,Brasileirao,40,1.538,1.324,0.968,1.54,,,,,,,1.17,2.0,2025-10-05,40,21.9,2026-09-13
Remo,Brasileirao,27,1.388,1.226,1.03,1.795,,,,,,,1.17,1.83,2026-01-28,27,17.6,2026-09-15
