equipo,liga,n,gf_casa,gc_casa,gf_fuera,gc_fuera,cor_f_casa,cor_c_casa,cor_f_fuera,cor_c_fuera,amar_casa,amar_fuera,ult6_gf,ult6_gc,desde,n12m,peso_ef,ultimo
M'gladbach,Bundesliga,40,1.732,1.527,1.138,1.878,4.734,4.226,4.309,5.632,2.073,1.635,1.5,1.67,2025-04-26,34,16.4,2026-09-05
Union Berlin,Bundesliga,40,1.727,1.62,1.186,1.953,5.21,4.139,4.226,5.918,2.101,1.814,2.17,2.17,2025-04-27,34,16.4,2026-09-05
Stuttgart,Bundesliga,40,1.948,1.153,1.959,2.088,6.226,4.272,4.67,5.26,1.751,1.946,2.33,2.17,2025-04-25,34,16.4,2026-09-04
Bielefeld,Bundesliga,34,1.725,1.466,1.463,1.729,5.501,4.197,4.194,5.51,1.822,1.98,0.67,2.33,2021-08-14,0,0.0,2022-05-14
Augsburg,Bundesliga,40,1.715,1.431,1.466,1.819,5.698,4.52,4.218,6.19,2.053,1.909,2.33,1.33,2025-04-26,34,16.4,2026-09-06
Wolfsburg,Bundesliga,40,1.401,1.636,1.458,2.001,5.602,5.034,4.024,7.221,1.899,1.971,1.17,1.0,2025-04-11,32,14.7,2026-05-16
Dortmund,Bundesliga,40,2.132,1.118,1.734,1.411,6.153,3.417,3.673,5.537,1.772,2.005,2.33,0.83,2025-04-26,34,16.3,2026-09-05
FC Koln,Bundesliga,40,1.8,1.685,1.268,2.06,5.258,4.644,4.662,5.984,1.76,2.03,1.5,3.0,2024-04-28,34,15.9,2026-09-04
Mainz,Bundesliga,40,1.425,1.412,1.691,1.498,6.271,3.866,4.102,5.415,1.723,2.095,2.17,1.33,2025-04-26,34,16.4,2026-09-06
RB Leipzig,Bundesliga,40,2.124,1.264,1.446,1.793,5.775,4.509,4.464,4.626,1.556,1.729,1.83,2.17,2025-04-26,34,16.4,2026-09-05
Bochum,Bundesliga,40,1.549,1.596,1.372,1.753,5.626,4.367,4.195,5.529,1.863,2.023,0.83,1.33,2024-04-13,0,3.6,2025-05-17
Ein Frankfurt,Bundesliga,40,1.664,1.703,1.715,1.993,5.77,4.131,3.888,5.543,1.805,2.009,1.67,2.5,2025-04-26,34,16.4,2026-09-06
Greuther Furth,Bundesliga,34,1.725,1.469,1.464,1.732,5.5,4.201,4.193,5.503,1.82,1.983,0.67,2.0,2021-08-14,0,0.0,2022-05-14
Hertha,Bundesliga,40,1.723,1.47,1.46,1.744,5.493,4.214,4.19,5.53,1.828,1.997,1.5,2.33,2022-04-09,0,0.2,2023-05-27
Leverkusen,Bundesliga,40,2.16,1.244,1.624,1.751,6.712,3.431,4.257,4.995,1.765,2.085,2.33,1.5,2025-04-26,34,16.4,2026-09-05
Freiburg,Bundesliga,40,1.994,1.369,1.228,1.762,4.861,4.104,3.915,5.01,1.595,1.791,2.0,1.67,2025-04-26,34,16.4,2026-09-05
Bayern Munich,Bundesliga,40,3.052,1.304,2.22,1.266,6.954,3.615,5.043,4.283,1.485,1.925,3.0,1.33,2025-04-26,34,16.3,2026-09-05
Hoffenheim,Bundesliga,40,1.883,1.468,1.634,1.985,6.23,4.167,5.044,5.154,2.0,2.277,1.67,2.33,2025-04-26,34,16.4,2026-09-05
Werder Bremen,Bundesliga,40,1.462,1.593,1.245,1.809,5.001,3.925,4.284,6.1,1.851,2.063,1.0,2.0,2025-04-27,34,16.4,2026-09-05
Schalke 04,Bundesliga,36,1.486,1.272,1.258,1.908,4.75,5.153,4.041,6.259,1.851,1.714,1.17,2.83,2022-08-07,2,2.1,2026-09-05
Heidenheim,Bundesliga,40,1.533,1.857,1.333,1.843,5.067,4.335,4.207,5.663,1.42,1.77,2.0,1.5,2025-04-13,32,14.7,2026-05-16
Darmstadt,Bundesliga,34,1.665,1.546,1.425,1.771,5.379,4.211,4.119,5.562,1.835,2.034,0.33,2.5,2023-08-20,0,0.8,2024-05-18
St Pauli,Bundesliga,40,1.27,1.654,1.066,1.719,5.606,4.476,3.892,5.627,1.824,1.687,0.67,2.5,2025-04-12,32,14.7,2026-05-16
Holstein Kiel,Bundesliga,34,1.678,1.66,1.457,1.834,5.093,4.507,3.998,5.944,1.904,2.04,1.67,2.0,2024-08-24,0,3.4,2025-05-17
Hamburg,Bundesliga,36,1.479,1.663,1.132,1.817,4.563,5.052,3.621,5.814,1.894,2.106,1.17,2.17,2025-08-24,34,15.8,2026-09-06
