equipo,liga,n,gf_casa,gc_casa,gf_fuera,gc_fuera,cor_f_casa,cor_c_casa,cor_f_fuera,cor_c_fuera,amar_casa,amar_fuera,ult6_gf,ult6_gc,desde,n12m,peso_ef,ultimo
Schalke 04,2. Bundesliga,40,1.698,1.107,1.27,1.412,5.289,3.966,4.541,5.421,2.03,2.328,1.83,1.17,2025-04-13,30,14.3,2026-05-17
Heidenheim,2. Bundesliga,40,2.316,1.734,1.282,1.704,5.362,5.376,4.215,5.573,1.994,2.233,2.5,2.0,2022-05-07,4,3.9,2026-09-06
Dresden,2. Bundesliga,40,1.653,1.199,1.405,2.016,5.399,4.972,5.253,5.765,1.941,2.044,1.33,2.17,2022-05-08,34,17.2,2026-09-05
Hansa Rostock,2. Bundesliga,40,1.616,1.376,1.308,1.649,5.331,4.764,4.732,5.504,2.143,2.479,0.5,2.17,2023-04-22,0,0.9,2024-05-19
Darmstadt,2. Bundesliga,40,1.638,1.269,1.229,1.754,5.2,5.549,4.656,5.766,1.956,2.154,0.5,1.67,2025-05-11,34,17.5,2026-09-05
Werder Bremen,2. Bundesliga,34,1.645,1.362,1.367,1.644,5.441,4.749,4.758,5.43,2.143,2.478,2.17,1.0,2021-07-24,0,0.0,2022-05-15
Nurnberg,2. Bundesliga,40,1.902,1.068,1.546,1.688,5.082,5.041,4.948,5.274,1.955,2.708,3.17,1.33,2025-05-09,34,17.5,2026-09-05
Sandhausen,2. Bundesliga,40,1.634,1.374,1.358,1.647,5.425,4.765,4.742,5.455,2.15,2.483,1.0,1.5,2022-04-10,0,0.2,2023-05-28
St Pauli,2. Bundesliga,40,1.522,1.379,1.521,1.709,5.667,4.421,4.815,5.06,2.114,2.56,1.83,1.5,2023-05-19,4,4.5,2026-09-04
Karlsruhe,2. Bundesliga,40,1.877,1.74,1.212,1.784,5.43,5.098,4.777,4.631,2.21,2.512,1.5,2.0,2025-05-11,34,17.5,2026-09-04
Paderborn,2. Bundesliga,40,1.901,1.536,1.405,1.412,5.615,4.736,4.453,4.694,1.679,2.56,2.0,2.33,2025-04-13,30,14.3,2026-05-17
Fortuna Dusseldorf,2. Bundesliga,40,1.589,1.444,0.948,1.648,4.976,4.076,4.473,5.177,2.283,2.503,1.17,1.67,2025-04-13,30,14.3,2026-05-17
Regensburg,2. Bundesliga,40,1.502,1.296,1.18,1.939,5.372,5.09,4.577,5.462,2.113,2.416,1.17,1.67,2023-04-23,0,3.4,2025-05-18
Hannover,2. Bundesliga,40,1.558,1.398,1.565,1.418,6.675,4.443,4.977,4.686,2.101,2.289,1.33,1.67,2025-05-11,34,17.5,2026-09-04
Ingolstadt,2. Bundesliga,34,1.641,1.365,1.363,1.646,5.429,4.751,4.748,5.44,2.146,2.479,0.83,1.83,2021-07-24,0,0.0,2022-05-15
Erzgebirge Aue,2. Bundesliga,34,1.642,1.366,1.362,1.648,5.43,4.757,4.748,5.44,2.144,2.477,1.0,2.33,2021-07-25,0,0.0,2022-05-15
Hamburg,2. Bundesliga,40,1.846,1.328,1.533,1.577,5.483,4.753,4.837,5.392,2.103,2.495,2.83,2.0,2024-04-14,0,3.5,2025-05-18
Holstein Kiel,2. Bundesliga,40,1.553,1.334,1.298,1.736,6.13,4.962,4.446,5.194,2.391,3.161,1.33,2.17,2024-05-11,34,17.3,2026-09-05
Kaiserslautern,2. Bundesliga,40,1.785,1.06,1.115,1.544,5.69,4.641,4.014,5.875,2.426,2.42,1.33,0.17,2025-05-11,34,17.5,2026-09-05
Magdeburg,2. Bundesliga,40,1.52,1.6,1.678,1.653,5.066,4.262,5.398,5.383,2.438,2.382,1.67,1.67,2025-05-10,34,17.5,2026-09-06
Greuther Furth,2. Bundesliga,40,1.564,1.636,1.434,1.848,4.761,4.778,4.973,6.021,1.893,1.943,1.83,1.83,2025-05-11,34,17.5,2026-09-06
Braunschweig,2. Bundesliga,40,1.415,1.62,1.383,1.715,5.265,5.632,4.637,5.625,2.162,2.385,2.0,2.0,2025-05-10,34,17.5,2026-09-06
Bielefeld,2. Bundesliga,40,1.938,1.258,1.185,1.909,5.965,4.311,5.385,5.153,2.032,1.818,2.17,1.83,2023-05-20,34,17.2,2026-09-04
Wehen,2. Bundesliga,34,1.607,1.382,1.341,1.636,5.404,4.837,4.724,5.517,2.116,2.484,0.83,2.0,2023-07-29,0,0.8,2024-05-19
Osnabruck,2. Bundesliga,38,1.586,1.513,1.477,1.74,5.134,5.408,4.417,5.422,1.873,2.612,1.67,2.0,2023-07-29,4,4.5,2026-09-06
Hertha,2. Bundesliga,40,1.513,1.191,1.759,1.681,5.077,5.468,4.778,5.456,2.098,2.681,2.5,2.0,2025-05-09,34,17.5,2026-09-06
Elversberg,2. Bundesliga,40,1.939,1.066,1.551,1.601,5.873,3.943,5.302,4.944,1.552,2.275,2.67,1.5,2025-04-12,30,14.3,2026-05-17
FC Koln,2. Bundesliga,34,1.701,1.272,1.303,1.526,5.659,4.657,5.044,5.259,2.002,2.507,1.83,0.83,2024-08-02,0,3.3,2025-05-18
Ulm,2. Bundesliga,34,1.565,1.353,1.262,1.657,5.295,4.623,4.554,5.484,2.214,2.375,1.33,2.17,2024-08-04,0,3.3,2025-05-18
Preußen Münster,2. Bundesliga,40,1.418,1.462,1.174,1.904,5.206,5.017,4.075,6.04,2.244,2.894,1.17,2.33,2025-04-13,30,14.4,2026-05-17
Bochum,2. Bundesliga,38,1.53,1.271,1.266,1.433,5.044,4.3,4.657,6.342,2.544,2.921,1.0,0.83,2025-08-02,34,17.2,2026-09-05
