equipo,liga,n,gf_casa,gc_casa,gf_fuera,gc_fuera,cor_f_casa,cor_c_casa,cor_f_fuera,cor_c_fuera,amar_casa,amar_fuera,ult6_gf,ult6_gc,desde,n12m,peso_ef,ultimo
Bournemouth,Championship,40,1.437,1.196,1.2,1.434,5.767,4.643,4.645,5.766,1.66,2.053,2.0,0.67,2021-09-14,0,0.1,2022-05-07
Stoke,Championship,40,1.52,1.234,0.946,1.646,5.793,4.298,5.068,5.618,1.671,2.285,1.67,1.5,2025-11-04,40,20.5,2026-09-12
Luton,Championship,40,1.33,1.08,1.15,1.625,6.128,4.465,4.545,5.839,1.6,2.004,1.5,1.33,2024-09-27,0,3.9,2025-05-03
Preston,Championship,40,1.197,1.53,1.104,1.545,6.206,5.607,3.974,5.951,1.934,2.035,0.83,1.83,2025-11-05,40,20.5,2026-09-12
QPR,Championship,40,1.503,1.35,1.072,1.307,5.981,4.234,4.735,5.812,1.597,1.945,0.83,0.67,2025-11-05,40,20.5,2026-09-12
Sheffield United,Championship,40,1.566,1.383,1.289,1.261,5.926,4.936,4.525,6.673,1.409,2.098,1.33,1.5,2025-11-04,40,20.6,2026-09-13
Bristol City,Championship,40,1.262,1.316,1.279,1.488,5.573,5.31,4.626,5.352,1.519,1.939,1.67,1.67,2025-11-04,40,20.5,2026-09-15
Derby,Championship,40,1.278,1.316,1.356,1.501,6.386,4.419,3.954,6.183,1.96,2.319,0.83,1.83,2025-11-04,40,20.5,2026-09-12
Blackburn,Championship,40,1.206,1.138,1.087,1.421,5.539,4.815,5.309,5.36,2.166,2.423,1.33,1.33,2025-11-08,40,20.6,2026-09-12
Cardiff,Championship,40,1.317,1.229,1.048,1.628,6.837,4.717,5.241,5.199,1.432,2.081,1.0,1.67,2024-11-06,7,10.0,2026-09-12
Coventry,Championship,40,1.854,1.014,1.591,1.173,5.649,3.892,4.655,5.093,1.39,1.683,2.17,0.5,2025-09-27,40,15.9,2026-05-02
Fulham,Championship,40,1.442,1.197,1.202,1.435,5.774,4.642,4.648,5.761,1.656,2.05,2.0,1.33,2021-09-15,0,0.1,2022-05-07
Swansea,Championship,40,1.489,0.959,1.293,1.492,5.414,4.856,4.218,5.819,1.78,1.912,1.5,0.67,2025-11-05,40,20.5,2026-09-12
West Brom,Championship,40,1.394,1.078,1.058,1.369,5.725,3.828,4.277,6.02,1.657,2.048,1.33,1.0,2025-11-04,40,20.5,2026-09-12
Reading,Championship,40,1.432,1.196,1.188,1.447,5.739,4.645,4.637,5.769,1.664,2.052,0.67,1.33,2022-08-30,0,0.2,2023-05-08
Nott'm Forest,Championship,40,1.441,1.196,1.199,1.433,5.773,4.636,4.645,5.768,1.66,2.051,2.0,0.5,2021-09-15,0,0.1,2022-05-07
Middlesbrough,Championship,40,1.782,1.18,1.445,1.314,7.492,4.187,5.232,5.176,1.203,1.855,2.0,1.5,2025-11-04,40,20.6,2026-09-15
Hull,Championship,40,1.449,1.31,1.353,1.366,5.032,4.667,4.725,6.798,1.977,2.524,1.17,1.33,2025-09-27,40,16.0,2026-05-02
Huddersfield,Championship,40,1.417,1.227,1.176,1.463,5.793,4.726,4.594,5.829,1.668,2.057,0.67,2.0,2023-09-20,0,0.9,2024-05-04
Blackpool,Championship,40,1.433,1.205,1.191,1.441,5.738,4.651,4.646,5.786,1.656,2.044,1.0,1.33,2022-08-31,0,0.2,2023-05-08
Birmingham,Championship,40,1.531,1.162,1.08,1.368,6.199,4.163,5.196,5.233,1.76,1.848,1.67,1.5,2025-11-04,40,20.5,2026-09-12
Barnsley,Championship,40,1.434,1.199,1.196,1.439,5.759,4.65,4.642,5.769,1.657,2.05,0.5,2.33,2021-09-15,0,0.1,2022-05-07
Peterboro,Championship,40,1.435,1.2,1.196,1.44,5.761,4.645,4.643,5.771,1.659,2.049,1.67,1.0,2021-09-14,0,0.1,2022-05-07
Millwall,Championship,40,1.684,1.063,1.341,1.478,5.941,4.758,5.021,6.603,1.289,2.169,1.83,2.17,2025-11-04,40,20.5,2026-09-15
Wigan,Championship,40,1.424,1.201,1.19,1.434,5.736,4.617,4.647,5.774,1.659,2.047,0.67,0.83,2022-09-03,0,0.2,2023-05-08
Rotherham,Championship,40,1.403,1.193,1.149,1.527,5.622,4.88,4.533,5.814,1.645,2.038,0.83,1.33,2023-09-20,0,1.0,2024-05-04
Sunderland,Championship,40,1.372,1.125,1.13,1.367,5.994,4.195,4.64,5.676,1.721,2.153,0.17,1.17,2024-09-28,0,3.9,2025-05-03
Watford,Championship,40,1.266,1.267,0.974,1.599,5.309,5.3,4.484,5.922,2.016,2.256,0.83,1.33,2025-11-04,40,20.6,2026-09-12
Norwich,Championship,40,1.554,1.125,1.514,1.504,5.923,4.378,4.787,5.212,2.036,2.157,2.0,1.83,2025-11-05,40,20.5,2026-09-12
Burnley,Championship,40,1.44,1.184,1.209,1.697,5.631,4.549,4.709,4.71,1.693,2.102,1.0,2.33,2024-11-07,7,10.0,2026-09-12
Sheffield Weds,Championship,40,1.046,1.486,0.772,1.802,5.146,5.334,3.949,5.949,1.662,1.698,0.83,1.33,2025-09-27,40,16.0,2026-05-02
Plymouth,Championship,40,1.521,1.336,1.046,1.58,5.1,4.842,4.109,6.213,1.592,2.036,1.5,1.67,2024-09-27,0,3.9,2025-05-03
Leicester,Championship,40,1.384,1.471,1.131,1.422,5.866,5.349,4.702,5.96,1.647,2.034,0.83,1.0,2025-09-26,40,15.9,2026-05-02
Leeds,Championship,40,1.789,1.013,1.279,1.291,6.319,4.115,5.056,5.127,1.558,1.921,2.67,0.33,2024-09-28,0,3.9,2025-05-03
Ipswich,Championship,40,1.636,0.907,1.482,1.374,6.175,4.065,5.004,4.891,1.55,2.348,1.5,1.17,2025-09-30,40,16.2,2026-05-02
Southampton,Championship,40,2.185,0.974,1.624,1.414,5.933,4.85,5.341,5.37,1.471,1.897,2.83,1.0,2025-11-05,40,20.6,2026-09-12
Oxford,Championship,40,1.228,1.114,0.972,1.408,5.226,5.247,3.964,7.487,1.454,2.029,1.33,1.17,2025-09-27,40,15.9,2026-05-02
Portsmouth,Championship,40,1.247,1.136,1.212,1.631,6.25,4.56,5.144,5.634,1.423,1.76,1.17,1.33,2025-11-01,40,20.1,2026-09-12
Charlton,Championship,40,1.044,1.027,1.035,1.579,5.584,4.939,3.81,6.759,1.69,2.191,0.67,1.0,2025-11-04,40,20.6,2026-09-12
Wrexham,Championship,40,1.549,1.413,1.156,1.464,5.383,4.443,4.438,5.748,1.447,1.626,1.0,1.67,2025-11-05,40,20.6,2026-09-11
Wolves,Championship,6,1.804,1.265,1.5,1.553,5.828,4.251,5.184,5.359,1.506,1.646,2.33,1.67,2026-08-14,6,5.6,2026-09-13
Bolton,Championship,7,1.363,1.219,1.031,1.733,5.929,4.628,4.882,5.718,1.703,1.927,0.83,1.83,2026-08-15,7,6.5,2026-09-12
Lincoln,Championship,7,1.192,1.234,1.122,1.062,5.724,4.873,4.195,8.235,1.871,2.33,0.83,0.67,2026-08-15,7,6.6,2026-09-15
West Ham,Championship,7,2.25,1.113,1.456,1.509,5.553,5.078,5.38,5.205,1.495,2.24,3.0,1.17,2026-08-16,7,6.5,2026-09-11
