equipo,liga,n,gf_casa,gc_casa,gf_fuera,gc_fuera,cor_f_casa,cor_c_casa,cor_f_fuera,cor_c_fuera,amar_casa,amar_fuera,ult6_gf,ult6_gc,desde,n12m,peso_ef,ultimo
Go Ahead Eagles,Eredivisie,40,2.051,1.358,1.444,1.989,6.119,4.561,4.614,6.44,1.128,1.713,2.5,2.17,2025-08-08,35,18.6,2026-09-12
Waalwijk,Eredivisie,40,1.74,1.512,1.377,1.926,5.51,4.923,4.501,5.978,1.312,1.603,1.67,3.0,2024-04-07,0,3.5,2025-05-18
Heracles,Eredivisie,40,1.415,1.743,1.049,2.383,5.371,4.892,4.4,6.077,1.353,2.24,0.33,2.5,2025-04-13,29,13.9,2026-05-17
For Sittard,Eredivisie,40,1.625,1.826,1.551,1.903,4.846,6.683,3.508,6.156,1.42,2.005,2.0,2.33,2025-08-08,36,18.6,2026-09-12
Ajax,Eredivisie,40,1.79,1.411,1.94,1.277,5.122,4.057,5.079,5.624,1.507,1.905,2.33,1.0,2025-05-18,34,17.8,2026-09-12
Zwolle,Eredivisie,40,1.298,1.806,1.415,2.305,4.81,5.793,3.92,6.319,1.287,1.563,1.0,2.83,2025-08-10,36,18.6,2026-09-13
Utrecht,Eredivisie,40,1.764,1.637,1.544,1.8,4.981,5.373,4.639,4.979,1.649,1.59,1.83,3.17,2025-08-10,35,18.7,2026-09-13
Cambuur,Eredivisie,40,1.676,2.094,1.439,1.938,4.809,5.191,4.518,5.487,1.109,2.019,1.5,3.0,2022-08-06,6,5.7,2026-09-12
Willem II,Eredivisie,40,1.459,1.893,1.228,1.885,5.392,5.014,3.894,6.456,1.273,1.554,1.0,2.5,2022-05-15,5,7.9,2026-09-11
Nijmegen,Eredivisie,40,1.886,1.6,1.834,1.666,6.203,3.59,5.054,4.806,1.429,1.897,1.83,2.0,2025-08-09,35,18.7,2026-09-12
Heerenveen,Eredivisie,40,1.607,1.325,1.477,1.782,5.716,4.477,4.731,6.099,1.394,1.444,1.17,1.5,2025-08-09,35,18.6,2026-09-13
PSV Eindhoven,Eredivisie,40,2.869,1.446,2.27,1.373,7.068,4.252,5.96,4.267,1.175,1.737,3.67,1.17,2025-08-09,35,18.6,2026-09-13
Sparta Rotterdam,Eredivisie,40,1.547,1.57,1.292,2.06,5.726,5.694,4.538,6.409,1.406,1.777,1.67,2.17,2025-08-09,35,18.6,2026-09-13
Groningen,Eredivisie,40,1.731,1.403,1.478,1.761,6.294,4.422,4.648,5.677,1.279,1.646,2.0,2.17,2025-08-10,35,18.6,2026-09-12
Feyenoord,Eredivisie,40,2.008,1.465,2.113,1.31,6.972,3.888,5.429,4.276,1.039,1.674,3.33,1.17,2025-08-09,36,18.6,2026-09-13
Twente,Eredivisie,40,1.815,0.968,1.7,1.605,6.323,3.69,5.101,5.276,0.997,1.471,2.0,0.83,2025-08-10,35,18.7,2026-09-12
Vitesse,Eredivisie,40,1.721,1.447,1.395,1.812,5.637,4.641,4.593,5.66,1.328,1.728,1.33,2.5,2023-04-16,0,0.9,2024-05-19
AZ Alkmaar,Eredivisie,40,2.15,1.364,1.533,1.514,6.376,4.47,5.805,4.756,1.063,1.787,2.83,1.0,2025-08-10,36,18.7,2026-09-11
Excelsior,Eredivisie,40,1.487,1.419,1.737,1.616,4.741,4.285,4.541,5.691,1.322,1.37,2.17,1.17,2025-08-09,35,18.7,2026-09-13
FC Emmen,Eredivisie,34,1.751,1.427,1.422,1.777,5.591,4.576,4.56,5.668,1.294,1.711,1.33,3.17,2022-08-06,0,0.2,2023-05-28
Volendam,Eredivisie,40,1.525,1.415,1.029,1.784,5.121,4.979,3.764,6.6,1.705,1.422,0.83,1.17,2024-04-07,29,13.3,2026-05-17
Almere City,Eredivisie,40,1.55,1.549,1.256,1.75,5.569,4.661,4.364,5.845,1.293,1.723,0.5,2.0,2024-04-07,0,3.5,2025-05-18
NAC Breda,Eredivisie,40,1.441,1.393,1.13,1.935,6.028,4.188,5.08,5.296,1.369,1.656,1.0,1.33,2025-04-12,29,13.9,2026-05-17
Telstar,Eredivisie,40,1.699,1.726,1.168,1.527,5.41,5.039,4.059,6.939,1.253,1.519,0.83,1.83,2025-08-10,35,18.7,2026-09-13
Den Haag,Eredivisie,6,1.707,1.91,1.17,1.949,5.106,3.718,4.224,7.03,0.992,1.934,1.0,2.67,2026-08-08,6,5.5,2026-09-12
