equipo,liga,n,gf_casa,gc_casa,gf_fuera,gc_fuera,cor_f_casa,cor_c_casa,cor_f_fuera,cor_c_fuera,amar_casa,amar_fuera,ult6_gf,ult6_gc,desde,n12m,peso_ef,ultimo
Valencia,LaLiga,40,1.226,1.402,1.094,1.43,5.165,3.927,4.342,5.256,1.831,2.176,0.33,1.67,2025-09-20,40,19.9,2026-09-15
Osasuna,LaLiga,40,1.351,1.202,1.041,1.837,5.106,3.903,3.206,5.796,2.344,2.27,0.83,2.0,2025-09-20,40,19.9,2026-09-16
Alaves,LaLiga,40,1.605,1.198,1.163,1.653,5.521,4.355,4.297,5.853,2.213,2.561,1.83,1.0,2025-09-20,40,19.9,2026-09-15
Mallorca,LaLiga,40,1.655,1.101,0.953,1.726,4.828,5.05,3.68,6.122,1.933,2.3,1.17,1.33,2025-05-18,34,15.5,2026-05-23
Cadiz,LaLiga,40,1.495,1.152,1.126,1.582,5.438,4.158,4.261,5.484,2.097,2.285,0.67,1.67,2023-05-28,0,0.9,2024-05-25
Barcelona,LaLiga,40,2.686,0.918,2.071,1.306,7.491,4.077,5.084,4.608,1.579,2.018,4.67,1.0,2025-09-21,40,19.9,2026-09-16
Celta,LaLiga,40,1.467,1.427,1.061,1.118,4.465,4.086,3.443,5.474,1.487,2.339,0.5,1.0,2025-09-14,39,19.9,2026-09-13
Sevilla,LaLiga,40,1.336,1.191,1.203,1.556,4.729,3.816,4.571,4.931,2.595,2.643,1.5,1.0,2025-09-20,40,19.9,2026-09-16
Villarreal,LaLiga,40,2.035,1.351,1.325,1.479,5.475,4.497,4.458,5.314,1.777,2.14,1.67,1.83,2025-09-20,40,20.0,2026-09-17
Elche,LaLiga,40,1.531,1.571,1.111,1.792,5.09,4.02,3.788,5.27,2.251,2.264,1.33,2.67,2025-09-21,40,19.9,2026-09-15
Betis,LaLiga,40,1.574,0.866,1.338,1.678,5.006,4.597,4.29,5.739,1.895,1.892,1.33,1.0,2025-09-14,39,19.9,2026-09-17
Granada,LaLiga,40,1.525,1.201,1.133,1.62,5.426,4.304,4.18,5.505,2.039,2.306,0.83,3.0,2022-05-15,0,0.9,2024-05-24
Ath Bilbao,LaLiga,40,1.365,1.169,1.155,1.762,6.165,3.905,4.839,5.011,2.13,2.095,1.5,1.67,2025-09-13,39,19.1,2026-09-12
Espanol,LaLiga,40,1.287,1.177,1.18,1.587,4.605,4.541,4.247,5.087,2.258,2.663,1.5,1.17,2025-09-20,40,19.9,2026-09-15
Ath Madrid,LaLiga,40,1.928,0.985,1.369,1.531,6.502,3.624,4.735,5.462,1.977,2.148,2.33,1.0,2025-09-21,40,19.9,2026-09-16
Sociedad,LaLiga,40,1.627,1.437,1.235,1.733,6.151,4.163,4.774,4.917,2.179,2.459,1.0,1.83,2025-09-19,40,19.9,2026-09-13
Levante,LaLiga,40,1.741,1.413,0.941,1.592,5.403,4.43,3.857,6.01,1.971,2.062,1.33,1.83,2025-09-14,39,19.3,2026-09-13
Getafe,LaLiga,40,1.177,0.956,0.72,1.312,4.67,4.314,4.052,5.081,2.279,3.007,0.5,1.17,2025-09-21,40,19.9,2026-09-17
Vallecano,LaLiga,40,1.56,1.023,1.081,1.911,6.126,4.885,4.314,6.045,2.195,2.741,1.67,2.5,2025-09-21,40,20.0,2026-09-15
Real Madrid,LaLiga,40,2.398,0.979,1.394,1.267,6.365,4.053,5.658,4.427,1.776,2.159,2.83,1.0,2025-09-20,40,19.9,2026-09-15
Valladolid,LaLiga,40,1.313,1.319,1.086,1.908,5.219,4.532,4.234,5.238,2.101,2.234,0.5,2.33,2023-05-28,0,3.7,2025-05-24
Almeria,LaLiga,40,1.525,1.216,1.174,1.575,5.416,4.265,4.219,5.603,2.025,2.302,2.0,1.83,2023-05-28,0,0.9,2024-05-25
Girona,LaLiga,40,1.311,1.277,1.046,1.461,4.958,4.019,4.012,6.024,2.118,2.048,0.67,1.17,2025-05-18,34,15.5,2026-05-23
Las Palmas,LaLiga,40,1.425,1.257,1.106,1.554,5.467,4.205,3.983,5.673,2.19,2.419,0.33,1.5,2024-05-19,0,3.8,2025-05-24
Leganes,LaLiga,38,1.501,1.226,1.092,1.551,4.85,4.611,4.03,5.853,2.004,2.296,1.67,1.33,2024-08-17,0,3.7,2025-05-24
Oviedo,LaLiga,38,0.967,0.997,1.025,1.96,5.047,4.405,3.724,5.822,2.139,2.054,0.17,1.83,2025-08-15,34,15.2,2026-05-23
Santander,LaLiga,6,1.796,1.322,1.233,2.26,5.318,5.624,4.139,7.521,2.008,2.291,1.83,2.67,2026-08-16,6,5.6,2026-09-16
La Coruna,LaLiga,6,1.472,1.116,1.331,1.48,4.914,4.476,4.179,5.526,1.895,2.283,1.5,1.17,2026-08-17,6,5.6,2026-09-16
Malaga,LaLiga,6,1.264,1.232,0.909,1.792,5.527,4.618,4.188,5.406,1.896,2.18,0.5,1.83,2026-08-19,6,5.7,2026-09-17
