equipo,liga,n,gf_casa,gc_casa,gf_fuera,gc_fuera,cor_f_casa,cor_c_casa,cor_f_fuera,cor_c_fuera,amar_casa,amar_fuera,ult6_gf,ult6_gc,desde,n12m,peso_ef,ultimo
Zaragoza,LaLiga Hypermotion,40,1.132,1.313,0.95,1.383,5.09,4.717,4.673,5.078,2.648,3.115,0.33,1.67,2025-08-30,36,16.1,2026-05-31
Huesca,LaLiga Hypermotion,40,1.214,1.163,1.037,1.763,5.106,5.021,4.093,5.386,2.792,2.362,0.83,1.33,2025-09-01,36,16.1,2026-05-31
Sociedad B,LaLiga Hypermotion,40,1.166,1.214,1.333,1.423,4.521,4.176,4.047,6.066,2.749,2.767,1.33,1.17,2025-10-11,40,20.2,2026-09-19
Girona,LaLiga Hypermotion,40,1.738,1.329,1.333,1.313,5.312,4.162,3.58,4.391,2.644,3.032,2.0,1.33,2021-10-09,6,5.6,2026-09-19
Ponferradina,LaLiga Hypermotion,40,1.456,1.169,1.169,1.466,5.184,4.16,4.131,5.214,2.474,2.603,1.83,1.67,2022-08-28,0,0.2,2023-05-28
Fuenlabrada,LaLiga Hypermotion,40,1.467,1.171,1.168,1.472,5.195,4.158,4.156,5.194,2.466,2.595,1.33,2.17,2021-08-29,0,0.1,2022-05-27
Oviedo,LaLiga Hypermotion,40,1.121,0.897,1.301,1.277,5.643,3.929,3.722,4.892,2.396,2.556,0.83,0.67,2024-10-13,6,9.1,2026-09-20
Sp Gijon,LaLiga Hypermotion,40,1.298,0.948,1.342,1.387,4.759,4.477,3.985,5.767,2.058,2.641,0.83,0.67,2025-10-12,40,20.2,2026-09-19
Las Palmas,LaLiga Hypermotion,40,1.511,0.896,1.273,1.536,4.935,4.241,4.357,4.629,2.065,1.759,1.33,1.33,2025-10-10,40,20.2,2026-09-20
Malaga,LaLiga Hypermotion,40,1.806,1.199,1.561,1.379,4.588,4.155,4.318,5.284,2.273,2.42,2.5,1.33,2025-08-31,36,16.1,2026-05-31
Cartagena,LaLiga Hypermotion,40,1.268,1.207,1.137,1.715,4.95,4.414,3.755,5.431,2.333,2.598,1.33,2.0,2024-09-01,0,3.9,2025-06-01
Almeria,LaLiga Hypermotion,40,2.129,1.122,1.185,1.459,4.903,4.328,3.891,5.489,2.093,2.73,1.67,0.67,2025-10-11,40,20.2,2026-09-20
Valladolid,LaLiga Hypermotion,40,1.125,1.153,0.963,1.631,5.012,3.478,4.082,4.539,2.625,2.793,0.5,1.33,2025-10-12,40,20.2,2026-09-20
Lugo,LaLiga Hypermotion,40,1.452,1.166,1.159,1.475,5.172,4.194,4.15,5.229,2.463,2.581,0.83,1.83,2022-08-27,0,0.2,2023-05-27
Tenerife,LaLiga Hypermotion,40,1.275,0.902,1.098,1.737,4.78,3.985,4.077,4.552,2.219,2.522,1.17,1.33,2024-10-11,6,9.1,2026-09-19
Alcorcon,LaLiga Hypermotion,40,1.416,1.135,1.14,1.475,5.065,4.173,4.093,5.285,2.419,2.63,0.83,1.17,2023-08-26,0,0.9,2024-06-02
Eibar,LaLiga Hypermotion,40,1.66,1.017,1.222,1.023,4.732,4.319,3.473,6.016,2.399,2.625,2.0,0.67,2025-10-12,40,20.2,2026-09-19
Ibiza,LaLiga Hypermotion,40,1.46,1.177,1.159,1.471,5.194,4.172,4.131,5.207,2.472,2.608,0.5,1.5,2022-08-28,0,0.2,2023-05-27
Mirandes,LaLiga Hypermotion,40,1.311,1.308,1.19,1.729,5.534,4.354,3.929,5.125,2.275,3.161,1.5,1.67,2025-08-31,36,16.1,2026-05-31
Leganes,LaLiga Hypermotion,40,1.393,1.112,0.875,1.386,5.25,4.612,3.728,5.318,2.596,2.362,1.0,0.83,2025-10-11,40,20.2,2026-09-20
Amorebieta,LaLiga Hypermotion,40,1.435,1.15,1.138,1.471,5.114,4.191,4.083,5.153,2.427,2.554,0.83,1.33,2023-08-27,0,0.9,2024-06-02
Burgos,LaLiga Hypermotion,40,1.497,0.941,1.02,1.041,4.506,4.62,3.659,5.691,2.354,2.675,1.67,1.17,2025-10-12,40,20.2,2026-09-20
Levante,LaLiga Hypermotion,40,1.604,1.1,1.219,1.374,5.179,4.187,4.191,5.34,2.283,2.497,1.5,0.83,2024-09-02,0,3.9,2025-06-01
Santander,LaLiga Hypermotion,40,2.209,1.308,1.378,1.475,6.139,4.045,4.213,5.077,2.418,2.83,2.5,1.0,2025-08-30,36,16.1,2026-05-31
Villarreal B,LaLiga Hypermotion,40,1.434,1.165,1.147,1.494,5.198,4.149,4.124,5.222,2.438,2.568,1.33,1.67,2023-08-26,0,0.9,2024-06-02
Alaves,LaLiga Hypermotion,40,1.466,1.158,1.163,1.459,5.204,4.126,4.184,5.186,2.469,2.605,1.0,1.0,2022-08-28,0,0.2,2023-05-27
Albacete,LaLiga Hypermotion,40,1.361,1.363,1.034,1.226,5.468,4.442,4.545,5.643,2.118,2.184,0.67,1.67,2025-10-12,40,20.1,2026-09-18
Granada,LaLiga Hypermotion,40,1.38,1.048,1.143,1.576,4.949,4.257,4.079,5.01,2.333,2.743,1.33,1.33,2025-10-10,40,20.2,2026-09-20
Andorra,LaLiga Hypermotion,40,1.554,1.379,1.336,1.497,5.532,3.155,4.081,4.791,2.43,2.798,1.5,2.17,2025-10-11,40,20.2,2026-09-19
Elche,LaLiga Hypermotion,40,1.559,1.067,1.177,1.323,5.421,3.92,4.014,5.053,2.275,2.621,1.67,1.0,2024-09-02,0,3.9,2025-06-01
Espanol,LaLiga Hypermotion,40,1.49,1.143,1.147,1.432,5.244,4.134,4.146,5.2,2.469,2.621,1.17,0.5,2023-08-27,0,0.9,2024-06-02
Ferrol,LaLiga Hypermotion,40,1.242,1.203,0.984,1.546,5.084,4.09,4.001,5.288,2.386,2.409,0.5,1.33,2024-09-01,0,3.9,2025-05-31
Eldense,LaLiga Hypermotion,40,1.298,1.268,0.908,1.447,5.835,4.102,4.898,4.707,2.282,2.411,0.67,1.33,2024-10-12,6,9.1,2026-09-19
Cadiz,LaLiga Hypermotion,40,1.05,1.314,1.144,1.756,5.151,4.933,3.501,5.235,3.076,2.611,1.0,1.5,2025-10-12,40,20.2,2026-09-19
La Coruna,LaLiga Hypermotion,40,1.512,1.148,1.344,1.18,5.125,4.048,4.828,4.906,2.426,2.584,1.5,0.83,2025-09-01,36,16.1,2026-05-31
Castellon,LaLiga Hypermotion,40,1.879,0.942,1.35,1.241,5.372,3.702,5.775,4.369,2.351,2.677,2.0,0.33,2025-10-12,40,20.2,2026-09-19
