equipo,liga,n,gf_casa,gc_casa,gf_fuera,gc_fuera,cor_f_casa,cor_c_casa,cor_f_fuera,cor_c_fuera,amar_casa,amar_fuera,ult6_gf,ult6_gc,desde,n12m,peso_ef,ultimo
Pau FC,Ligue 2,40,1.152,1.394,1.369,1.729,5.648,3.692,3.661,5.256,2.06,1.962,1.17,1.67,2025-05-10,35,17.8,2026-09-04
Valenciennes,Ligue 2,40,1.366,1.157,1.116,1.429,4.911,4.299,4.139,5.027,1.832,1.962,1.17,1.67,2023-05-22,0,0.9,2024-05-17
Toulouse,Ligue 2,38,1.411,1.153,1.156,1.404,5.015,4.241,4.25,5.003,1.841,1.986,1.17,0.67,2021-07-24,0,0.1,2022-05-14
Le Havre,Ligue 2,40,1.399,1.143,1.154,1.39,4.995,4.228,4.264,4.983,1.848,2.001,0.83,0.83,2022-05-07,0,0.2,2023-06-02
Grenoble,Ligue 2,40,1.03,0.978,1.21,1.635,4.284,5.004,2.961,6.215,1.74,2.222,1.17,1.67,2025-05-10,35,17.8,2026-09-04
Dunkerque,Ligue 2,40,1.345,1.15,1.507,1.678,5.112,4.222,4.179,4.297,1.876,2.034,1.67,2.0,2025-05-10,35,17.8,2026-09-04
Caen,Ligue 2,40,1.299,1.212,1.108,1.558,5.059,4.139,4.108,5.271,1.903,1.934,1.0,2.33,2024-04-20,0,3.5,2025-05-10
Amiens,Ligue 2,40,1.253,1.614,1.072,1.744,5.123,4.902,4.224,5.669,1.844,2.044,0.67,2.5,2025-04-04,30,13.9,2026-05-09
Bastia,Ligue 2,40,1.06,1.176,1.055,1.285,4.708,4.058,4.459,4.935,2.318,2.067,1.33,1.33,2025-03-28,30,13.8,2026-05-09
Dijon,Ligue 2,40,1.314,1.355,1.105,1.279,4.878,3.839,4.205,5.135,1.53,2.089,0.83,1.33,2022-08-20,5,4.8,2026-09-04
Sochaux,Ligue 2,40,1.204,1.224,0.9,1.07,4.763,4.316,3.436,6.352,1.543,1.792,0.5,1.17,2022-08-20,5,4.8,2026-09-04
Nimes,Ligue 2,40,1.409,1.16,1.149,1.418,4.979,4.247,4.236,5.005,1.837,1.982,2.0,2.33,2022-05-07,0,0.2,2023-06-02
Ajaccio,Ligue 2,40,1.392,1.141,0.995,1.429,4.987,4.182,4.098,5.085,1.917,2.037,0.83,1.17,2024-04-20,0,3.5,2025-05-10
Guingamp,Ligue 2,40,1.297,1.209,1.186,1.519,4.954,4.051,4.487,4.095,1.688,1.973,1.17,1.5,2025-05-10,35,17.8,2026-09-05
Nancy,Ligue 2,40,1.189,1.427,1.01,1.16,4.777,4.103,3.766,4.937,1.532,2.153,1.0,0.67,2022-05-14,35,17.7,2026-09-07
Niort,Ligue 2,40,1.405,1.172,1.143,1.409,4.993,4.257,4.234,4.997,1.834,1.973,1.17,2.33,2022-05-07,0,0.2,2023-06-02
Paris FC,Ligue 2,40,1.556,1.089,1.151,1.344,4.96,4.186,4.324,4.868,1.841,1.995,1.5,0.5,2024-04-20,0,3.5,2025-05-10
Rodez,Ligue 2,40,1.547,1.111,1.406,1.549,5.177,4.664,4.568,5.589,1.883,1.768,2.17,2.0,2025-05-10,35,17.8,2026-09-05
Auxerre,Ligue 2,40,1.458,1.12,1.185,1.388,5.111,4.176,4.36,4.953,1.774,1.956,2.17,0.67,2022-05-07,0,0.9,2024-05-17
Quevilly Rouen,Ligue 2,40,1.403,1.182,1.175,1.407,5.038,4.205,4.227,5.009,1.85,1.968,1.33,1.5,2023-05-26,0,0.9,2024-05-17
Metz,Ligue 2,40,1.794,1.092,1.137,1.194,5.05,4.583,4.617,4.849,1.866,1.917,1.83,1.0,2023-06-02,5,7.9,2026-09-05
