equipo,liga,n,gf_casa,gc_casa,gf_fuera,gc_fuera,cor_f_casa,cor_c_casa,cor_f_fuera,cor_c_fuera,amar_casa,amar_fuera,ult6_gf,ult6_gc,desde,n12m,peso_ef,ultimo
Sp Lisbon,Liga Portugal,40,2.338,0.94,1.909,1.094,5.83,3.373,5.62,3.969,1.978,2.436,2.83,0.83,2025-05-17,35,18.5,2026-09-05
Arouca,Liga Portugal,40,1.796,1.305,1.045,1.457,4.299,4.968,3.551,5.452,2.877,2.319,1.67,0.67,2025-05-17,35,18.4,2026-09-07
Maritimo,Liga Portugal,40,1.307,1.357,1.252,1.48,4.383,4.692,3.856,4.654,2.272,2.278,1.17,1.83,2022-05-14,5,4.8,2026-09-05
Moreirense,Liga Portugal,40,1.193,1.43,1.015,1.645,4.247,4.753,3.462,5.083,2.501,2.709,0.67,2.0,2025-05-17,35,18.5,2026-09-09
Pacos Ferreira,Liga Portugal,40,1.446,1.201,1.18,1.462,5.011,4.427,4.412,5.004,2.39,2.522,0.83,2.17,2022-04-09,0,0.2,2023-05-27
Porto,Liga Portugal,40,1.752,0.676,1.67,1.004,6.077,3.717,4.877,3.857,1.917,2.197,2.0,0.17,2025-05-17,35,18.5,2026-09-04
Tondela,Liga Portugal,40,1.121,1.191,1.023,1.75,4.537,5.281,4.132,5.295,2.48,2.587,1.0,1.5,2022-04-09,30,13.8,2026-05-16
Guimaraes,Liga Portugal,40,1.29,0.962,0.964,1.779,5.421,4.2,4.097,4.122,2.321,2.529,0.5,1.17,2025-05-17,35,18.4,2026-09-06
Gil Vicente,Liga Portugal,40,1.466,1.006,1.027,1.329,5.23,3.529,4.85,4.914,2.043,2.48,0.67,1.17,2025-05-10,34,17.7,2026-09-06
Estoril,Liga Portugal,40,1.353,1.326,1.192,1.66,5.217,4.74,3.922,5.153,2.278,2.425,0.5,1.67,2025-05-17,35,18.5,2026-09-07
Vizela,Liga Portugal,40,1.44,1.231,1.168,1.498,5.052,4.425,4.361,5.025,2.389,2.488,1.33,1.17,2023-04-23,0,0.9,2024-05-18
Benfica,Liga Portugal,40,1.999,1.041,2.139,0.913,6.834,3.082,5.899,3.653,1.808,2.153,3.5,0.67,2025-05-17,36,18.6,2026-09-09
Sp Braga,Liga Portugal,40,1.681,1.083,1.494,1.33,4.905,3.562,4.737,4.135,2.235,2.485,1.67,1.5,2025-05-10,34,17.9,2026-09-10
Portimonense,Liga Portugal,40,1.429,1.238,1.194,1.514,4.953,4.54,4.369,5.129,2.406,2.505,1.5,2.0,2023-04-23,0,0.9,2024-05-18
Famalicao,Liga Portugal,40,1.412,0.942,1.026,1.256,5.65,4.145,5.073,5.004,2.353,2.436,0.83,1.0,2025-05-16,35,18.4,2026-09-05
Santa Clara,Liga Portugal,40,1.457,1.006,1.051,1.314,4.608,4.5,4.487,5.127,2.525,2.398,1.5,0.67,2025-05-17,35,18.5,2026-09-06
Boavista,Liga Portugal,40,1.252,1.356,1.133,1.513,4.822,4.394,4.22,5.261,2.475,2.599,0.83,2.17,2024-04-14,0,3.6,2025-05-17
Belenenses,Liga Portugal,34,1.454,1.19,1.186,1.457,4.987,4.402,4.396,4.997,2.387,2.509,1.0,1.5,2021-08-08,0,0.0,2022-05-14
Rio Ave,Liga Portugal,40,1.046,1.659,1.012,1.552,5.14,5.142,3.548,6.081,2.18,2.422,0.5,2.0,2025-05-16,36,18.5,2026-09-06
Chaves,Liga Portugal,40,1.435,1.253,1.148,1.481,4.947,4.4,4.403,5.142,2.412,2.55,0.67,2.0,2023-04-23,0,0.9,2024-05-18
Casa Pia,Liga Portugal,40,1.066,1.615,0.765,1.525,4.191,4.616,4.508,6.103,2.648,2.33,0.17,2.0,2025-05-16,35,18.5,2026-09-06
Farense,Liga Portugal,40,1.271,1.235,1.152,1.418,5.273,4.471,4.243,5.519,2.477,2.511,1.0,1.0,2024-04-13,0,3.6,2025-05-17
Estrela,Liga Portugal,40,1.446,1.352,1.259,1.777,4.284,5.377,3.474,5.227,2.458,2.63,2.17,1.83,2025-05-17,35,18.5,2026-09-10
AVS,Liga Portugal,40,1.19,1.35,0.923,1.855,4.209,5.093,4.143,5.649,2.65,2.226,1.5,1.0,2025-04-13,30,14.5,2026-05-16
Nacional,Liga Portugal,40,1.482,1.213,0.897,1.479,4.93,5.325,3.911,5.837,2.805,2.369,1.33,1.33,2025-05-17,35,18.5,2026-09-05
Alverca,Liga Portugal,39,1.299,1.329,0.967,1.668,4.933,3.465,4.719,5.353,1.855,2.615,0.83,1.83,2025-08-10,35,18.3,2026-09-05
Academico Viseu,Liga Portugal,5,1.113,1.386,1.334,1.406,4.396,3.709,3.84,5.614,1.935,2.967,1.0,1.6,2026-08-09,5,4.6,2026-09-06
