equipo,liga,n,gf_casa,gc_casa,gf_fuera,gc_fuera,cor_f_casa,cor_c_casa,cor_f_fuera,cor_c_fuera,amar_casa,amar_fuera,ult6_gf,ult6_gc,desde,n12m,peso_ef,ultimo
Brentford,Premier League,40,1.672,1.126,1.245,1.526,4.976,4.321,4.589,5.731,1.551,2.182,1.67,1.17,2025-08-30,38,18.3,2026-09-12
Man United,Premier League,40,1.955,1.321,1.401,1.426,5.64,4.727,4.42,4.833,1.665,1.892,2.17,1.5,2025-08-30,38,18.3,2026-09-13
Burnley,Premier League,40,1.199,1.452,1.114,1.982,4.543,5.418,3.962,5.559,1.468,2.123,0.83,2.0,2024-05-11,34,15.0,2026-05-24
Chelsea,Premier League,40,1.62,1.521,1.439,1.588,6.103,4.433,4.897,5.0,1.916,2.446,2.17,2.0,2025-08-30,38,18.3,2026-09-12
Everton,Premier League,40,1.526,1.397,1.124,1.271,4.909,4.334,4.501,5.608,1.674,2.076,1.0,1.17,2025-08-30,38,18.3,2026-09-12
Leicester,Premier League,40,1.343,1.39,1.174,1.717,5.053,4.833,4.246,5.455,1.749,2.142,1.0,1.33,2023-05-22,0,3.7,2025-05-25
Watford,Premier League,38,1.515,1.282,1.275,1.519,5.231,4.623,4.614,5.241,1.656,2.049,0.67,2.5,2021-08-14,0,0.1,2022-05-22
Norwich,Premier League,38,1.514,1.282,1.274,1.521,5.235,4.623,4.611,5.244,1.656,2.05,0.17,3.0,2021-08-14,0,0.1,2022-05-22
Newcastle,Premier League,40,1.781,1.505,1.127,1.535,5.57,4.766,5.067,5.28,1.852,1.978,1.67,1.83,2025-08-30,38,18.3,2026-09-14
Tottenham,Premier League,40,1.117,1.462,1.091,1.465,6.077,4.904,4.918,4.594,2.191,2.199,0.33,1.17,2025-08-30,38,18.3,2026-09-12
Man City,Premier League,40,1.936,0.906,1.585,1.204,6.318,3.967,5.766,4.62,1.55,1.979,1.67,0.83,2025-08-31,38,18.4,2026-09-13
Leeds,Premier League,40,1.667,1.139,1.163,1.454,5.391,4.644,3.884,6.014,1.531,1.873,1.33,1.0,2025-08-30,38,18.3,2026-09-14
Crystal Palace,Premier League,40,1.269,1.539,1.246,1.686,4.764,4.564,3.883,5.664,1.479,1.988,1.5,2.5,2025-08-31,38,18.4,2026-09-12
Aston Villa,Premier League,40,1.549,1.331,1.141,1.547,5.238,4.548,4.517,4.971,1.628,1.792,1.17,1.67,2025-08-31,38,18.3,2026-09-12
Liverpool,Premier League,40,1.551,1.107,1.468,1.585,5.731,4.882,5.396,4.232,1.455,1.988,1.5,1.5,2025-08-31,38,18.3,2026-09-12
Brighton,Premier League,40,1.658,1.072,1.583,1.471,5.168,4.439,4.853,5.284,1.802,2.17,2.17,1.5,2025-08-31,38,18.3,2026-09-13
Southampton,Premier League,40,1.318,1.55,1.138,1.651,4.707,5.322,4.623,5.271,1.676,2.165,0.5,1.5,2023-05-21,0,3.7,2025-05-25
Wolves,Premier League,40,1.232,1.445,0.828,1.744,4.18,5.058,4.213,5.773,1.698,2.2,0.5,1.67,2025-05-20,34,15.2,2026-05-24
Arsenal,Premier League,40,1.842,0.861,1.484,1.026,5.726,3.569,4.695,4.34,1.31,1.822,1.83,0.33,2025-08-31,38,18.2,2026-09-12
West Ham,Premier League,40,1.515,1.303,1.117,1.721,5.202,4.942,4.465,6.02,1.709,2.018,1.0,1.33,2025-05-18,34,15.2,2026-05-24
Bournemouth,Premier League,40,1.548,1.24,1.387,1.543,5.793,4.285,4.459,6.106,2.211,2.269,1.33,1.5,2025-08-30,38,18.3,2026-09-12
Fulham,Premier League,40,1.593,1.36,0.903,1.418,5.523,4.817,4.769,5.161,1.758,1.864,1.17,1.33,2025-08-30,38,18.3,2026-09-12
Nott'm Forest,Premier League,40,1.085,1.093,1.602,1.49,5.17,4.338,4.363,5.583,1.507,2.16,1.17,1.33,2025-08-31,38,18.3,2026-09-12
Sheffield United,Premier League,38,1.483,1.405,1.249,1.588,5.169,4.722,4.537,5.421,1.707,2.062,0.83,3.33,2023-08-12,0,0.9,2024-05-19
Luton,Premier League,38,1.519,1.333,1.278,1.595,5.33,4.655,4.577,5.354,1.676,2.038,1.17,3.33,2023-08-12,0,0.9,2024-05-19
Ipswich,Premier League,40,1.272,1.543,1.497,1.977,4.664,4.683,4.174,5.963,1.424,2.33,1.33,2.5,2024-08-31,4,7.4,2026-09-12
Sunderland,Premier League,40,1.196,1.195,1.166,1.514,4.512,4.709,3.949,5.214,1.989,2.287,1.33,1.17,2025-08-30,38,18.3,2026-09-12
