equipo,liga,n,gf_casa,gc_casa,gf_fuera,gc_fuera,cor_f_casa,cor_c_casa,cor_f_fuera,cor_c_fuera,amar_casa,amar_fuera,ult6_gf,ult6_gc,desde,n12m,peso_ef,ultimo
Verona,Serie A,40,0.852,1.327,0.934,1.505,4.941,4.046,3.452,5.895,1.915,2.324,0.33,1.0,2025-05-18,36,15.9,2026-05-24
Inter,Serie A,40,2.152,1.064,1.672,1.076,6.26,3.511,4.664,3.997,1.503,1.951,2.5,1.17,2025-08-31,39,18.2,2026-09-05
Empoli,Serie A,40,1.129,1.234,1.162,1.409,4.853,4.068,4.131,5.025,1.635,2.007,1.5,1.5,2024-05-19,0,3.9,2025-05-25
Torino,Serie A,40,1.417,1.392,1.074,1.496,4.485,4.462,3.531,4.66,1.674,1.757,1.5,1.67,2025-08-31,39,18.2,2026-09-05
Udinese,Serie A,40,1.067,1.122,1.457,1.365,4.511,4.799,3.961,4.987,1.988,1.824,1.17,1.17,2025-08-31,39,18.2,2026-09-07
Roma,Serie A,40,1.811,0.77,1.512,1.172,5.838,3.148,4.086,4.472,1.612,1.881,2.83,0.5,2025-08-30,39,18.2,2026-09-05
Napoli,Serie A,40,1.496,1.114,1.339,1.152,5.483,3.43,4.45,4.314,1.21,1.758,1.83,1.33,2025-08-30,39,18.2,2026-09-05
Bologna,Serie A,40,1.089,1.279,1.327,1.226,5.538,4.22,3.561,4.66,1.66,1.955,1.5,1.5,2025-08-30,39,18.2,2026-09-06
Cagliari,Serie A,40,1.139,1.099,1.033,1.374,5.068,4.7,3.637,4.869,1.589,2.208,1.0,0.83,2025-08-30,39,18.2,2026-09-07
Sampdoria,Serie A,40,1.28,1.166,1.149,1.311,4.969,3.974,3.934,5.044,1.708,1.979,0.67,2.33,2022-05-16,0,0.2,2023-06-04
Atalanta,Serie A,40,1.286,0.881,1.301,1.26,5.465,3.656,4.044,5.345,1.324,1.879,1.33,1.17,2025-08-30,39,18.2,2026-09-05
Lazio,Serie A,40,1.317,1.23,1.038,0.942,4.664,3.593,3.931,4.977,1.945,1.993,1.0,1.17,2025-08-31,39,18.2,2026-09-07
Fiorentina,Serie A,40,1.061,1.205,1.079,1.601,5.268,4.046,3.57,4.973,1.79,2.131,0.67,1.67,2025-08-31,39,18.2,2026-09-05
Juventus,Serie A,40,1.547,0.939,1.282,1.022,6.214,3.178,4.756,4.457,1.378,1.817,1.17,0.83,2025-08-31,39,18.2,2026-09-06
Salernitana,Serie A,40,1.263,1.22,1.137,1.368,4.952,4.082,3.889,5.244,1.768,1.962,1.0,2.17,2023-05-27,0,0.9,2024-05-25
Milan,Serie A,40,1.32,1.099,1.313,1.003,4.549,3.763,3.605,4.82,1.798,1.763,1.67,1.33,2025-08-29,39,18.2,2026-09-06
Genoa,Serie A,40,1.193,1.538,0.936,1.215,4.35,3.932,3.731,5.255,1.698,1.616,0.33,1.67,2025-08-31,39,18.2,2026-09-04
Sassuolo,Serie A,40,1.413,1.252,1.133,1.36,4.356,4.554,4.048,5.203,1.92,1.992,1.33,1.83,2025-08-29,39,18.2,2026-09-06
Spezia,Serie A,40,1.279,1.17,1.153,1.295,4.988,3.978,3.979,5.003,1.701,1.986,0.83,1.83,2022-05-14,0,0.2,2023-06-04
Venezia,Serie A,40,1.065,1.25,1.067,1.605,4.785,4.193,3.628,4.877,1.699,2.267,1.0,2.33,2024-08-25,3,6.6,2026-09-06
Lecce,Serie A,40,0.889,1.386,0.998,1.245,4.226,4.026,4.074,5.751,1.648,2.083,1.0,1.33,2025-08-29,39,18.2,2026-09-07
Monza,Serie A,40,1.23,1.487,1.052,1.684,4.495,3.986,3.688,5.016,1.686,2.075,1.17,2.33,2024-08-24,3,6.6,2026-09-06
Cremonese,Serie A,40,1.087,1.41,0.898,1.419,4.236,4.491,3.74,5.862,1.769,1.923,1.0,1.67,2023-05-28,36,15.6,2026-05-24
Frosinone,Serie A,40,1.349,1.269,1.375,1.156,4.88,4.628,4.139,5.356,1.747,2.086,1.17,1.5,2023-08-26,3,3.8,2026-09-06
Parma,Serie A,40,0.994,1.211,0.821,1.229,4.567,3.745,3.553,6.086,1.693,1.731,0.67,1.33,2025-08-30,39,18.2,2026-09-06
Como,Serie A,40,1.615,0.999,1.606,0.962,5.174,2.852,4.509,4.267,1.794,1.809,2.17,0.67,2025-08-30,39,18.2,2026-09-04
Pisa,Serie A,38,0.877,1.368,0.93,1.926,4.271,4.038,3.534,5.151,1.901,2.065,0.5,2.17,2025-08-24,36,15.5,2026-05-23
