equipo,liga,n,gf_casa,gc_casa,gf_fuera,gc_fuera,cor_f_casa,cor_c_casa,cor_f_fuera,cor_c_fuera,amar_casa,amar_fuera,ult6_gf,ult6_gc,desde,n12m,peso_ef,ultimo
Frosinone,Serie B,40,1.914,0.909,1.486,1.206,6.268,3.961,4.949,4.755,2.064,2.593,2.33,0.33,2025-05-09,35,15.2,2026-05-08
Pordenone,Serie B,38,1.452,1.118,1.112,1.455,5.172,4.242,4.241,5.176,2.075,2.368,1.17,2.17,2021-08-21,0,0.1,2022-05-06
Cittadella,Serie B,40,1.3,1.196,1.051,1.445,4.891,4.024,3.968,5.459,2.203,2.484,0.83,1.33,2024-05-05,0,3.7,2025-05-13
Reggina,Serie B,40,1.45,1.118,1.114,1.452,5.178,4.265,4.249,5.171,2.07,2.376,1.0,1.33,2022-04-30,0,0.2,2023-05-19
Ternana,Serie B,40,1.411,1.097,1.137,1.475,5.164,4.296,4.283,5.217,2.097,2.387,1.17,1.0,2023-05-13,0,0.9,2024-05-10
Ascoli,Serie B,40,1.324,0.957,1.08,1.339,5.926,4.834,4.654,4.754,2.31,2.411,1.33,1.0,2023-08-29,4,4.6,2026-09-12
Benevento,Serie B,40,1.523,1.183,0.961,1.392,5.953,4.392,4.352,5.425,1.965,2.74,1.5,1.5,2022-08-28,4,4.0,2026-09-11
Cremonese,Serie B,40,1.525,1.318,1.208,1.408,5.392,3.865,4.403,4.591,1.884,2.428,1.5,1.83,2024-08-27,4,7.3,2026-09-12
Crotone,Serie B,38,1.452,1.115,1.114,1.455,5.178,4.241,4.24,5.176,2.071,2.37,1.5,1.5,2021-08-22,0,0.1,2022-05-06
Pisa,Serie B,40,1.41,1.349,1.365,1.191,5.296,4.28,3.95,4.942,1.894,2.289,1.83,1.67,2024-08-27,4,7.3,2026-09-11
Brescia,Serie B,40,1.409,1.161,1.069,1.381,5.016,4.036,4.223,5.401,2.087,2.373,1.17,1.0,2024-05-05,0,3.7,2025-05-13
Perugia,Serie B,40,1.449,1.121,1.113,1.452,5.207,4.244,4.253,5.182,2.089,2.378,1.0,2.17,2022-04-30,0,0.2,2023-05-19
Vicenza,Serie B,40,1.573,1.202,1.09,1.703,6.083,4.536,4.536,4.662,2.056,2.4,1.5,1.5,2021-09-12,4,3.8,2026-09-12
Lecce,Serie B,38,1.455,1.113,1.115,1.451,5.182,4.234,4.24,5.172,2.07,2.37,1.5,0.67,2021-08-22,0,0.1,2022-05-06
Monza,Serie B,40,1.672,0.861,1.307,1.255,5.856,4.03,4.677,4.244,1.8,2.353,1.83,1.0,2022-04-30,35,14.9,2026-05-08
Parma,Serie B,40,1.479,1.103,1.142,1.412,5.254,4.198,4.275,5.138,2.068,2.366,1.5,0.5,2023-05-13,0,0.9,2024-05-10
Spal,Serie B,40,1.45,1.12,1.111,1.45,5.168,4.25,4.247,5.205,2.085,2.374,1.0,1.17,2022-04-30,0,0.2,2023-05-19
Alessandria,Serie B,38,1.451,1.115,1.115,1.455,5.181,4.242,4.238,5.176,2.072,2.371,1.17,1.0,2021-08-22,0,0.1,2022-05-06
Como,Serie B,40,1.474,1.104,1.137,1.428,5.121,4.263,4.291,5.109,2.057,2.362,1.83,1.0,2023-05-13,0,0.9,2024-05-10
Cosenza,Serie B,40,1.277,1.114,1.078,1.591,5.239,4.302,4.106,5.38,2.307,2.458,0.83,1.67,2024-05-05,0,3.7,2025-05-13
Palermo,Serie B,40,1.867,0.84,1.238,1.313,4.882,4.313,4.622,5.218,2.041,2.315,1.83,1.33,2025-09-14,39,18.2,2026-09-13
Venezia,Serie B,40,1.943,0.841,1.502,1.191,4.925,3.962,4.444,5.307,1.731,2.056,2.17,0.67,2024-05-05,35,14.9,2026-05-08
Modena,Serie B,40,1.352,1.019,1.221,1.167,5.06,3.726,5.227,5.434,2.032,2.042,1.33,0.83,2025-09-13,39,18.2,2026-09-12
Bari,Serie B,40,1.339,1.257,0.956,1.649,4.668,5.045,3.328,6.116,1.885,2.212,1.33,1.67,2025-05-09,35,15.2,2026-05-08
Genoa,Serie B,38,1.458,1.105,1.118,1.445,5.205,4.213,4.243,5.169,2.069,2.367,1.83,1.17,2022-08-14,0,0.2,2023-05-19
Sudtirol,Serie B,40,1.163,0.988,1.06,1.472,4.677,4.477,3.758,4.797,2.107,2.352,1.0,0.67,2025-09-14,39,18.2,2026-09-12
Cagliari,Serie B,38,1.454,1.11,1.118,1.442,5.19,4.242,4.253,5.172,2.073,2.371,1.83,0.67,2022-08-13,0,0.2,2023-05-19
Sampdoria,Serie B,40,1.273,1.113,0.826,1.503,5.552,4.265,4.658,4.557,2.231,2.343,0.67,1.5,2025-09-13,39,18.2,2026-09-13
FeralpiSalo,Serie B,38,1.449,1.168,1.113,1.459,5.205,4.296,4.224,5.212,2.052,2.354,1.17,2.33,2023-08-20,0,0.9,2024-05-10
Catanzaro,Serie B,40,1.663,1.136,1.314,1.681,4.836,4.485,4.281,5.06,2.082,2.169,1.33,2.17,2025-09-13,39,18.2,2026-09-12
Reggiana,Serie B,40,1.216,1.166,0.908,1.616,4.204,4.955,3.865,5.73,1.92,2.586,1.0,1.17,2025-05-09,35,15.2,2026-05-08
Spezia,Serie B,40,1.449,1.271,1.089,1.684,4.972,4.65,4.412,5.19,2.19,2.54,2.0,2.17,2025-05-09,35,15.2,2026-05-08
Lecco,Serie B,38,1.417,1.16,1.095,1.511,5.147,4.173,4.294,5.203,2.108,2.393,0.83,2.33,2023-09-03,0,0.9,2024-05-10
Salernitana,Serie B,38,1.457,1.103,0.97,1.408,5.047,4.164,4.087,5.012,2.073,2.307,1.5,0.83,2024-08-17,0,3.6,2025-05-13
Cesena,Serie B,40,1.459,1.401,0.939,1.434,5.574,4.398,3.816,5.624,2.228,2.03,1.5,1.5,2025-09-13,39,18.2,2026-09-12
Sassuolo,Serie B,38,1.613,1.058,1.288,1.389,5.239,4.218,4.027,5.056,1.888,2.323,1.33,0.83,2024-08-18,0,3.6,2025-05-13
Mantova,Serie B,40,1.61,1.183,1.131,1.464,5.241,4.366,3.856,5.565,2.141,2.221,1.83,1.67,2025-09-14,39,18.2,2026-09-13
Carrarese,Serie B,40,1.316,1.062,0.978,1.609,4.88,4.386,5.542,5.478,1.762,2.585,0.5,1.17,2025-09-13,39,18.2,2026-09-12
Juve Stabia,Serie B,40,1.322,1.128,1.033,1.417,5.544,4.11,4.09,5.096,1.85,2.301,0.67,1.33,2025-09-13,39,18.2,2026-09-12
Pescara,Serie B,38,1.467,1.216,1.188,1.757,5.266,4.08,4.581,5.784,1.947,2.475,1.33,1.33,2025-08-22,35,14.9,2026-05-08
Virtus Entella,Serie B,40,1.469,1.148,0.911,1.521,5.336,4.221,4.14,4.745,2.191,2.13,1.5,1.5,2025-09-14,39,18.2,2026-09-11
Empoli,Serie B,40,1.303,1.034,1.039,1.564,5.232,4.134,4.432,5.298,1.891,2.607,1.0,1.0,2025-09-14,39,18.2,2026-09-11
Avellino,Serie B,40,1.447,1.135,0.988,1.39,5.06,3.901,3.57,5.955,2.387,2.252,1.17,0.67,2025-09-12,39,18.2,2026-09-13
Padova,Serie B,40,1.213,1.02,1.073,1.512,4.461,5.064,4.081,5.606,2.34,2.401,1.5,1.17,2025-09-13,39,18.2,2026-09-12
