liga,temporada,n,goles,over15,over25,over35,btts,gf_casa,gf_fuera,local_gana,empate,corners,amarillas
2. Bundesliga,2021-22,306,2.92,0.84,0.595,0.324,0.585,1.55,1.37,0.389,0.281,10.06,4.04
2. Bundesliga,2022-23,306,2.94,0.784,0.578,0.314,0.556,1.64,1.31,0.464,0.239,9.89,4.46
2. Bundesliga,2023-24,306,3.09,0.827,0.608,0.369,0.592,1.72,1.38,0.458,0.232,10.47,4.26
2. Bundesliga,2024-25,306,3.02,0.797,0.595,0.369,0.601,1.64,1.39,0.405,0.281,10.37,4.72
2. Bundesliga,2025-26,306,2.93,0.804,0.578,0.314,0.595,1.63,1.3,0.461,0.242,10.04,4.6
2. Bundesliga,2026-27,54,3.31,0.759,0.648,0.389,0.63,1.74,1.57,0.389,0.278,11.19,4.39
Brasileirao,2020,164,2.48,0.738,0.506,0.213,0.549,1.41,1.07,0.427,0.293,,
Brasileirao,2021,492,2.3,0.675,0.407,0.193,0.455,1.32,0.98,0.463,0.291,,
Brasileirao,2022,380,2.38,0.682,0.434,0.216,0.497,1.41,0.98,0.442,0.284,,
Brasileirao,2023,380,2.49,0.713,0.45,0.205,0.482,1.42,1.07,0.468,0.258,,
Brasileirao,2024,380,2.44,0.729,0.474,0.2,0.532,1.41,1.03,0.474,0.266,,
Brasileirao,2025,380,2.52,0.721,0.461,0.245,0.474,1.53,1.0,0.503,0.261,,
Brasileirao,2026,277,2.67,0.783,0.516,0.256,0.596,1.52,1.15,0.469,0.278,,
Bundesliga,2021-22,306,3.12,0.833,0.585,0.392,0.608,1.76,1.36,0.467,0.239,9.69,3.51
Bundesliga,2022-23,306,3.17,0.846,0.605,0.379,0.592,1.86,1.32,0.474,0.245,9.71,4.14
Bundesliga,2023-24,306,3.22,0.853,0.624,0.412,0.618,1.81,1.41,0.438,0.265,9.89,4.14
Bundesliga,2024-25,306,3.13,0.807,0.598,0.428,0.569,1.63,1.5,0.386,0.252,9.64,3.86
Bundesliga,2025-26,306,3.24,0.837,0.637,0.428,0.618,1.78,1.46,0.438,0.245,9.75,3.81
Bundesliga,2026-27,36,3.81,0.861,0.778,0.611,0.583,2.39,1.42,0.528,0.194,10.86,3.58
Championship,2021-22,552,2.51,0.719,0.467,0.236,0.486,1.41,1.09,0.446,0.252,9.75,3.65
Championship,2022-23,552,2.43,0.701,0.44,0.225,0.484,1.32,1.11,0.411,0.27,10.01,3.79
Championship,2023-24,552,2.68,0.748,0.522,0.284,0.524,1.48,1.2,0.446,0.234,10.65,3.94
Championship,2024-25,552,2.45,0.708,0.444,0.217,0.502,1.43,1.02,0.458,0.283,10.19,3.71
Championship,2025-26,552,2.61,0.764,0.507,0.25,0.569,1.4,1.2,0.417,0.264,10.35,3.71
Championship,2026-27,95,2.92,0.8,0.642,0.368,0.684,1.64,1.27,0.411,0.305,10.6,3.8
Eredivisie,2021-22,306,2.86,0.761,0.552,0.324,0.549,1.57,1.29,0.431,0.209,9.71,2.95
Eredivisie,2022-23,306,3.06,0.788,0.595,0.386,0.526,1.73,1.33,0.448,0.239,10.62,2.88
Eredivisie,2023-24,306,3.24,0.853,0.637,0.444,0.565,1.77,1.47,0.431,0.248,10.55,2.97
