fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-01-22,Aldosivi,Defensa y Justicia,0,0,,,,2.63,2.73,3.05,,
2026-01-22,Banfield,Huracan,1,1,,,,2.43,2.71,3.42,,
2026-01-22,Union de Santa Fe,Platense,0,0,,,,1.97,2.81,4.75,,
2026-01-23,Independiente,Estudiantes L.P.,1,1,,,,2.44,2.75,3.3,,
2026-01-23,Instituto,Velez Sarsfield,0,1,,,,2.72,2.73,2.91,,
2026-01-23,San Lorenzo,Lanus,2,3,,,,2.71,2.59,3.11,,
2026-01-23,Central Cordoba,Gimnasia Mendoza,0,1,,,,2.34,2.78,3.44,,
2026-01-24,Barracas Central,River Plate,0,1,,,,5.08,3.27,1.75,,
2026-01-24,Gimnasia L.P.,Racing Club,2,1,,,,3.62,3.02,2.14,,
2026-01-24,Ind. Rivadavia,Atl. Tucuman,2,1,,,,1.74,3.25,5.16,,
2026-01-24,Talleres Cordoba,Newells Old Boys,2,1,,,,1.82,3.17,4.78,,
2026-01-25,Boca Juniors,Dep. Riestra,1,0,,,,1.6,3.35,6.65,,
2026-01-25,Rosario Central,Belgrano,1,2,,,,1.89,3.1,4.54,,
2026-01-26,Tigre,Estudiantes Rio Cuarto,2,0,,,,1.94,2.95,4.58,,
2026-01-26,Platense,Instituto,2,1,,,,2.43,2.61,3.57,,
2026-01-26,Argentinos Jrs,Sarmiento Junin,1,0,,,,1.38,4.1,9.31,,
2026-01-27,Velez Sarsfield,Talleres Cordoba,2,1,,,,2.26,2.77,3.69,,
2026-01-27,Gimnasia Mendoza,San Lorenzo,0,1,,,,3.63,2.67,2.35,,
2026-01-27,Huracan,Ind. Rivadavia,1,2,,,,2.06,2.76,4.4,,
2026-01-28,River Plate,Gimnasia L.P.,2,0,,,,1.53,3.7,6.54,,
2026-01-28,Racing Club,Rosario Central,1,2,,,,2.12,3.02,3.71,,
2026-01-28,Newells Old Boys,Independiente,1,1,,,,3.45,2.81,2.33,,
2026-01-28,Atl. Tucuman,Central Cordoba,0,0,,,,2.1,3.07,3.67,,
2026-01-28,Aldosivi,Barracas Central,0,0,,,,2.18,2.69,4.1,,
2026-01-29,Dep. Riestra,Defensa y Justicia,0,1,,,,2.1,2.82,4.11,,
2026-01-29,Estudiantes L.P.,Boca Juniors,2,1,,,,2.96,2.71,2.73,,
2026-01-29,Belgrano,Tigre,1,1,,,,1.93,2.96,4.61,,
2026-01-29,Lanus,Union de Santa Fe,2,1,,,,2.05,2.88,4.17,,
2026-01-30,Sarmiento Junin,Banfield,1,0,,,,3.46,2.78,2.35,,
2026-01-30,Estudiantes Rio Cuarto,Argentinos Jrs,0,0,,,,5.5,3.12,1.74,,
2026-01-31,San Lorenzo,Central Cordoba,1,0,,,,1.78,3.01,5.7,,
2026-01-31,Independiente,Velez Sarsfield,1,1,,,,2.13,2.95,3.79,,
2026-02-01,Atl. Tucuman,Huracan,1,1,,,,2.59,2.76,3.09,,
2026-02-01,Boca Juniors,Newells Old Boys,2,0,,,,1.45,3.9,8.23,,
2026-02-01,Talleres Cordoba,Platense,1,2,,,,1.94,2.93,4.72,,
2026-02-01,Barracas Central,Dep. Riestra,1,1,,,,3.0,2.55,2.87,,
2026-02-02,Rosario Central,River Plate,0,0,,,,2.69,2.9,2.82,,
2026-02-02,Gimnasia L.P.,Aldosivi,3,1,,,,2.03,2.85,4.36,,
2026-02-02,Defensa y Justicia,Estudiantes L.P.,0,0,,,,3.38,2.85,2.35,,
2026-02-02,Tigre,Racing Club,3,1,,,,3.68,2.86,2.22,,
2026-02-03,Argentinos Jrs,Belgrano,0,0,,,,1.66,3.4,5.73,,
2026-02-03,Union de Santa Fe,Gimnasia Mendoza,4,0,,,,1.74,3.22,5.37,,
2026-02-03,Banfield,Estudiantes Rio Cuarto,2,1,,,,1.88,2.99,4.73,,
2026-02-04,Instituto,Lanus,2,2,,,,2.84,2.84,2.69,,
2026-02-04,Ind. Rivadavia,Sarmiento Junin,2,1,,,,1.74,3.22,5.36,,
2026-02-07,River Plate,Tigre,1,4,,,,1.6,3.54,6.08,,
2026-02-07,Racing Club,Argentinos Jrs,2,1,,,,2.76,2.89,2.73,,
2026-02-07,Aldosivi,Rosario Central,1,1,,,,4.27,2.9,2.02,,
2026-02-07,Central Cordoba,Union de Santa Fe,1,0,,,,3.44,2.79,2.34,,
2026-02-08,Sarmiento Junin,Atl. Tucuman,2,1,,,,2.71,2.82,2.85,,
2026-02-08,Platense,Independiente,0,1,,,,2.76,2.71,2.93,,
2026-02-08,Newells Old Boys,Defensa y Justicia,2,3,,,,2.16,2.89,3.76,,
2026-02-08,Belgrano,Banfield,1,0,,,,1.81,3.26,4.69,,
2026-02-08,Huracan,San Lorenzo,1,0,,,,2.49,2.58,3.5,,
2026-02-09,Estudiantes L.P.,Dep. Riestra,1,0,,,,1.88,2.88,5.11,,
2026-02-09,Barracas Central,Gimnasia L.P.,2,0,,,,2.72,2.8,2.85,,
2026-02-09,Velez Sarsfield,Boca Juniors,2,1,,,,3.21,2.77,2.49,,
2026-02-09,Gimnasia Mendoza,Instituto,1,0,,,,3.07,2.74,2.59,,
2026-02-09,Lanus,Talleres Cordoba,1,1,,,,1.99,3.01,4.17,,
2026-02-10,Estudiantes Rio Cuarto,Ind. Rivadavia,0,1,,,,3.73,2.76,2.24,,
2026-02-12,Tigre,Aldosivi,1,0,,,,1.72,3.13,5.79,,
2026-02-13,Independiente,Lanus,2,0,,,,2.08,2.9,3.98,,
2026-02-13,Argentinos Jrs,River Plate,1,0,,,,2.24,2.94,3.45,,
2026-02-14,Talleres Cordoba,Gimnasia Mendoza,2,1,,,,1.71,3.23,5.79,,
2026-02-14,Huracan,Sarmiento Junin,1,0,,,,1.77,3.08,5.41,,
2026-02-14,Banfield,Racing Club,0,2,,,,4.2,3.2,1.9,,
2026-02-14,Union de Santa Fe,San Lorenzo,0,0,,,,2.14,2.64,4.41,,
2026-02-14,Defensa y Justicia,Velez Sarsfield,1,1,,,,3.47,2.86,2.29,,
2026-02-15,Atl. Tucuman,Estudiantes Rio Cuarto,4,0,,,,1.87,3.13,4.59,,
2026-02-15,Ind. Rivadavia,Belgrano,0,1,,,,2.33,2.83,3.41,,
2026-02-15,Gimnasia L.P.,Estudiantes L.P.,0,0,,,,3.1,2.75,2.58,,
2026-02-15,Boca Juniors,Platense,0,0,,,,1.61,3.36,6.38,,
2026-02-16,Instituto,Central Cordoba,2,0,,,,1.87,3.06,4.69,,
2026-02-16,Dep. Riestra,Newells Old Boys,1,1,,,,2.28,2.69,3.75,,
2026-02-16,Rosario Central,Barracas Central,2,0,,,,1.53,3.52,7.32,,
2026-02-20,Instituto,Atl. Tucuman,2,1,,,,1.98,3.11,4.02,,
2026-02-20,Defensa y Justicia,Belgrano,1,1,,,,2.99,2.86,2.56,,
2026-02-20,Estudiantes L.P.,Sarmiento Junin,1,0,,,,1.59,3.29,6.96,,
2026-02-20,Boca Juniors,Racing Club,0,0,,,,2.23,2.92,3.51,,
2026-02-21,Ind. Rivadavia,Independiente,3,2,,,,2.58,2.8,3.03,,
2026-02-21,Platense,Barracas Central,1,0,,,,1.84,2.97,5.1,,
