fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-01-28,Coritiba,Bragantino,0,1,,,,2.62,2.91,2.87,,
2026-01-28,Internacional,Athletico-PR,0,1,,,,1.97,3.21,3.93,,
2026-01-28,Vitoria,Remo,2,0,,,,1.79,3.34,4.62,,
2026-01-28,Fluminense,Gremio,2,1,,,,1.59,3.79,5.53,,
2026-01-28,Chapecoense-SC,Santos,4,2,,,,2.86,3.08,2.51,,
2026-01-28,Corinthians,Bahia,1,2,,,,2.21,3.31,3.15,,
2026-01-28,Atletico-MG,Palmeiras,2,2,,,,2.99,3.06,2.42,,
2026-01-29,Mirassol,Vasco,2,1,,,,1.89,3.3,4.13,,
2026-01-29,Sao Paulo,Flamengo RJ,2,1,,,,3.7,2.95,2.16,,
2026-01-30,Botafogo RJ,Cruzeiro,4,0,,,,2.39,3.03,3.11,,
2026-02-04,Flamengo RJ,Internacional,1,1,,,,1.4,4.46,7.62,,
2026-02-04,Santos,Sao Paulo,1,1,,,,2.21,3.13,3.29,,
2026-02-04,Bragantino,Atletico-MG,1,0,,,,2.07,3.16,3.67,,
2026-02-04,Remo,Mirassol,2,2,,,,2.97,3.1,2.42,,
2026-02-05,Palmeiras,Vitoria,5,1,,,,1.31,4.86,9.17,,
2026-02-05,Bahia,Fluminense,1,1,,,,2.1,3.21,3.5,,
2026-02-05,Gremio,Botafogo RJ,5,3,,,,2.28,3.1,3.21,,
2026-02-05,Vasco,Chapecoense-SC,1,1,,,,1.54,3.9,5.98,,
2026-02-06,Cruzeiro,Coritiba,1,2,,,,1.37,4.31,8.94,,
2026-02-11,Chapecoense-SC,Coritiba,3,3,,,,2.69,3.06,2.67,,
2026-02-11,Mirassol,Cruzeiro,2,2,,,,2.38,3.09,3.04,,
2026-02-11,Atletico-MG,Remo,3,3,,,,1.4,4.36,7.61,,
2026-02-11,Vitoria,Flamengo RJ,1,2,,,,5.53,3.71,1.61,,
2026-02-12,Corinthians,Bragantino,2,0,,,,1.91,3.16,4.29,,
2026-02-12,Fluminense,Botafogo RJ,1,0,,,,1.8,3.26,4.81,,
2026-02-12,Vasco,Bahia,0,1,,,,2.23,3.26,3.15,,
2026-02-12,Sao Paulo,Gremio,2,0,,,,1.9,3.23,4.22,,
2026-02-12,Athletico-PR,Santos,2,1,,,,1.99,3.19,3.89,,
2026-02-13,Internacional,Palmeiras,1,3,,,,3.03,3.31,2.27,,
2026-02-19,Athletico-PR,Corinthians,0,1,,,,2.59,2.92,2.89,,
2026-02-25,Cruzeiro,Corinthians,1,1,,,,1.7,3.48,5.03,,
2026-02-25,Bragantino,Athletico-PR,1,1,,,,2.02,3.2,3.71,,
2026-02-25,Remo,Internacional,1,1,,,,3.22,3.34,2.14,,
2026-02-25,Coritiba,Sao Paulo,0,1,,,,2.5,3.04,2.9,,
2026-02-26,Gremio,Atletico-MG,2,1,,,,2.19,3.22,3.22,,
2026-02-26,Palmeiras,Fluminense,2,1,,,,1.65,3.71,5.01,,
2026-02-26,Santos,Vasco,2,1,,,,2.02,3.35,3.56,,
2026-03-11,Bahia,Vitoria,1,1,,,,1.68,3.58,4.93,,
2026-03-11,Atletico-MG,Internacional,1,0,,,,2.03,3.37,3.51,,
2026-03-11,Mirassol,Santos,2,2,,,,1.73,3.62,4.5,,
2026-03-12,Vasco,Palmeiras,2,1,,,,3.0,3.21,2.33,,
2026-03-12,Remo,Fluminense,0,2,,,,3.92,3.52,1.87,,
2026-03-12,Flamengo RJ,Cruzeiro,2,0,,,,1.47,4.08,6.64,,
