fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-08-28,Bayern Munich,Stuttgart,5,1,1.22,7.5,10.0,1.21,7.37,9.88,1.17,5.0
2026-08-29,Dortmund,Hamburg,2,0,1.33,5.25,8.0,1.32,5.49,7.99,1.44,2.75
2026-08-29,Mainz,Paderborn,0,0,1.5,4.5,6.0,1.51,4.49,5.65,1.44,2.75
2026-08-29,FC Koln,Hoffenheim,3,2,3.1,3.75,2.15,3.08,3.67,2.14,1.57,2.38
2026-08-29,Elversberg,Leverkusen,3,2,5.25,4.33,1.57,5.02,4.35,1.58,1.5,2.63
2026-08-29,RB Leipzig,M'gladbach,3,0,1.55,4.5,5.25,1.54,4.48,5.08,1.44,2.75
2026-08-29,Union Berlin,Ein Frankfurt,3,3,2.7,3.7,2.45,2.61,3.65,2.48,1.57,2.38
2026-08-30,Freiburg,Werder Bremen,4,1,1.8,3.75,4.2,1.77,3.8,4.28,1.67,2.2
2026-08-30,Augsburg,Schalke 04,3,0,2.3,3.5,2.9,2.27,3.5,2.97,1.73,2.1
2026-09-04,Stuttgart,FC Koln,4,1,1.44,5.25,6.25,1.44,5.09,5.94,1.3,3.5
2026-09-05,Hoffenheim,Dortmund,2,3,2.4,3.8,2.7,2.43,3.81,2.59,1.44,2.75
2026-09-05,Leverkusen,Union Berlin,4,0,1.33,5.25,7.5,1.34,5.43,7.38,1.4,3.0
2026-09-05,Paderborn,Freiburg,0,1,3.6,3.8,1.91,3.58,3.8,1.92,1.57,2.38
2026-09-05,Schalke 04,Bayern Munich,0,0,13.0,7.0,1.2,11.53,7.37,1.19,1.25,4.0
2026-09-05,Werder Bremen,RB Leipzig,3,1,3.75,4.2,1.83,3.75,4.08,1.82,1.4,3.0
2026-09-05,M'gladbach,Elversberg,3,4,1.91,3.9,3.5,1.89,3.93,3.57,1.44,2.75
2026-09-06,Hamburg,Mainz,0,5,2.9,3.5,2.35,2.83,3.46,2.38,1.73,2.1
2026-09-06,Ein Frankfurt,Augsburg,1,4,1.8,4.1,3.8,1.83,4.09,3.69,1.36,3.2
