fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-08-07,Bochum,Hertha,0,1,2.25,3.5,3.1,2.21,3.42,2.94,1.73,2.08
2026-08-08,Darmstadt,Holstein Kiel,2,2,2.3,3.5,2.9,2.21,3.47,2.87,1.62,2.25
2026-08-08,Magdeburg,Braunschweig,1,6,1.75,3.8,4.33,1.74,3.75,4.09,1.65,2.2
2026-08-08,Wolfsburg,Kaiserslautern,0,0,1.57,4.33,5.0,1.55,4.25,4.77,1.44,2.7
2026-08-08,Karlsruhe,Bielefeld,2,1,3.0,3.6,2.2,2.75,3.61,2.24,1.57,2.35
2026-08-08,Heidenheim,Osnabruck,4,3,1.65,3.9,5.0,1.63,3.87,4.75,1.67,2.15
2026-08-09,Cottbus,Hannover,3,1,3.1,3.5,2.15,2.97,3.59,2.11,1.53,2.4
2026-08-09,Nurnberg,Dresden,3,0,2.6,3.2,2.7,2.44,3.32,2.64,1.75,2.05
2026-08-09,St Pauli,Greuther Furth,1,1,1.62,4.0,4.75,1.63,3.91,4.52,1.6,2.3
2026-08-14,Holstein Kiel,St Pauli,2,2,2.63,3.5,2.55,2.56,3.43,2.49,1.7,2.1
2026-08-14,Braunschweig,Bochum,0,1,2.5,3.6,2.55,2.48,3.44,2.57,1.62,2.25
2026-08-15,Osnabruck,Magdeburg,0,3,2.45,3.5,2.7,2.39,3.57,2.57,1.57,2.35
2026-08-15,Kaiserslautern,Karlsruhe,0,0,2.0,3.75,3.4,1.96,3.69,3.29,1.57,2.35
2026-08-15,Greuther Furth,Nurnberg,2,4,3.1,3.5,2.2,2.97,3.51,2.16,1.62,2.25
2026-08-15,Hertha,Heidenheim,4,1,2.7,3.5,2.45,2.52,3.56,2.46,1.53,2.4
2026-08-16,Dresden,Darmstadt,1,0,2.0,3.6,3.5,1.97,3.61,3.38,1.62,2.25
2026-08-16,Bielefeld,Cottbus,3,0,1.55,4.33,5.5,1.55,4.2,4.96,1.48,2.6
2026-08-16,Hannover,Wolfsburg,0,1,2.2,3.7,2.9,2.19,3.67,2.85,1.44,2.7
2026-08-28,Bochum,Osnabruck,0,1,1.9,3.6,3.8,1.84,3.66,3.76,1.67,2.15
2026-08-28,Braunschweig,Hertha,3,5,2.75,3.5,2.4,2.69,3.46,2.37,1.57,2.35
2026-08-29,Nurnberg,Bielefeld,4,1,2.4,3.6,2.7,2.3,3.52,2.75,1.62,2.25
2026-08-29,Karlsruhe,Wolfsburg,2,5,3.0,3.6,2.2,2.93,3.55,2.18,1.57,2.35
2026-08-29,Heidenheim,Dresden,5,3,2.15,3.5,3.2,2.14,3.58,2.99,1.57,2.35
2026-08-29,Cottbus,Greuther Furth,3,4,2.5,3.7,2.6,2.43,3.58,2.55,1.6,2.3
2026-08-30,St Pauli,Kaiserslautern,1,2,1.8,3.75,4.1,1.77,3.69,4.03,1.67,2.15
2026-08-30,Magdeburg,Holstein Kiel,2,0,2.15,3.7,3.0,2.12,3.73,2.92,1.44,2.7
2026-08-30,Darmstadt,Hannover,0,1,2.8,3.6,2.3,2.81,3.62,2.21,1.48,2.6
2026-09-04,Bielefeld,St Pauli,2,2,2.2,3.5,2.8,2.26,3.52,2.81,1.6,2.3
2026-09-04,Hannover,Karlsruhe,2,2,1.48,4.75,5.25,1.46,4.78,5.34,1.3,3.5
2026-09-05,Kaiserslautern,Darmstadt,3,0,2.15,3.4,3.1,2.16,3.45,3.03,1.7,2.1
2026-09-05,Holstein Kiel,Nurnberg,2,2,2.05,3.6,3.2,2.09,3.67,3.03,1.48,2.6
2026-09-05,Wolfsburg,Cottbus,4,4,1.33,5.25,6.5,1.35,5.1,6.89,1.33,3.4
2026-09-05,Dresden,Bochum,1,2,2.2,3.3,3.0,2.16,3.4,3.01,1.8,2.0
2026-09-06,Greuther Furth,Heidenheim,0,1,3.3,3.7,1.95,3.08,3.75,2.03,1.44,2.7
2026-09-06,Osnabruck,Braunschweig,3,1,2.15,3.4,3.0,2.19,3.5,2.94,1.62,2.25
2026-09-06,Hertha,Magdeburg,2,1,1.9,3.8,3.5,1.89,3.98,3.35,1.33,3.4
