fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-08-14,Wolves,Blackburn,2,2,1.42,4.2,7.0,1.48,4.27,6.5,1.8,2.0
2026-08-15,Middlesbrough,Lincoln,2,1,1.49,4.5,5.75,1.49,4.34,6.28,1.8,2.0
2026-08-15,Portsmouth,QPR,1,3,2.25,3.2,3.2,2.34,3.2,3.1,2.2,1.67
2026-08-15,Stoke,Swansea,1,2,2.25,3.4,3.1,2.28,3.37,3.05,1.91,1.91
2026-08-15,Sheffield United,Birmingham,0,0,2.15,3.3,3.3,2.18,3.32,3.25,2.1,1.73
2026-08-15,Charlton,Derby,2,1,2.65,3.1,2.75,2.65,3.13,2.74,2.38,1.57
2026-08-15,Norwich,West Brom,1,2,1.91,3.5,3.8,1.96,3.54,3.72,1.91,1.91
2026-08-15,Bristol City,Millwall,0,2,2.4,3.4,2.75,2.49,3.38,2.73,1.91,1.91
2026-08-15,Bolton,Preston,2,1,2.3,3.25,3.0,2.34,3.29,3.02,2.0,1.8
2026-08-16,Watford,Southampton,2,1,3.7,3.5,1.91,3.6,3.66,1.96,1.73,2.1
2026-08-16,Burnley,West Ham,2,2,3.0,3.5,2.2,3.03,3.49,2.24,1.73,2.1
2026-08-17,Cardiff,Wrexham,1,1,2.45,3.5,2.65,2.46,3.52,2.68,1.67,2.2
2026-08-22,Derby,Cardiff,2,2,2.15,3.5,3.1,2.15,3.43,3.25,1.8,2.0
2026-08-22,Blackburn,Middlesbrough,2,1,3.7,3.6,1.86,3.69,3.56,1.95,1.83,2.03
2026-08-22,Millwall,Norwich,3,0,2.82,3.5,2.3,2.78,3.47,2.41,1.73,2.1
2026-08-22,Lincoln,Portsmouth,1,3,2.25,3.3,3.0,2.32,3.31,3.04,2.1,1.73
2026-08-22,Birmingham,Bristol City,2,2,1.62,3.7,5.0,1.71,3.67,4.76,1.98,1.88
2026-08-22,Preston,Wolves,1,3,3.7,3.2,2.05,3.6,3.44,2.02,2.0,1.85
2026-08-22,QPR,Bolton,0,0,1.81,3.7,3.9,1.88,3.63,3.9,1.88,1.98
2026-08-22,Swansea,Sheffield United,0,0,2.65,3.25,2.55,2.67,3.3,2.59,2.03,1.83
2026-08-22,Southampton,Stoke,3,1,1.56,4.0,5.0,1.62,4.13,4.89,1.67,2.2
2026-08-22,Wrexham,Watford,1,1,1.71,3.6,4.5,1.79,3.69,4.27,1.85,2.0
2026-08-22,West Ham,Charlton,1,2,1.39,4.5,6.5,1.41,4.74,6.73,1.57,2.38
2026-08-23,West Brom,Burnley,3,1,2.4,3.4,2.7,2.46,3.31,2.81,1.91,1.91
2026-08-28,Wrexham,Birmingham,1,2,2.15,3.25,3.5,2.18,3.22,3.42,2.2,1.67
2026-08-29,Cardiff,Sheffield United,2,2,2.65,3.6,2.32,2.74,3.67,2.34,1.57,2.38
2026-08-29,Charlton,Preston,1,0,2.05,3.4,3.5,2.08,3.35,3.5,2.03,1.83
2026-08-29,Bolton,Lincoln,0,1,2.4,3.4,2.7,2.42,3.37,2.81,1.83,2.03
2026-08-29,Blackburn,QPR,1,2,2.82,3.4,2.32,2.8,3.37,2.43,1.95,1.9
2026-08-29,Middlesbrough,West Brom,3,1,1.71,3.8,4.5,1.72,3.89,4.51,1.73,2.1
2026-08-29,Watford,West Ham,1,1,4.1,4.0,1.71,4.19,3.99,1.74,1.57,2.38
2026-08-29,Southampton,Millwall,5,1,1.96,3.75,3.3,1.95,3.73,3.49,1.62,2.3
2026-08-29,Wolves,Stoke,4,1,1.62,3.8,4.75,1.66,3.88,4.92,1.83,2.03
2026-08-29,Bristol City,Portsmouth,2,1,2.15,3.5,3.1,2.14,3.46,3.25,1.88,1.98
2026-08-29,Derby,Swansea,0,3,2.35,3.2,3.0,2.35,3.27,2.98,2.1,1.73
2026-08-29,Norwich,Burnley,4,1,1.91,3.6,3.6,1.99,3.66,3.43,1.67,2.2
2026-09-01,Lincoln,Blackburn,0,0,2.3,3.4,2.85,2.34,3.38,2.91,1.95,1.9
2026-09-01,Birmingham,Southampton,1,1,2.65,3.4,2.4,2.63,3.48,2.48,1.73,2.1
