fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-08-07,Cambuur,Excelsior,0,4,2.8,3.4,2.5,2.64,3.44,2.5,1.75,2.05
2026-08-08,AZ Alkmaar,Den Haag,2,0,1.36,5.0,8.0,1.35,5.09,7.53,1.4,2.88
2026-08-08,Nijmegen,Telstar,1,2,1.45,4.75,6.25,1.44,4.87,5.81,1.33,3.4
2026-08-08,PSV Eindhoven,For Sittard,2,2,1.2,7.5,13.0,1.16,8.07,12.63,1.2,4.33
2026-08-08,Go Ahead Eagles,Willem II,4,1,1.5,4.5,6.0,1.5,4.35,5.75,1.5,2.5
2026-08-09,Zwolle,Ajax,0,2,6.5,4.75,1.45,6.0,4.68,1.45,1.44,2.7
2026-08-09,Heerenveen,Twente,1,0,3.3,3.9,2.1,3.12,3.78,2.05,1.48,2.6
2026-08-09,Groningen,Utrecht,2,1,2.2,3.5,3.2,2.19,3.47,3.06,1.75,2.05
2026-08-09,Sparta Rotterdam,Feyenoord,0,1,4.75,4.33,1.62,4.94,4.23,1.58,1.53,2.4
2026-08-14,Telstar,Sparta Rotterdam,1,3,2.2,3.6,3.1,2.13,3.69,3.03,1.57,2.35
2026-08-15,For Sittard,Cambuur,3,1,1.62,4.1,5.25,1.59,4.21,4.82,1.5,2.5
2026-08-15,Excelsior,PSV Eindhoven,1,2,6.25,4.75,1.45,6.03,5.02,1.42,1.29,3.6
2026-08-15,Utrecht,AZ Alkmaar,1,4,2.9,3.7,2.3,2.87,3.54,2.28,1.7,2.1
2026-08-15,Willem II,Nijmegen,1,4,4.75,4.75,1.6,4.72,4.38,1.58,1.44,2.7
2026-08-16,Den Haag,Groningen,1,4,2.45,3.7,2.7,2.48,3.52,2.62,1.73,2.08
2026-08-16,Ajax,Heerenveen,2,2,1.44,4.75,6.5,1.42,4.75,6.28,1.44,2.7
2026-08-16,Feyenoord,Go Ahead Eagles,2,2,1.25,7.0,10.0,1.23,6.46,9.88,1.29,3.6
2026-08-16,Twente,Zwolle,3,1,1.29,6.25,9.0,1.26,6.06,9.23,1.4,2.88
2026-08-22,For Sittard,AZ Alkmaar,0,2,5.5,4.33,1.57,4.97,4.31,1.57,1.44,2.7
2026-08-22,Heerenveen,Zwolle,0,2,1.48,4.75,6.0,1.47,4.65,5.7,1.44,2.7
