fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-08-15,Sevilla,Vallecano,2,1,2.4,2.9,3.4,2.49,2.92,3.19,2.75,1.44
2026-08-15,Alaves,Getafe,3,0,2.35,2.7,3.8,2.32,2.76,3.75,3.75,1.29
2026-08-16,Santander,Villarreal,2,2,3.9,3.75,1.9,3.69,3.77,1.92,1.57,2.38
2026-08-16,Espanol,Levante,3,0,2.1,3.2,3.8,2.1,3.23,3.71,2.2,1.67
2026-08-17,La Coruna,Elche,1,1,2.15,3.2,3.6,2.19,3.15,3.53,2.3,1.62
2026-08-19,Ath Madrid,Malaga,2,0,1.45,4.6,7.0,1.46,4.51,6.53,1.67,2.2
2026-08-20,Vallecano,Alaves,1,1,2.45,3.2,3.1,2.42,3.07,3.07,2.3,1.62
2026-08-21,Betis,Sociedad,1,0,2.1,3.4,3.5,2.11,3.43,3.38,1.8,2.0
2026-08-22,Espanol,Real Madrid,1,2,7.5,5.0,1.4,7.35,4.88,1.39,1.53,2.5
2026-08-22,Valencia,Celta,0,0,2.45,3.1,3.0,2.42,3.12,3.04,2.38,1.57
2026-08-22,Ath Bilbao,Sevilla,1,3,1.75,3.6,5.0,1.75,3.57,4.79,2.1,1.73
2026-08-23,Ath Madrid,Villarreal,2,2,1.8,3.9,4.1,1.78,3.83,4.15,1.62,2.3
2026-08-23,Elche,Barcelona,0,5,8.5,5.5,1.33,8.35,5.52,1.32,1.5,2.63
2026-08-23,Getafe,Santander,1,0,2.25,3.1,3.5,2.27,3.07,3.42,2.2,1.67
2026-08-24,Osasuna,Levante,0,0,1.85,3.4,4.33,1.9,3.38,4.21,2.2,1.67
2026-08-24,Malaga,La Coruna,1,1,2.4,3.1,3.25,2.36,3.05,3.2,2.3,1.62
2026-08-25,Valencia,Betis,0,1,2.55,3.3,2.8,2.61,3.23,2.72,2.1,1.73
2026-08-26,Real Madrid,Sociedad,4,1,1.17,8.0,13.0,1.18,7.37,12.96,1.3,3.5
2026-08-27,Celta,Osasuna,1,2,1.85,3.3,4.5,1.85,3.29,4.63,2.3,1.62
2026-08-27,Barcelona,Ath Bilbao,2,0,1.22,6.5,12.0,1.22,6.64,10.81,1.33,3.4
2026-08-28,Santander,Elche,3,2,1.91,3.7,3.9,1.95,3.58,3.75,1.73,2.1
2026-08-28,Alaves,Villarreal,1,0,3.1,3.5,2.25,3.03,3.44,2.26,1.8,2.0
2026-08-29,Sevilla,Ath Madrid,1,3,4.1,3.5,1.91,3.99,3.43,1.93,2.1,1.73
2026-08-29,Sociedad,Espanol,2,1,1.9,3.7,4.0,1.85,3.68,4.02,1.73,2.1
2026-08-29,Levante,Betis,5,2,3.2,3.3,2.3,3.1,3.34,2.27,1.9,1.95
2026-08-30,La Coruna,Valencia,3,1,2.75,2.9,2.88,2.72,2.98,2.82,2.5,1.53
2026-08-30,Celta,Ath Bilbao,0,2,2.88,3.0,2.7,2.77,3.1,2.65,2.38,1.57
2026-08-30,Real Madrid,Malaga,4,0,1.09,11.0,21.0,1.09,10.72,21.88,1.22,4.33
2026-08-31,Barcelona,Vallecano,5,2,1.1,10.0,19.0,1.1,10.44,19.91,1.2,4.5
2026-08-31,Osasuna,Getafe,1,0,2.15,2.9,4.1,2.15,2.85,4.08,3.2,1.36
2026-09-03,Sociedad,Celta,0,0,1.75,3.7,4.75,1.76,3.66,4.52,1.8,2.0
2026-09-04,Betis,Real Madrid,1,0,6.25,5.0,1.44,5.87,5.0,1.44,1.4,3.0
2026-09-05,Vallecano,Santander,3,2,1.95,3.6,3.7,1.96,3.62,3.65,1.67,2.2
2026-09-05,Ath Bilbao,Ath Madrid,3,0,2.7,3.25,2.63,2.7,3.31,2.56,1.93,1.93
2026-09-05,Villarreal,La Coruna,2,3,1.44,4.75,7.0,1.44,4.67,6.7,1.67,2.2
2026-09-06,Malaga,Levante,0,0,2.35,3.3,3.0,2.41,3.29,2.91,1.93,1.93
2026-09-06,Alaves,Osasuna,5,2,2.2,3.1,3.6,2.2,3.11,3.5,2.38,1.57
2026-09-06,Valencia,Barcelona,0,5,10.0,6.5,1.25,10.48,6.39,1.24,1.36,3.2
2026-09-06,Espanol,Sevilla,1,1,2.3,3.2,3.25,2.3,3.16,3.23,2.2,1.67
2026-09-07,Getafe,Celta,1,1,2.75,2.75,3.0,2.74,2.67,3.06,3.5,1.3
2026-09-07,Elche,Sociedad,2,3,3.0,3.4,2.3,3.05,3.38,2.26,1.73,2.1
2026-09-11,Sevilla,Valencia,1,0,1.75,3.6,4.75,1.76,3.53,4.79,2.2,1.67
2026-09-12,Real Madrid,Vallecano,4,1,1.14,8.0,15.0,1.14,8.6,15.73,1.25,4.0
2026-09-12,Ath Bilbao,Elche,1,1,1.4,4.75,7.5,1.39,4.78,7.49,1.67,2.2
