fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-08-14,Sociedad B,Castellon,0,1,4.5,3.9,1.68,4.1,3.77,1.72,1.67,2.15
2026-08-15,Mallorca,Valladolid,2,0,1.66,3.5,5.25,1.67,3.55,4.78,1.95,1.85
2026-08-15,Andorra,Ceuta,5,1,1.51,4.0,5.75,1.55,3.89,5.39,1.8,2.0
2026-08-15,Cadiz,Celta B,0,0,2.1,3.5,3.25,2.08,3.31,3.25,1.9,1.9
2026-08-15,Oviedo,Granada,0,0,1.96,2.85,4.5,1.97,3.02,3.96,2.7,1.44
2026-08-16,Burgos,Cordoba,3,2,2.2,3.25,3.2,2.22,3.1,3.13,2.15,1.67
2026-08-16,Girona,Leganes,1,1,1.49,3.75,7.0,1.53,3.81,5.7,2.05,1.75
2026-08-16,Eibar,Tenerife,1,3,1.79,3.4,4.5,1.81,3.26,4.29,2.3,1.6
2026-08-16,Las Palmas,Albacete,2,1,2.01,3.4,3.6,1.94,3.31,3.64,2.0,1.8
2026-08-17,Sp Gijon,Sabadell,0,0,2.1,3.1,3.6,2.04,3.06,3.63,2.35,1.57
2026-08-17,Almeria,Eldense,3,0,1.42,4.5,6.5,1.43,4.44,6.09,1.57,2.35
2026-08-21,Cordoba,Girona,2,1,2.65,3.5,2.4,2.56,3.41,2.47,1.7,2.1
2026-08-22,Albacete,Sociedad B,1,2,1.62,3.6,5.25,1.66,3.65,4.79,1.85,1.95
2026-08-22,Ceuta,Las Palmas,0,2,2.65,3.4,2.45,2.73,3.36,2.34,1.62,2.25
2026-08-22,Eldense,Cadiz,2,2,2.1,3.1,3.7,2.13,3.07,3.38,2.15,1.67
2026-08-22,Oviedo,Leganes,0,1,1.76,3.3,4.75,1.77,3.18,4.7,2.5,1.5
2026-08-23,Tenerife,Almeria,1,0,2.65,3.1,2.65,2.67,3.07,2.58,2.15,1.67
2026-08-23,Eibar,Valladolid,1,0,1.96,3.0,4.33,2.01,2.95,3.94,2.5,1.5
2026-08-23,Castellon,Sabadell,0,0,1.62,3.4,5.5,1.68,3.53,4.81,1.95,1.85
2026-08-23,Sp Gijon,Burgos,1,0,1.91,3.1,4.1,1.96,3.15,3.83,2.25,1.62
2026-08-24,Celta B,Andorra,4,2,3.5,3.0,2.2,3.21,3.24,2.14,2.08,1.73
2026-08-24,Granada,Mallorca,2,0,3.1,3.0,2.55,2.95,2.96,2.43,2.4,1.53
2026-08-28,Tenerife,Sp Gijon,0,1,2.25,3.1,3.25,2.25,2.96,3.23,2.35,1.57
2026-08-29,Girona,Las Palmas,5,2,1.66,3.7,5.0,1.67,3.69,4.57,1.67,2.15
2026-08-29,Leganes,Eldense,1,0,1.86,3.5,3.9,1.84,3.33,4.07,2.1,1.7
2026-08-29,Albacete,Oviedo,0,1,2.35,3.2,3.0,2.35,3.0,2.99,2.4,1.53
2026-08-29,Sabadell,Almeria,1,0,2.57,3.1,2.7,2.56,3.02,2.72,2.3,1.6
2026-08-30,Andorra,Eibar,0,1,1.96,3.3,3.75,2.03,3.23,3.44,1.95,1.85
2026-08-30,Cadiz,Valladolid,1,1,2.65,3.0,2.7,2.56,2.99,2.72,2.25,1.62
