fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-08-08,Sochaux,St Etienne,0,3,3.4,3.5,1.95,3.66,3.39,1.92,1.98,1.83
2026-08-08,Pau FC,Annecy,0,1,2.55,3.25,2.55,2.59,3.18,2.57,2.08,1.73
2026-08-08,Nantes,Red Star,0,1,1.67,3.5,4.75,1.71,3.5,4.56,1.98,1.83
2026-08-08,Montpellier,Dijon,1,1,1.83,3.3,4.0,1.85,3.35,3.95,2.05,1.75
2026-08-08,Rodez,Laval,3,1,2.05,3.3,3.3,2.05,3.32,3.3,1.9,1.9
2026-08-08,Dunkerque,Grenoble,4,2,1.9,3.4,3.7,1.96,3.32,3.58,2.0,1.8
2026-08-08,Boulogne,Nancy,0,0,2.5,3.1,2.7,2.55,3.05,2.71,2.25,1.62
2026-08-08,Clermont,Reims,0,0,3.5,3.3,1.95,3.75,3.29,1.92,2.1,1.7
2026-08-08,Metz,Guingamp,2,1,2.0,3.4,3.3,1.96,3.33,3.54,1.95,1.85
2026-08-14,Laval,Nantes,2,1,3.5,3.3,1.95,3.53,3.29,1.99,2.03,1.78
2026-08-14,Nancy,Montpellier,0,1,2.7,3.25,2.63,2.63,3.18,2.56,2.08,1.73
2026-08-14,Red Star,Sochaux,0,0,1.9,3.4,3.7,1.91,3.3,3.81,2.03,1.78
2026-08-14,Reims,Dunkerque,3,3,1.73,3.7,4.75,1.71,3.66,4.4,1.83,1.98
2026-08-14,Grenoble,Metz,0,0,3.1,3.0,2.3,3.01,3.13,2.28,2.25,1.62
2026-08-14,Dijon,Pau FC,0,1,1.95,3.3,3.75,1.97,3.32,3.6,2.05,1.75
2026-08-14,Annecy,Rodez,2,0,2.55,3.25,2.75,2.43,3.27,2.71,1.9,1.9
2026-08-14,Guingamp,Boulogne,1,0,1.8,3.3,4.75,1.79,3.31,4.47,2.2,1.65
2026-08-14,St Etienne,Clermont,3,1,1.44,4.33,7.0,1.4,4.37,7.01,1.75,2.05
2026-08-21,Dunkerque,Montpellier,0,1,2.15,3.4,2.88,2.24,3.43,2.87,1.67,2.15
2026-08-21,Sochaux,Guingamp,1,0,2.55,3.1,2.5,2.65,3.18,2.53,2.05,1.75
2026-08-21,Boulogne,Red Star,1,1,3.4,3.2,1.95,3.62,3.13,2.02,2.35,1.57
2026-08-21,Clermont,Dijon,1,1,2.75,3.0,2.38,2.81,3.07,2.48,2.1,1.7
2026-08-21,Pau FC,Nancy,0,1,2.55,3.0,2.63,2.51,3.14,2.71,2.05,1.75
2026-08-22,Metz,Laval,1,1,1.7,3.3,4.5,1.76,3.47,4.4,2.0,1.8
2026-08-22,Nantes,Rodez,2,5,1.75,3.5,3.8,1.79,3.63,3.96,1.75,2.05
2026-08-22,St Etienne,Grenoble,4,0,1.29,4.75,8.5,1.32,4.74,8.67,1.73,2.08
2026-08-24,Reims,Annecy,3,1,1.85,3.25,3.75,1.87,3.35,3.94,2.08,1.73
2026-08-28,Laval,Grenoble,0,3,2.0,3.0,3.5,2.04,3.11,3.58,2.1,1.7
2026-08-28,Nancy,Dunkerque,2,0,2.15,3.1,3.0,2.3,3.3,2.85,1.9,1.9
2026-08-28,Montpellier,Boulogne,0,0,1.7,3.1,4.75,1.75,3.32,4.63,2.2,1.65
2026-08-28,Clermont,Sochaux,0,0,2.5,2.9,2.6,2.56,2.99,2.74,2.25,1.62
2026-08-28,Rodez,Pau FC,2,2,1.75,3.4,3.9,1.77,3.64,4.0,1.8,2.0
2026-08-29,Guingamp,Nantes,3,3,2.75,3.0,2.4,2.77,3.2,2.42,1.98,1.83
2026-08-29,Annecy,Metz,1,1,2.75,2.9,2.4,2.77,3.1,2.49,2.15,1.67
2026-08-29,Red Star,Reims,1,4,2.75,3.1,2.35,2.83,3.26,2.34,1.9,1.9
2026-08-31,Dijon,St Etienne,2,3,5.0,3.4,1.57,4.84,3.6,1.66,2.05,1.75
2026-09-04,Laval,Red Star,1,2,3.0,3.0,2.25,2.98,3.15,2.3,2.05,1.75
2026-09-04,Grenoble,Annecy,1,2,3.25,2.9,2.15,3.32,3.02,2.2,2.4,1.53
2026-09-04,Dunkerque,Clermont,1,1,1.75,3.25,4.2,1.8,3.4,4.2,1.9,1.9
2026-09-04,Boulogne,Dijon,1,1,2.7,3.0,2.45,2.81,3.07,2.47,2.25,1.62
2026-09-04,Pau FC,Sochaux,1,1,2.3,3.2,2.8,2.32,3.15,2.98,2.15,1.67
2026-09-05,St Etienne,Montpellier,3,1,1.5,3.7,5.5,1.52,4.09,5.36,1.65,2.2
2026-09-05,Metz,Rodez,4,1,1.8,3.25,4.0,1.89,3.52,3.71,1.73,2.08
2026-09-05,Reims,Guingamp,2,2,1.67,3.4,4.5,1.69,3.64,4.53,1.7,2.1
2026-09-07,Nantes,Nancy,1,0,1.8,3.3,3.9,1.87,3.37,3.86,1.88,1.93
