fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-08-07,Estoril,Famalicao,1,1,3.0,3.25,2.3,2.88,3.22,2.39,2.05,1.75
2026-08-08,Maritimo,Casa Pia,1,0,1.86,3.3,4.1,1.95,3.19,3.97,2.4,1.53
2026-08-08,Guimaraes,Arouca,0,1,1.86,3.4,4.0,1.91,3.47,3.81,1.88,1.98
2026-08-08,Estrela,Sp Lisbon,2,2,9.0,4.75,1.3,8.63,4.98,1.32,1.67,2.15
2026-08-09,Porto,Alverca,2,0,1.17,5.75,15.0,1.19,6.0,13.3,1.67,2.15
2026-08-09,Benfica,Academico Viseu,2,2,1.09,9.0,19.0,1.1,8.93,19.63,1.36,3.1
2026-08-09,Gil Vicente,Rio Ave,1,0,2.1,3.2,3.4,2.09,3.23,3.47,2.15,1.67
2026-08-09,Moreirense,Sp Braga,2,2,6.0,3.9,1.51,6.05,3.89,1.53,2.08,1.73
2026-08-10,Santa Clara,Nacional,2,2,1.86,3.0,4.75,1.88,3.13,4.46,2.6,1.48
2026-08-14,Sp Lisbon,Guimaraes,3,2,1.39,4.75,6.5,1.38,4.76,7.12,1.6,2.3
2026-08-15,Rio Ave,Porto,0,2,8.5,4.75,1.35,8.3,4.76,1.34,1.75,2.05
2026-08-15,Alverca,Estrela,2,2,2.05,3.25,3.6,2.09,3.22,3.45,2.05,1.8
2026-08-15,Academico Viseu,Santa Clara,0,1,2.65,2.85,2.82,2.69,3.02,2.69,2.5,1.5
2026-08-16,Nacional,Estoril,2,0,3.0,3.3,2.32,2.86,3.27,2.37,1.93,1.93
2026-08-16,Arouca,Moreirense,4,0,1.71,3.6,4.75,1.78,3.46,4.38,2.05,1.75
2026-08-16,Famalicao,Maritimo,1,2,1.68,3.5,5.0,1.72,3.47,4.87,2.1,1.7
2026-08-17,Casa Pia,Benfica,0,7,13.0,6.5,1.17,13.88,6.84,1.17,1.48,2.6
2026-08-22,Sp Lisbon,Alverca,3,1,1.22,5.75,11.0,1.22,6.34,11.06,1.44,2.7
2026-08-22,Maritimo,Academico Viseu,2,2,1.96,3.25,3.9,2.01,3.21,3.77,2.25,1.62
2026-08-22,Estoril,Rio Ave,0,2,1.91,3.4,3.9,1.95,3.46,3.62,1.9,1.95
2026-08-23,Guimaraes,Nacional,1,0,1.53,3.8,6.0,1.59,3.86,5.4,1.85,1.95
2026-08-23,Porto,Arouca,2,0,1.27,5.0,9.5,1.27,5.28,9.67,1.62,2.25
2026-08-23,Santa Clara,Famalicao,1,0,2.85,2.85,2.57,2.79,2.94,2.64,2.5,1.5
2026-08-24,Gil Vicente,Casa Pia,2,0,1.71,3.3,5.0,1.75,3.34,4.88,2.4,1.53
2026-08-28,Rio Ave,Sp Lisbon,0,4,8.0,5.5,1.3,8.15,5.24,1.32,1.53,2.4
2026-08-29,Alverca,Santa Clara,1,1,2.25,3.2,3.1,2.32,3.07,3.08,2.25,1.62
2026-08-29,Arouca,Maritimo,2,1,1.96,3.4,3.75,2.06,3.27,3.53,2.05,1.75
2026-08-29,Academico Viseu,Porto,0,3,9.5,4.75,1.3,9.52,4.91,1.31,1.85,1.95
2026-08-30,Famalicao,Gil Vicente,0,0,1.76,3.25,5.0,1.83,3.25,4.45,2.35,1.57
2026-08-30,Nacional,Estrela,2,3,2.32,3.1,3.1,2.34,3.18,3.0,2.15,1.67
2026-08-30,Casa Pia,Moreirense,0,1,2.55,3.0,2.82,2.57,3.04,2.8,2.5,1.5
2026-08-31,Benfica,Estoril,2,1,1.08,11.0,17.0,1.09,9.99,19.25,1.25,4.0
2026-08-31,Sp Braga,Guimaraes,1,0,1.76,3.4,5.0,1.8,3.36,4.47,2.25,1.62
2026-09-04,Porto,Moreirense,2,1,1.1,7.5,21.0,1.11,8.1,20.08,1.5,2.5
2026-09-05,Sp Lisbon,Nacional,2,0,1.09,8.5,19.0,1.11,8.8,18.73,1.36,3.1
2026-09-05,Maritimo,Benfica,0,3,15.0,6.5,1.15,13.03,6.72,1.17,1.48,2.6
2026-09-05,Alverca,Sp Braga,1,2,5.0,3.6,1.68,4.73,3.5,1.73,2.05,1.75
2026-09-05,Estrela,Famalicao,2,2,3.0,3.2,2.35,2.89,3.15,2.42,2.15,1.67
2026-09-06,Santa Clara,Rio Ave,4,0,1.91,3.2,4.1,1.94,3.15,4.11,2.35,1.57
2026-09-06,Guimaraes,Casa Pia,0,0,1.42,4.1,7.5,1.45,4.09,6.99,2.03,1.83
2026-09-06,Gil Vicente,Academico Viseu,0,1,2.4,2.75,3.3,2.38,2.95,3.14,2.6,1.48
2026-09-07,Estoril,Arouca,0,0,2.35,3.4,2.75,2.39,3.37,2.76,1.85,2.0
2026-09-09,Moreirense,Benfica,0,4,15.0,9.5,1.1,17.46,8.39,1.12,1.4,2.88
2026-09-10,Estrela,Sp Braga,2,1,5.75,3.9,1.56,5.81,3.84,1.54,2.03,1.83
