fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-08-22,Inter,Monza,4,1,1.14,8.5,17.0,1.15,7.82,17.22,1.5,2.63
2026-08-22,Udinese,Como,1,1,5.25,3.7,1.7,5.0,3.59,1.72,2.03,1.83
2026-08-22,Genoa,Napoli,0,2,4.0,3.1,2.05,3.94,3.06,2.07,2.63,1.5
2026-08-22,Parma,Cagliari,0,1,2.9,2.88,2.7,2.86,2.86,2.74,3.0,1.4
2026-08-23,Venezia,Lecce,0,2,1.8,3.5,4.5,1.79,3.51,4.54,1.91,1.91
2026-08-23,Torino,Milan,1,2,4.33,3.4,1.85,4.39,3.35,1.87,2.2,1.67
2026-08-23,Atalanta,Sassuolo,2,1,1.55,4.2,5.75,1.51,4.34,5.88,1.67,2.2
2026-08-23,Frosinone,Juventus,0,1,6.25,4.75,1.45,6.67,4.69,1.43,1.57,2.38
2026-08-24,Roma,Fiorentina,4,0,1.73,3.75,4.75,1.71,3.73,4.81,1.91,1.91
2026-08-24,Bologna,Lazio,0,1,2.6,3.0,3.0,2.46,3.03,3.07,2.38,1.57
2026-08-28,Milan,Venezia,2,0,1.5,4.5,6.25,1.48,4.44,6.36,1.67,2.2
2026-08-29,Fiorentina,Frosinone,0,3,1.73,4.0,4.33,1.72,3.89,4.38,1.62,2.3
2026-08-29,Monza,Udinese,2,3,2.88,3.2,2.6,2.89,3.06,2.57,2.2,1.67
2026-08-29,Sassuolo,Torino,2,1,2.25,3.25,3.3,2.24,3.26,3.24,2.0,1.8
2026-08-29,Juventus,Parma,2,0,1.2,6.5,15.0,1.2,6.34,14.38,1.62,2.3
2026-08-30,Cagliari,Inter,0,1,7.5,4.75,1.4,7.58,4.73,1.39,1.67,2.2
2026-08-30,Napoli,Como,1,2,2.25,3.1,3.4,2.29,3.06,3.36,2.3,1.62
2026-08-30,Lazio,Genoa,1,0,2.3,2.9,3.7,2.25,2.94,3.61,2.63,1.5
2026-08-31,Atalanta,Bologna,1,0,1.9,3.5,4.1,1.85,3.56,4.16,1.91,1.91
2026-08-31,Lecce,Roma,0,4,7.5,4.33,1.44,6.86,4.29,1.46,1.88,1.98
2026-09-04,Genoa,Como,1,4,5.5,3.5,1.7,5.38,3.61,1.67,2.0,1.85
2026-09-05,Roma,Atalanta,2,1,1.65,3.8,5.25,1.67,3.85,4.95,1.8,2.0
2026-09-05,Inter,Napoli,3,2,1.62,3.9,5.25,1.63,3.86,5.24,1.8,2.0
2026-09-05,Fiorentina,Torino,1,2,2.05,3.25,3.9,2.03,3.32,3.71,1.93,1.93
2026-09-06,Juventus,Milan,1,1,2.2,3.1,3.6,2.19,3.09,3.55,2.3,1.62
2026-09-06,Frosinone,Venezia,3,2,2.4,3.6,2.75,2.38,3.52,2.8,1.5,2.63
2026-09-06,Bologna,Sassuolo,2,2,1.95,3.7,3.9,1.92,3.55,3.88,1.8,2.0
2026-09-06,Parma,Monza,1,1,2.8,2.88,2.8,2.81,2.86,2.79,2.63,1.5
2026-09-07,Udinese,Lazio,1,2,2.88,3.1,2.6,2.79,3.04,2.66,2.2,1.67
2026-09-07,Cagliari,Lecce,1,0,2.2,3.0,3.6,2.21,3.03,3.55,2.3,1.62
2026-09-11,Venezia,Fiorentina,2,4,3.0,3.4,2.38,2.81,3.38,2.44,1.73,2.1
2026-09-12,Atalanta,Cagliari,1,2,1.67,3.8,5.0,1.67,3.8,4.97,1.85,2.0
2026-09-12,Lazio,Milan,2,2,3.9,3.2,2.05,3.79,3.19,2.07,2.2,1.67
2026-09-12,Genoa,Frosinone,1,1,2.3,3.4,3.1,2.26,3.33,3.13,1.73,2.1
2026-09-13,Lecce,Monza,3,2,2.88,3.1,2.63,2.82,2.98,2.69,2.2,1.67
2026-09-13,Napoli,Bologna,1,0,1.8,3.6,4.5,1.79,3.57,4.45,1.91,1.91
2026-09-13,Sassuolo,Juventus,3,2,5.25,3.8,1.65,5.15,3.8,1.65,1.93,1.93
2026-09-14,Inter,Udinese,5,3,1.2,6.5,13.0,1.19,6.89,12.88,1.4,3.0
2026-09-14,Torino,Roma,0,2,6.0,4.2,1.53,5.99,4.12,1.52,1.8,2.0
2026-09-14,Como,Parma,2,1,1.2,6.0,15.0,1.21,6.45,12.94,1.53,2.5
2026-09-18,Monza,Sassuolo,2,1,2.8,3.3,2.5,2.8,3.35,2.47,1.73,2.1
2026-09-19,Bologna,Torino,1,1,1.95,3.25,4.2,1.96,3.26,4.1,2.2,1.67
2026-09-19,Venezia,Lazio,0,2,3.9,3.5,1.95,3.72,3.55,1.96,1.8,2.0
2026-09-19,Udinese,Cagliari,0,1,2.25,3.2,3.4,2.23,3.14,3.41,2.2,1.67
2026-09-19,Roma,Inter,2,2,2.7,3.4,2.55,2.64,3.44,2.54,1.62,2.3
2026-09-20,Fiorentina,Napoli,1,1,3.2,3.3,2.3,3.16,3.33,2.26,1.91,1.91
2026-09-20,Frosinone,Como,2,0,6.25,5.0,1.44,6.0,5.02,1.44,1.33,3.4
2026-09-20,Parma,Genoa,2,1,3.3,2.9,2.4,3.26,2.93,2.41,2.63,1.5
2026-09-20,Juventus,Atalanta,2,0,1.62,4.0,5.25,1.62,3.93,5.16,1.83,2.03
2026-09-20,Milan,Lecce,3,0,1.22,6.0,13.0,1.22,6.11,12.5,1.53,2.5
