fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-08-21,Vicenza,Catanzaro,3,2,2.25,3.1,3.25,2.25,3.09,3.16,2.05,1.75
2026-08-22,Benevento,Modena,1,2,2.35,3.25,2.85,2.37,3.17,2.86,2.0,1.8
2026-08-22,Empoli,Cremonese,1,0,3.2,3.2,2.25,3.13,3.06,2.28,2.1,1.7
2026-08-22,Carrarese,Mantova,1,2,3.1,3.2,2.3,2.96,3.07,2.37,2.1,1.7
2026-08-22,Sudtirol,Virtus Entella,1,0,2.1,3.1,3.5,2.12,2.98,3.6,2.4,1.53
2026-08-22,Avellino,Arezzo,1,2,2.05,3.3,3.4,2.11,3.09,3.45,2.25,1.62
2026-08-23,Palermo,Juve Stabia,1,0,1.46,3.9,7.0,1.46,4.04,6.58,1.9,1.9
2026-08-23,Cesena,Sampdoria,1,1,2.45,3.2,2.75,2.51,3.13,2.73,2.05,1.75
2026-08-23,Verona,Ascoli,1,2,1.76,3.4,4.75,1.72,3.41,4.75,2.0,1.8
2026-08-23,Pisa,Padova,0,1,1.71,3.5,4.75,1.74,3.39,4.59,2.08,1.73
2026-08-28,Cremonese,Modena,0,3,2.35,3.2,2.75,2.43,3.08,2.81,2.05,1.75
2026-08-29,Virtus Entella,Cesena,1,2,1.79,3.25,4.33,1.85,3.27,4.11,2.1,1.7
2026-08-29,Ascoli,Carrarese,1,1,1.79,3.5,4.1,1.82,3.41,4.08,1.9,1.9
2026-08-29,Avellino,Vicenza,3,0,2.25,3.1,3.0,2.3,3.0,3.13,2.25,1.62
2026-08-29,Padova,Verona,1,1,2.7,3.2,2.4,2.78,3.11,2.46,2.05,1.75
2026-08-29,Sampdoria,Juve Stabia,1,2,1.71,3.25,4.75,1.75,3.31,4.63,2.2,1.65
2026-08-30,Arezzo,Palermo,2,3,3.5,3.25,2.01,3.62,3.12,2.03,2.1,1.7
2026-08-30,Mantova,Empoli,3,1,1.81,3.4,3.9,1.89,3.3,3.86,1.93,1.88
2026-08-30,Benevento,Sudtirol,1,1,1.81,3.5,4.0,1.87,3.3,4.01,1.98,1.83
2026-08-30,Pisa,Catanzaro,2,1,1.76,3.2,4.33,1.82,3.34,4.19,2.05,1.75
2026-09-05,Carrarese,Empoli,0,1,2.15,3.2,3.0,2.3,3.12,3.02,2.08,1.73
2026-09-05,Ascoli,Benevento,1,0,2.57,3.1,2.5,2.53,3.19,2.59,1.75,2.05
2026-09-05,Sudtirol,Catanzaro,2,0,2.32,3.1,2.85,2.35,3.07,2.98,2.05,1.75
2026-09-06,Verona,Arezzo,5,0,1.76,3.4,4.2,1.78,3.35,4.38,2.05,1.75
2026-09-06,Virtus Entella,Vicenza,2,2,2.01,3.1,3.7,2.06,3.09,3.58,2.15,1.67
2026-09-06,Modena,Avellino,0,1,1.53,3.6,5.75,1.61,3.6,5.33,2.0,1.8
2026-09-06,Juve Stabia,Pisa,0,3,3.2,3.1,2.15,3.22,3.06,2.23,2.08,1.73
2026-09-06,Cesena,Mantova,1,1,2.7,3.3,2.4,2.77,3.25,2.4,1.8,2.0
2026-09-06,Cremonese,Padova,3,1,1.91,3.2,4.0,1.95,3.18,3.86,2.15,1.67
2026-09-07,Palermo,Sampdoria,3,1,1.53,3.8,5.5,1.57,3.83,5.18,1.73,2.08
2026-09-11,Pisa,Virtus Entella,1,4,1.81,3.2,4.5,1.81,3.23,4.43,2.1,1.7
2026-09-11,Empoli,Arezzo,0,1,1.96,3.2,4.0,1.98,3.17,3.78,2.15,1.67
2026-09-11,Benevento,Verona,3,1,2.57,3.2,2.57,2.69,3.08,2.57,2.1,1.7
2026-09-12,Padova,Ascoli,1,0,2.05,3.3,3.4,2.12,3.21,3.32,2.03,1.78
2026-09-12,Catanzaro,Carrarese,1,0,1.76,3.4,4.5,1.75,3.48,4.41,1.85,1.95
2026-09-12,Cesena,Cremonese,2,2,3.2,3.2,2.25,3.02,3.18,2.27,1.85,1.95
2026-09-12,Vicenza,Juve Stabia,1,1,1.86,3.4,4.2,1.87,3.36,3.96,1.83,1.98
2026-09-12,Sudtirol,Modena,1,1,3.7,3.0,2.05,3.54,3.05,2.09,2.1,1.7
2026-09-13,Mantova,Sampdoria,2,0,2.25,3.1,3.25,2.25,3.13,3.08,2.0,1.8
2026-09-13,Avellino,Palermo,1,1,4.0,3.4,1.91,3.66,3.27,1.96,1.9,1.9
