eq_a,eq_b,n,goles,over25,btts,ultimos
Aldosivi,Argentinos Jrs,9,3.0,0.56,0.56,Arg2-1Ald;Arg0-2Ald;Ald0-2Arg;Ald0-2Arg;Arg2-1Ald
Aldosivi,Arsenal Sarandi,4,3.0,1.0,0.5,Ald3-0Ars;Ald2-1Ars;Ald1-2Ars;Ars3-0Ald
Aldosivi,Atl. Tucuman,3,2.33,0.33,0.67,Atl2-2Ald;Ald0-1Atl;Atl1-1Ald
Aldosivi,Banfield,7,2.14,0.29,0.43,Ald0-1Ban;Ald2-1Ban;Ban0-1Ald;Ban2-0Ald;Ald3-1Ban
Aldosivi,Barracas Central,6,2.33,0.5,0.5,Ald2-0Bar;Ald1-3Bar;Bar3-1Ald;Ald0-0Bar;Bar1-0Ald
Aldosivi,Belgrano,3,1.0,0.0,0.0,Bel2-0Ald;Ald0-0Bel;Bel1-0Ald
Aldosivi,Boca Juniors,5,2.8,0.8,0.6,Ald0-3Boc;Ald1-2Boc;Boc2-1Ald;Boc2-1Ald;Ald0-2Boc
Aldosivi,Central Cordoba,6,1.17,0.33,0.17,Cen0-0Ald;Ald0-0Cen;Ald0-3Cen;Cen1-0Ald;Ald0-0Cen
Aldosivi,Colon Santa FE,3,3.33,1.0,0.67,Col2-1Ald;Ald3-0Col;Col1-3Ald
Aldosivi,Defensa y Justicia,7,3.29,0.43,0.43,Def3-2Ald;Ald0-5Def;Def2-0Ald;Ald0-0Def;Def1-1Ald
Aldosivi,Estudiantes L.P.,8,2.0,0.38,0.38,Est2-3Ald;Est2-1Ald;Ald0-1Est;Ald2-2Est;Est1-0Ald
Aldosivi,Gimnasia L.P.,4,2.75,0.75,0.75,Ald1-3Gim;Gim0-0Ald;Gim3-1Ald;Ald1-2Gim
Aldosivi,Godoy Cruz,4,3.0,0.5,0.5,Ald1-2God;Ald1-4God;God0-2Ald;God2-0Ald
Aldosivi,Huracan,6,2.17,0.17,0.17,Ald0-2Hur;Ald0-1Hur;Hur3-3Ald;Ald2-0Hur;Ald0-0Hur
Aldosivi,Ind. Rivadavia,3,2.33,0.33,0.67,Ind1-0Ald;Ald3-1Ind;Ald1-1Ind
Aldosivi,Independiente,3,2.0,0.33,0.33,Ald1-0Ind;Ind1-1Ald;Ind3-0Ald
