eq_a,eq_b,n,goles,over25,btts,ultimos
America MG,Athletico-PR,6,2.5,0.33,0.5,Ame2-0Ath;Ame1-0Ath;Ath1-1Ame;Ame2-2Ath;Ath3-2Ame
America MG,Atletico GO,4,1.25,0.0,0.5,Atl1-1Ame;Ame0-0Atl;Atl0-1Ame;Ame1-1Atl
America MG,Atletico-MG,6,2.17,0.33,0.67,Atl1-0Ame;Atl1-2Ame;Ame1-1Atl;Atl2-2Ame;Ame1-1Atl
America MG,Avai,2,2.5,0.5,0.5,Ava1-0Ame;Ame3-1Ava
America MG,Bahia,4,4.0,0.75,0.75,Bah3-4Ame;Ame0-0Bah;Bah3-1Ame;Ame3-2Bah
America MG,Botafogo RJ,4,1.75,0.25,0.5,Ame1-1Bot;Bot0-0Ame;Bot2-0Ame;Ame1-2Bot
America MG,Bragantino,6,3.0,0.5,0.5,Bra1-1Ame;Ame0-3Bra;Bra1-4Ame;Bra2-2Ame;Ame0-2Bra
America MG,Ceara,4,1.75,0.25,0.25,Ame2-0Cea;Cea0-0Ame;Ame0-2Cea;Cea1-2Ame
America MG,Chapecoense-SC,2,2.5,0.5,0.5,Cha1-1Ame;Ame3-0Cha
America MG,Corinthians,6,1.67,0.0,0.5,Cor1-1Ame;Cor1-1Ame;Ame1-0Cor;Ame2-0Cor;Cor1-1Ame
America MG,Coritiba,4,2.5,0.5,0.25,Cor1-0Ame;Ame2-0Cor;Cor3-1Ame;Ame0-3Cor
America MG,Cruzeiro,2,3.0,0.5,0.5,Ame0-4Cru;Cru1-1Ame
America MG,Cuiaba,6,2.5,0.67,0.67,Cui0-2Ame;Ame2-1Cui;Cui2-1Ame;Ame1-2Cui;Cui2-2Ame
America MG,Flamengo RJ,6,2.5,0.5,0.5,Ame1-1Fla;Fla3-0Ame;Ame1-2Fla;Fla1-1Ame;Ame0-3Fla
America MG,Fluminense,6,2.0,0.33,0.17,Flu2-0Ame;Ame0-0Flu;Flu0-2Ame;Ame0-3Flu;Flu3-1Ame
America MG,Fortaleza,6,3.17,0.83,0.67,Ame2-1For;For1-0Ame;Ame1-2For;Ame2-1For;For3-2Ame
America MG,Goias,4,1.75,0.25,0.25,Ame1-0Goi;Goi2-2Ame;Ame0-1Goi;Goi1-0Ame
America MG,Gremio,4,4.25,0.75,1.0,Gre1-1Ame;Ame3-1Gre;Gre3-1Ame;Ame3-4Gre
America MG,Internacional,6,2.17,0.33,0.67,Int3-1Ame;Int1-0Ame;Ame1-0Int;Ame1-2Int;Int1-1Ame
America MG,Juventude,4,2.5,0.25,0.75,Ame1-1Juv;Juv1-1Ame;Ame4-1Juv;Juv0-1Ame
America MG,Palmeiras,6,3.17,0.83,0.67,Ame2-1Pal;Ame0-1Pal;Pal2-1Ame;Ame1-4Pal;Pal4-0Ame
America MG,Santos,6,2.5,0.33,0.17,San0-2Ame;San3-0Ame;Ame1-0San;San3-2Ame;Ame2-0San
America MG,Sao Paulo,6,2.0,0.5,0.33,Ame2-0Sao;Sao1-0Ame;Ame1-2Sao;Sao3-0Ame;Ame2-1Sao
America MG,Sport Recife,2,3.0,0.5,0.5,Ame0-1Spo;Spo2-3Ame
America MG,Vasco,2,2.0,0.5,0.5,Ame0-1Vas;Vas2-1Ame
Athletico-PR,Atletico GO,8,2.75,0.5,0.75,Atl0-2Ath;Ath4-1Atl;Atl1-1Ath;Atl1-2Ath;Ath2-0Atl
Athletico-PR,Atletico-MG,11,2.0,0.27,0.36,Atl2-1Ath;Ath1-1Atl;Ath1-0Atl;Atl1-0Ath;Atl2-1Ath
Athletico-PR,Avai,2,2.5,0.5,1.0,Ath2-1Ava;Ava1-1Ath
Athletico-PR,Bahia,10,2.3,0.4,0.5,Bah1-1Ath;Ath1-3Bah;Bah1-1Ath;Bah3-0Ath;Ath2-1Bah
Athletico-PR,Botafogo RJ,9,2.56,0.33,0.44,Bot1-1Ath;Bot1-1Ath;Ath0-1Bot;Ath4-1Bot;Bot2-3Ath
Athletico-PR,Bragantino,11,2.82,0.36,0.64,Ath1-1Bra;Bra1-0Ath;Ath1-2Bra;Bra1-1Ath;Ath1-1Bra
Athletico-PR,Ceara,6,1.17,0.17,0.17,Cea0-2Ath;Cea1-0Ath;Ath2-1Cea;Ath1-0Cea;Cea0-0Ath
Athletico-PR,Chapecoense-SC,3,2.67,0.33,0.67,Ath2-2Cha;Cha1-1Ath;Ath2-0Cha
Athletico-PR,Corinthians,12,2.17,0.25,0.42,Cor1-0Ath;Ath1-1Cor;Cor5-2Ath;Ath0-1Cor;Cor0-0Ath
Athletico-PR,Coritiba,7,2.43,0.29,0.29,Ath1-0Cor;Ath3-2Cor;Cor2-0Ath;Ath2-0Cor;Cor3-3Ath
Athletico-PR,Criciuma,2,2.0,0.5,0.5,Ath3-1Cri;Cri0-0Ath
Athletico-PR,Cruzeiro,6,3.33,0.67,0.67,Cru1-1Ath;Cru2-0Ath;Ath3-0Cru;Ath2-1Cru;Cru3-1Ath
Athletico-PR,Cuiaba,8,2.38,0.5,0.25,Ath2-2Cui;Ath2-0Cui;Cui3-0Ath;Ath4-0Cui;Cui1-2Ath
Athletico-PR,Flamengo RJ,11,2.82,0.64,0.55,Ath2-1Fla;Fla0-3Ath;Ath1-1Fla;Fla1-0Ath;Ath1-1Fla
Athletico-PR,Fluminense,11,3.09,0.55,0.64,Ath2-2Flu;Flu1-0Ath;Ath1-1Flu;Flu3-2Ath;Ath3-3Flu
Athletico-PR,Fortaleza,9,1.89,0.33,0.56,Ath1-1For;For1-0Ath;Ath1-1For;For1-0Ath;Ath1-1For
Athletico-PR,Goias,5,2.6,0.4,0.6,Goi0-1Ath;Goi2-1Ath;Ath3-2Goi;Ath2-0Goi;Goi1-1Ath
Athletico-PR,Gremio,9,2.33,0.44,0.44,Ath1-2Gre;Gre1-2Ath;Gre2-0Ath;Ath0-2Gre;Ath0-0Gre
Athletico-PR,Internacional,12,2.0,0.42,0.42,Ath2-1Int;Ath1-0Int;Int2-2Ath;Int0-1Ath;Ath2-0Int
Athletico-PR,Juventude,6,2.83,0.67,0.67,Ath2-1Juv;Juv1-3Ath;Ath2-0Juv;Juv1-1Ath;Ath1-2Juv
Athletico-PR,Palmeiras,10,2.2,0.4,0.3,Ath2-2Pal;Pal1-0Ath;Pal0-2Ath;Ath0-2Pal;Pal1-0Ath
Athletico-PR,Santos,9,2.33,0.44,0.44,San2-0Ath;San1-1Ath;Ath3-0San;Ath2-1San;San0-2Ath
Athletico-PR,Sao Paulo,10,2.4,0.6,0.7,Sao2-1Ath;Ath1-1Sao;Ath1-2Sao;Sao2-1Ath;Sao1-2Ath
Athletico-PR,Sport Recife,4,1.25,0.0,0.25,Spo1-0Ath;Ath2-0Spo;Ath0-0Spo;Spo1-1Ath
Athletico-PR,Vasco,6,1.67,0.33,0.17,Vas0-2Ath;Ath0-0Vas;Ath1-0Vas;Vas2-1Ath;Vas1-0Ath
Athletico-PR,Vitoria,3,2.67,0.67,0.67,Vit0-1Ath;Ath1-2Vit;Ath3-1Vit
Atletico GO,Atletico-MG,7,2.71,0.43,0.57,Atl2-1Atl;Atl2-0Atl;Atl0-2Atl;Atl1-1Atl;Atl1-0Atl
Atletico GO,Avai,2,3.0,1.0,1.0,Atl2-1Ava;Ava1-2Atl
Atletico GO,Bahia,5,2.4,0.4,0.8,Atl1-1Bah;Bah1-2Atl;Atl2-1Bah;Atl1-1Bah;Bah2-0Atl
Atletico GO,Botafogo RJ,6,2.33,0.33,0.67,Bot1-3Atl;Atl1-1Bot;Bot0-0Atl;Bot1-0Atl;Atl1-4Bot
Atletico GO,Bragantino,8,2.25,0.5,0.38,Bra1-0Atl;Bra4-0Atl;Atl2-1Bra;Bra3-1Atl;Atl0-0Bra
Atletico GO,Ceara,5,1.6,0.2,0.6,Cea1-2Atl;Cea0-0Atl;Atl1-1Cea;Cea1-1Atl;Atl1-0Cea
Atletico GO,Chapecoense-SC,2,1.5,0.0,0.5,Atl1-1Cha;Cha0-1Atl
Atletico GO,Corinthians,8,2.0,0.38,0.5,Atl1-1Cor;Atl0-1Cor;Cor2-1Atl;Atl2-2Cor;Cor3-0Atl
Atletico GO,Coritiba,4,2.25,0.25,0.25,Cor1-0Atl;Atl3-1Cor;Atl2-0Cor;Cor2-0Atl
Atletico GO,Criciuma,2,2.5,0.5,0.5,Atl1-2Cri;Cri2-0Atl
Atletico GO,Cruzeiro,2,2.5,0.5,0.5,Atl0-1Cru;Cru3-1Atl
Atletico GO,Cuiaba,6,1.17,0.17,0.5,Atl0-0Cui;Cui1-1Atl;Atl1-1Cui;Cui0-0Atl;Atl0-0Cui
Atletico GO,Flamengo RJ,7,2.57,0.29,0.57,Atl2-0Fla;Atl1-1Fla;Fla4-1Atl;Atl1-2Fla;Fla2-0Atl
Atletico GO,Fluminense,7,2.14,0.43,0.43,Flu0-0Atl;Flu0-2Atl;Atl3-2Flu;Flu1-2Atl;Atl1-0Flu
Atletico GO,Fortaleza,8,2.0,0.38,0.38,For0-3Atl;Atl0-1For;For1-1Atl;For3-1Atl;Atl3-1For
Atletico GO,Goias,3,1.67,0.33,0.33,Atl0-1Goi;Atl0-1Goi;Goi2-1Atl
Atletico GO,Gremio,5,2.4,0.4,0.6,Gre2-1Atl;Gre0-1Atl;Atl2-0Gre;Atl1-1Gre;Gre3-1Atl
Atletico GO,Internacional,7,1.57,0.29,0.57,Int1-2Atl;Int1-1Atl;Atl1-2Int;Int1-1Atl;Atl1-0Int
Atletico GO,Juventude,6,2.33,0.33,0.83,Atl1-1Juv;Atl3-1Juv;Juv1-1Atl;Juv1-0Atl;Atl2-1Juv
Atletico GO,Palmeiras,8,3.12,0.62,0.5,Pal4-0Atl;Pal4-2Atl;Atl1-1Pal;Pal3-1Atl;Atl0-1Pal
Atletico GO,Santos,6,1.67,0.17,0.33,Atl1-1San;San0-1Atl;Atl0-0San;San1-0Atl;Atl2-3San
Atletico GO,Sao Paulo,8,2.62,0.75,0.5,Sao2-1Atl;Atl1-2Sao;Sao2-1Atl;Atl0-3Sao;Sao1-0Atl
Atletico GO,Sport Recife,3,1.67,0.0,0.33,Spo0-1Atl;Atl1-1Spo;Spo2-0Atl
Atletico GO,Vasco,3,1.67,0.33,0.33,Atl0-0Vas;Atl0-1Vas;Vas2-2Atl
Atletico GO,Vitoria,2,2.0,0.0,0.0,Vit0-2Atl;Atl0-2Vit
Atletico-MG,Avai,2,2.0,0.5,0.5,Atl2-1Ava;Ava1-0Atl
Atletico-MG,Bahia,11,3.0,0.64,0.64,Atl1-1Bah;Bah3-0Atl;Bah2-1Atl;Atl3-0Bah;Atl1-1Bah
Atletico-MG,Botafogo RJ,10,1.6,0.2,0.2,Bot3-0Atl;Atl0-0Bot;Atl1-0Bot;Bot1-0Atl;Atl1-1Bot
Atletico-MG,Bragantino,12,2.83,0.5,0.75,Bra1-2Atl;Atl3-0Bra;Atl2-1Bra;Bra2-0Atl;Bra1-0Atl
Atletico-MG,Ceara,7,1.86,0.43,0.43,Atl3-1Cea;Cea0-0Atl;Atl0-0Cea;Cea0-1Atl;Atl1-0Cea
Atletico-MG,Chapecoense-SC,4,3.0,0.5,0.75,Atl1-1Cha;Cha2-2Atl;Cha0-4Atl;Atl1-1Cha
Atletico-MG,Corinthians,12,1.75,0.42,0.42,Cor0-0Atl;Atl2-1Cor;Atl0-0Cor;Cor1-0Atl;Cor1-0Atl
Atletico-MG,Coritiba,6,2.5,0.5,0.5,Atl2-2Cor;Cor0-1Atl;Cor1-2Atl;Atl1-2Cor;Cor2-0Atl
Atletico-MG,Criciuma,2,2.5,0.5,1.0,Atl1-1Cri;Cri2-1Atl
Atletico-MG,Cruzeiro,7,1.57,0.29,0.29,Atl3-0Cru;Cru0-0Atl;Cru0-0Atl;Atl1-1Cru;Cru1-3Atl
Atletico-MG,Cuiaba,8,2.38,0.5,0.38,Atl3-0Cui;Cui0-4Atl;Atl1-0Cui;Cui0-3Atl;Atl1-1Cui
Atletico-MG,Flamengo RJ,12,2.5,0.5,0.33,Atl2-4Fla;Fla0-0Atl;Fla1-0Atl;Atl1-1Fla;Atl0-4Fla
Atletico-MG,Fluminense,14,2.86,0.43,0.57,Atl0-2Flu;Atl3-2Flu;Flu3-0Atl;Flu1-0Atl;Atl3-1Flu
Atletico-MG,Fortaleza,12,2.75,0.5,0.67,Atl3-1For;Atl1-1For;For1-1Atl;Atl3-3For;For1-0Atl
Atletico-MG,Goias,6,2.0,0.5,0.33,Goi1-0Atl;Goi2-2Atl;Atl0-1Goi;Goi0-0Atl;Atl2-1Goi
