eq_a,eq_b,n,goles,over25,btts,ultimos
Augsburg,Bayern Munich,10,3.7,0.8,0.7,Aug2-3Bay;Bay3-0Aug;Aug1-3Bay;Aug2-3Bay;Bay1-2Aug
Augsburg,Bielefeld,2,1.5,0.0,0.5,Aug1-1Bie;Bie0-1Aug
Augsburg,Bochum,8,2.88,0.5,0.62,Boc3-2Aug;Aug2-2Boc;Boc1-1Aug;Aug1-0Boc;Boc1-2Aug
Augsburg,Darmstadt,2,4.5,1.0,0.5,Aug1-2Dar;Dar0-6Aug
Augsburg,Dortmund,10,3.0,0.5,0.6,Dor5-1Aug;Aug2-1Dor;Dor0-1Aug;Aug0-1Dor;Dor2-0Aug
Augsburg,Ein Frankfurt,11,2.36,0.45,0.73,Ein2-2Aug;Aug0-0Ein;Ein1-0Aug;Aug1-1Ein;Ein1-4Aug
Augsburg,FC Koln,8,3.0,0.38,0.75,Aug1-3FC ;FC 1-1Aug;Aug1-1FC ;FC 1-1Aug;Aug2-0FC 
Augsburg,Freiburg,10,3.1,0.8,0.6,Aug2-1Fre;Fre3-1Aug;Aug0-0Fre;Fre1-3Aug;Aug2-2Fre
Augsburg,Greuther Furth,2,1.5,0.5,0.5,Gre0-0Aug;Aug2-1Gre
Augsburg,Hamburg,2,1.5,0.0,0.5,Aug1-0Ham;Ham1-1Aug
Augsburg,Heidenheim,6,3.17,0.67,0.5,Aug1-0Hei;Hei4-0Aug;Aug2-1Hei;Hei2-1Aug;Aug1-0Hei
Augsburg,Hertha,4,1.75,0.0,0.25,Her1-1Aug;Aug0-1Her;Aug0-2Her;Her2-0Aug
Augsburg,Hoffenheim,10,2.5,0.5,0.5,Hof3-1Aug;Aug0-0Hof;Hof1-1Aug;Hof3-0Aug;Aug2-2Hof
Augsburg,Holstein Kiel,2,5.0,1.0,1.0,Hol5-1Aug;Aug1-3Hol
Augsburg,Leverkusen,10,2.8,0.5,0.5,Lev2-1Aug;Aug0-2Lev;Lev2-0Aug;Aug2-0Lev;Lev1-2Aug
Augsburg,M'gladbach,10,3.4,0.7,0.5,M'g1-2Aug;Aug2-1M'g;M'g0-3Aug;M'g4-0Aug;Aug3-1M'g
Augsburg,Mainz,10,3.1,0.7,0.7,Mai1-0Aug;Aug2-3Mai;Mai0-0Aug;Aug1-4Mai;Mai2-0Aug
Augsburg,RB Leipzig,10,3.7,0.8,0.5,Aug2-2RB ;RB 4-0Aug;Aug0-0RB ;Aug0-6RB ;RB 2-1Aug
Augsburg,Schalke 04,3,3.33,0.67,0.67,Sch2-3Aug;Aug1-1Sch;Aug3-0Sch
Augsburg,St Pauli,4,3.0,0.75,1.0,Aug3-1St ;St 1-1Aug;St 2-1Aug;Aug2-1St 
Augsburg,Stuttgart,10,3.6,0.7,0.6,Aug0-1Stu;Aug0-1Stu;Stu4-0Aug;Stu3-2Aug;Aug2-5Stu
Augsburg,Union Berlin,10,2.2,0.3,0.4,Aug2-0Uni;Uni0-2Aug;Aug1-2Uni;Aug1-1Uni;Uni4-0Aug
Augsburg,Werder Bremen,8,2.38,0.5,0.38,Aug0-3Wer;Aug2-2Wer;Wer0-2Aug;Aug0-0Wer;Wer1-3Aug
Augsburg,Wolfsburg,10,3.1,0.6,0.7,Wol1-3Aug;Wol1-1Aug;Aug1-0Wol;Aug3-1Wol;Wol2-3Aug
Bayern Munich,Bielefeld,2,2.0,0.5,0.0,Bay1-0Bie;Bie0-3Bay
Bayern Munich,Bochum,8,5.62,1.0,0.38,Bay3-0Boc;Bay7-0Boc;Boc3-2Bay;Boc0-5Bay;Bay2-3Boc
Bayern Munich,Darmstadt,2,7.5,1.0,0.5,Bay8-0Dar;Dar2-5Bay
Bayern Munich,Dortmund,10,3.9,0.8,0.8,Bay0-2Dor;Dor1-1Bay;Bay2-2Dor;Bay2-1Dor;Dor2-3Bay
Bayern Munich,Ein Frankfurt,10,4.0,0.8,0.7,Bay2-1Ein;Ein3-3Bay;Bay4-0Ein;Ein0-3Bay;Bay3-2Ein
Bayern Munich,FC Koln,8,3.38,0.62,0.62,FC 1-2Bay;FC 0-1Bay;Bay2-0FC ;FC 1-3Bay;Bay5-1FC 
Bayern Munich,Freiburg,10,3.9,0.8,0.6,Fre2-2Bay;Bay2-0Fre;Fre1-2Bay;Bay6-2Fre;Fre2-3Bay
Bayern Munich,Greuther Furth,2,4.5,1.0,1.0,Gre1-3Bay;Bay4-1Gre
Bayern Munich,Hamburg,2,4.5,1.0,0.5,Bay5-0Ham;Ham2-2Bay
Bayern Munich,Heidenheim,6,5.17,1.0,0.67,Hei3-2Bay;Bay4-2Hei;Hei0-4Bay;Hei0-4Bay;Bay3-3Hei
Bayern Munich,Hertha,4,4.25,0.75,0.5,Bay5-0Her;Her1-4Bay;Her2-3Bay;Bay2-0Her
Bayern Munich,Hoffenheim,10,3.9,0.7,0.5,Hof4-2Bay;Bay5-0Hof;Hof0-4Bay;Hof1-4Bay;Bay5-1Hof
Bayern Munich,Holstein Kiel,2,7.0,1.0,1.0,Hol1-6Bay;Bay4-3Hol
Bayern Munich,Leverkusen,10,2.9,0.6,0.6,Lev3-0Bay;Bay1-1Lev;Lev0-0Bay;Bay3-0Lev;Lev1-1Bay
Bayern Munich,M'gladbach,10,3.0,0.6,0.7,Bay3-1M'g;M'g0-1Bay;Bay2-0M'g;M'g0-3Bay;Bay4-1M'g
Bayern Munich,Mainz,10,4.9,1.0,0.9,Bay8-1Mai;Mai2-1Bay;Bay3-0Mai;Bay2-2Mai;Mai3-4Bay
Bayern Munich,RB Leipzig,10,4.7,0.9,0.9,Bay2-1RB ;Bay5-1RB ;RB 3-3Bay;Bay6-0RB ;RB 1-5Bay
Bayern Munich,Schalke 04,3,2.67,0.33,0.0,Sch0-2Bay;Bay6-0Sch;Sch0-0Bay
Bayern Munich,St Pauli,4,3.75,0.75,0.5,St 0-1Bay;Bay3-2St ;Bay3-1St ;St 0-5Bay
Bayern Munich,Stuttgart,11,4.36,1.0,0.64,Bay4-0Stu;Stu1-3Bay;Stu0-5Bay;Bay4-2Stu;Bay5-1Stu
Bayern Munich,Union Berlin,10,3.6,0.7,0.5,Uni1-5Bay;Bay3-0Uni;Uni1-1Bay;Uni2-2Bay;Bay4-0Uni
Bayern Munich,Werder Bremen,8,3.75,0.88,0.25,Bay0-1Wer;Wer0-5Bay;Bay3-0Wer;Bay4-0Wer;Wer0-3Bay
Bayern Munich,Wolfsburg,10,4.1,0.7,0.6,Bay2-0Wol;Wol2-3Bay;Bay3-2Wol;Bay8-1Wol;Wol0-1Bay
Bielefeld,Bochum,2,2.5,0.5,0.5,Bie2-0Boc;Boc2-1Bie
Bielefeld,Dortmund,2,2.5,0.5,0.5,Bie1-3Dor;Dor1-0Bie
Bielefeld,Ein Frankfurt,2,2.0,0.0,0.5,Bie1-1Ein;Ein0-2Bie
Bielefeld,FC Koln,2,3.0,0.5,1.0,Bie1-1FC ;FC 3-1Bie
Bielefeld,Freiburg,2,2.0,0.5,0.5,Bie0-0Fre;Fre2-2Bie
Bielefeld,Greuther Furth,2,3.0,0.5,1.0,Gre1-1Bie;Bie2-2Gre
Bielefeld,Hertha,2,2.0,0.0,0.5,Her2-0Bie;Bie1-1Her
Bielefeld,Hoffenheim,2,1.0,0.0,0.0,Bie0-0Hof;Hof2-0Bie
Bielefeld,Leverkusen,2,3.5,1.0,0.0,Bie0-4Lev;Lev3-0Bie
Bielefeld,M'gladbach,2,3.0,0.5,1.0,M'g3-1Bie;Bie1-1M'g
Bielefeld,Mainz,2,3.5,1.0,0.5,Bie1-2Mai;Mai4-0Bie
Bielefeld,RB Leipzig,2,2.0,0.0,0.5,RB 0-2Bie;Bie1-1RB 
Bielefeld,Stuttgart,2,1.5,0.0,0.5,Stu0-1Bie;Bie1-1Stu
Bielefeld,Union Berlin,2,1.0,0.0,0.0,Uni1-0Bie;Bie1-0Uni
Bielefeld,Wolfsburg,2,4.0,1.0,0.5,Bie2-2Wol;Wol4-0Bie
Bochum,Darmstadt,2,3.5,1.0,1.0,Dar1-2Boc;Boc2-2Dar
Bochum,Dortmund,8,3.5,0.5,0.75,Boc1-1Dor;Boc1-1Dor;Dor3-1Boc;Dor4-2Boc;Boc2-0Dor
Bochum,Ein Frankfurt,8,3.38,0.5,0.75,Ein1-1Boc;Boc1-1Ein;Ein1-1Boc;Ein7-2Boc;Boc1-3Ein
Bochum,FC Koln,6,2.67,0.5,0.83,Boc2-2FC ;Boc1-1FC ;FC 0-2Boc;Boc1-1FC ;FC 2-1Boc
Bochum,Freiburg,8,2.38,0.62,0.5,Boc0-2Fre;Fre2-1Boc;Boc1-2Fre;Fre2-1Boc;Boc0-1Fre
