eq_a,eq_b,n,goles,over25,btts,ultimos
Bielefeld,Bochum,2,1.5,0.0,0.5,Boc1-0Bie;Bie1-1Boc
Bielefeld,Braunschweig,4,4.5,0.75,1.0,Bie4-1Bra;Bra3-3Bie;Bra1-1Bie;Bie3-2Bra
Bielefeld,Darmstadt,5,3.2,0.8,1.0,Dar1-1Bie;Bie3-1Dar;Dar2-2Bie;Bie2-1Dar;Dar2-1Bie
Bielefeld,Dresden,2,2.5,0.5,1.0,Bie1-2Dre;Dre1-1Bie
Bielefeld,Elversberg,2,3.0,0.5,0.5,Bie2-0Elv;Elv3-1Bie
Bielefeld,Fortuna Dusseldorf,4,4.0,0.75,0.75,For4-1Bie;Bie2-2For;Bie5-1For;For1-0Bie
Bielefeld,Greuther Furth,4,2.5,0.5,0.75,Gre1-0Bie;Bie1-1Gre;Bie1-3Gre;Gre2-1Bie
Bielefeld,Hamburg,2,2.5,0.5,0.5,Bie0-2Ham;Ham2-1Bie
Bielefeld,Hannover,4,2.75,0.5,0.5,Han2-0Bie;Bie1-3Han;Han3-1Bie;Bie0-1Han
Bielefeld,Hansa Rostock,2,2.0,0.5,0.5,Han2-1Bie;Bie0-1Han
Bielefeld,Heidenheim,2,1.5,0.0,0.5,Hei1-1Bie;Bie0-1Hei
Bielefeld,Hertha,2,4.5,0.5,1.0,Her1-1Bie;Bie6-1Her
Bielefeld,Holstein Kiel,4,4.25,0.75,0.75,Bie4-2Hol;Hol2-3Bie;Hol0-2Bie;Bie2-2Hol
Bielefeld,Kaiserslautern,4,2.5,0.5,0.5,Bie2-3Kai;Kai1-2Bie;Bie0-0Kai;Kai2-0Bie
Bielefeld,Karlsruhe,5,4.2,1.0,0.8,Bie1-2Kar;Kar4-2Bie;Bie4-0Kar;Kar4-1Bie;Kar2-1Bie
Bielefeld,Magdeburg,4,3.0,0.5,0.25,Bie3-1Mag;Mag4-0Bie;Bie2-0Mag;Mag0-2Bie
Bielefeld,Nurnberg,5,2.8,0.4,0.6,Nur1-0Bie;Bie2-2Nur;Nur2-0Bie;Bie1-1Nur;Nur4-1Bie
Bielefeld,Paderborn,4,4.25,0.75,0.75,Pad0-2Bie;Bie2-2Pad;Pad4-3Bie;Bie2-2Pad
Bielefeld,Preußen Münster,2,4.0,1.0,1.0,Bie1-2Pre;Pre2-3Bie
Bielefeld,Regensburg,2,3.5,1.0,0.5,Bie0-3Reg;Reg1-3Bie
