eq_a,eq_b,n,goles,over25,btts,ultimos
Barnsley,Birmingham,2,2.5,0.5,1.0,Bar1-1Bir;Bir2-1Bar
Barnsley,Blackburn,2,1.5,0.5,0.5,Bar0-0Bla;Bla2-1Bar
Barnsley,Blackpool,2,1.5,0.0,0.0,Bla1-0Bar;Bar0-2Bla
Barnsley,Bournemouth,2,2.0,0.5,0.0,Bou3-0Bar;Bar0-1Bou
Barnsley,Bristol City,2,2.5,0.5,0.5,Bri2-1Bar;Bar2-0Bri
Barnsley,Cardiff,2,1.5,0.0,0.5,Car1-1Bar;Bar0-1Car
Barnsley,Coventry,2,1.0,0.0,0.0,Bar1-0Cov;Cov1-0Bar
Barnsley,Derby,2,2.5,0.5,0.5,Bar2-1Der;Der2-0Bar
Barnsley,Fulham,2,3.5,0.5,1.0,Ful4-1Bar;Bar1-1Ful
Barnsley,Huddersfield,2,2.5,0.5,1.0,Bar1-1Hud;Hud2-1Bar
Barnsley,Hull,2,2.0,0.0,0.0,Bar0-2Hul;Hul0-2Bar
Barnsley,Luton,2,2.0,0.5,0.5,Bar0-1Lut;Lut2-1Bar
Barnsley,Middlesbrough,2,3.5,0.5,0.5,Mid2-0Bar;Bar3-2Mid
Barnsley,Millwall,2,3.0,0.5,0.5,Bar0-1Mil;Mil4-1Bar
Barnsley,Nott'm Forest,2,3.5,1.0,0.5,Bar1-3Not;Not3-0Bar
Barnsley,Peterboro,2,1.0,0.0,0.0,Pet0-0Bar;Bar0-2Pet
Barnsley,Preston,2,3.5,1.0,1.0,Pre2-1Bar;Bar1-3Pre
Barnsley,QPR,2,2.5,0.5,0.5,QPR2-2Bar;Bar1-0QPR
Barnsley,Reading,2,1.5,0.0,0.5,Rea1-0Bar;Bar1-1Rea
Barnsley,Sheffield United,2,3.5,0.5,0.5,Bar2-3She;She2-0Bar
Barnsley,Stoke,2,2.0,0.0,1.0,Sto1-1Bar;Bar1-1Sto
Barnsley,Swansea,2,2.0,0.0,0.5,Bar0-2Swa;Swa1-1Bar
Barnsley,West Brom,2,2.0,0.5,0.0,Bar0-0Wes;Wes4-0Bar
Birmingham,Blackburn,8,2.75,0.62,0.5,Bir1-0Bla;Bla4-2Bir;Bir1-0Bla;Bla1-2Bir;Bir0-1Bla
Birmingham,Blackpool,4,2.25,0.25,0.25,Bir1-0Bla;Bla6-1Bir;Bla0-0Bir;Bir0-1Bla
Birmingham,Bournemouth,2,3.0,0.5,0.5,Bir0-2Bou;Bou3-1Bir
Birmingham,Bristol City,9,2.78,0.67,0.44,Bri0-2Bir;Bir0-0Bri;Bri1-0Bir;Bir2-1Bri;Bir2-2Bri
Birmingham,Burnley,2,2.5,0.5,0.5,Bir1-1Bur;Bur3-0Bir
Birmingham,Cardiff,6,1.83,0.17,0.33,Car1-1Bir;Car1-0Bir;Bir0-2Car;Car0-1Bir;Bir0-1Car
Birmingham,Charlton,2,1.5,0.0,0.5,Bir1-1Cha;Cha1-0Bir
Birmingham,Coventry,8,2.62,0.5,0.25,Cov2-0Bir;Cov2-0Bir;Bir3-0Cov;Cov3-0Bir;Bir3-2Cov
Birmingham,Derby,5,2.4,0.4,0.6,Bir2-0Der;Der2-2Bir;Bir1-1Der;Der1-0Bir;Der1-2Bir
Birmingham,Fulham,2,6.5,1.0,1.0,Bir1-4Ful;Ful6-2Bir
Birmingham,Huddersfield,6,2.5,0.5,0.67,Bir0-2Hud;Bir2-1Hud;Hud2-1Bir;Bir4-1Hud;Hud1-1Bir
Birmingham,Hull,8,2.0,0.12,0.38,Bir0-1Hul;Bir0-2Hul;Hul1-1Bir;Bir2-3Hul;Hul1-1Bir
Birmingham,Ipswich,4,3.25,0.75,1.0,Bir2-2Ips;Ips3-1Bir;Bir1-1Ips;Ips2-1Bir
Birmingham,Leeds,2,2.0,0.5,0.0,Bir1-0Lee;Lee3-0Bir
Birmingham,Leicester,4,3.25,0.75,0.75,Bir2-3Lei;Lei2-1Bir;Lei2-0Bir;Bir2-1Lei
Birmingham,Luton,4,2.25,0.5,0.0,Lut0-5Bir;Bir3-0Lut;Lut0-0Bir;Bir0-1Lut
Birmingham,Middlesbrough,8,2.25,0.38,0.38,Bir1-3Mid;Mid1-0Bir;Bir0-1Mid;Mid2-1Bir;Bir1-3Mid
