eq_a,eq_b,n,goles,over25,btts,ultimos
AZ Alkmaar,Ajax,10,2.6,0.6,0.7,AZ 2-0Aja;AZ 2-1Aja;Aja2-2AZ ;Aja0-2AZ ;AZ 1-1Aja
AZ Alkmaar,Almere City,4,2.0,0.25,0.5,AZ 4-1Alm;Alm0-0AZ ;Alm0-1AZ ;AZ 1-1Alm
AZ Alkmaar,Cambuur,4,2.0,0.5,0.5,Cam1-3AZ ;AZ 0-0Cam;Cam0-1AZ ;AZ 2-1Cam
AZ Alkmaar,Excelsior,6,3.17,0.67,0.67,AZ 5-0Exc;Exc1-1AZ ;AZ 4-0Exc;AZ 1-1Exc;Exc1-2AZ 
AZ Alkmaar,FC Emmen,2,4.5,1.0,0.5,FC 0-3AZ ;AZ 5-1FC 
AZ Alkmaar,Feyenoord,10,2.7,0.5,0.6,AZ 0-1Fey;Fey3-2AZ ;AZ 0-1Fey;AZ 3-3Fey;Fey1-1AZ 
AZ Alkmaar,For Sittard,11,3.0,0.64,0.45,For1-0AZ ;AZ 1-0For;For4-3AZ ;AZ 2-0For;For0-2AZ 
AZ Alkmaar,Go Ahead Eagles,11,4.0,0.82,0.55,AZ 2-2Go ;Go 0-3AZ ;AZ 2-2Go ;Go 0-0AZ ;AZ 5-2Go 
AZ Alkmaar,Groningen,8,2.5,0.5,0.25,AZ 1-0Gro;Gro0-0AZ ;AZ 3-0Gro;AZ 4-1Gro;Gro3-0AZ 
AZ Alkmaar,Heerenveen,11,4.0,0.82,0.73,AZ 9-1Hee;Hee3-1AZ ;Hee3-1AZ ;AZ 3-0Hee;Hee2-3AZ 
AZ Alkmaar,Heracles,8,3.0,0.62,0.5,Her5-0AZ ;AZ 1-0Her;Her1-0AZ ;Her1-2AZ ;AZ 4-0Her
AZ Alkmaar,NAC Breda,4,3.0,0.5,0.75,NAC1-2AZ ;AZ 1-1NAC;NAC0-1AZ ;AZ 3-3NAC
AZ Alkmaar,Nijmegen,10,3.1,0.7,0.7,Nij0-3AZ ;AZ 1-0Nij;Nij3-3AZ ;Nij2-1AZ ;AZ 1-3Nij
AZ Alkmaar,PSV Eindhoven,10,3.6,0.9,0.7,PSV5-1AZ ;AZ 1-2PSV;PSV2-2AZ ;AZ 1-5PSV;PSV2-1AZ 
AZ Alkmaar,Sparta Rotterdam,10,2.7,0.5,0.7,Spa1-1AZ ;Spa1-2AZ ;AZ 1-2Spa;Spa0-1AZ ;AZ 3-1Spa
AZ Alkmaar,Telstar,2,2.0,0.5,0.5,AZ 2-1Tel;Tel0-1AZ 
AZ Alkmaar,Twente,10,2.7,0.6,0.7,AZ 2-1Twe;AZ 1-0Twe;Twe2-3AZ ;Twe1-0AZ ;AZ 2-2Twe
AZ Alkmaar,Utrecht,11,4.18,0.73,0.82,AZ 1-2Utr;Utr0-0AZ ;AZ 4-1Utr;Utr2-0AZ ;Utr1-4AZ 
