eq_a,eq_b,n,goles,over25,btts,ultimos
Alaves,Almeria,2,2.0,0.5,0.0,Ala1-0Alm;Alm0-3Ala
Alaves,Ath Bilbao,8,1.88,0.12,0.25,Ath2-0Ala;Ala1-1Ath;Ath1-0Ala;Ath0-1Ala;Ala2-4Ath
Alaves,Ath Madrid,8,2.12,0.38,0.5,Ala2-0Ath;Ath2-1Ala;Ala0-0Ath;Ala1-1Ath;Ath1-0Ala
Alaves,Barcelona,8,2.38,0.5,0.5,Ala1-3Bar;Ala0-3Bar;Bar1-0Ala;Bar3-1Ala;Ala1-0Bar
Alaves,Betis,8,1.88,0.38,0.38,Bet0-0Ala;Ala0-0Bet;Bet1-3Ala;Bet1-0Ala;Ala2-1Bet
Alaves,Cadiz,4,1.25,0.0,0.0,Cad0-2Ala;Ala0-1Cad;Cad1-0Ala;Ala1-0Cad
Alaves,Celta,8,3.12,0.62,0.62,Ala3-0Cel;Cel2-1Ala;Ala1-1Cel;Ala0-1Cel;Cel3-4Ala
Alaves,Elche,4,2.75,0.5,0.75,Ala1-0Elc;Elc3-1Ala;Ala3-1Elc;Elc1-1Ala
Alaves,Espanol,6,2.67,0.67,0.67,Ala2-1Esp;Esp3-2Ala;Ala0-1Esp;Ala2-1Esp;Esp1-2Ala
Alaves,Getafe,9,2.0,0.22,0.33,Get2-0Ala;Ala0-1Get;Get1-1Ala;Ala0-2Get;Ala3-0Get
Alaves,Girona,6,2.33,0.5,0.33,Ala2-2Gir;Ala0-1Gir;Gir0-1Ala;Gir1-0Ala;Ala2-2Gir
Alaves,Granada,4,3.5,0.75,0.75,Gra2-1Ala;Ala2-3Gra;Ala3-1Gra;Gra2-0Ala
Alaves,Las Palmas,4,2.25,0.25,0.5,Ala0-1Las;Las1-1Ala;Ala2-0Las;Las2-2Ala
Alaves,Leganes,2,4.0,0.5,1.0,Ala1-1Leg;Leg3-3Ala
Alaves,Levante,4,3.0,0.75,0.75,Ala2-1Lev;Lev3-1Ala;Ala2-1Lev;Lev2-0Ala
Alaves,Mallorca,8,1.62,0.25,0.5,Ala1-1Mal;Ala1-0Mal;Mal1-1Ala;Mal1-0Ala;Ala2-1Mal
