eq_a,eq_b,n,goles,over25,btts,ultimos
Alaves,Albacete,2,1.0,0.0,0.5,Ala0-0Alb;Alb1-1Ala
Alaves,Andorra,2,0.5,0.0,0.0,And0-1Ala;Ala0-0And
Alaves,Burgos,2,2.0,0.5,0.0,Bur3-0Ala;Ala1-0Bur
Alaves,Cartagena,2,1.0,0.0,0.5,Car1-1Ala;Ala0-0Car
Alaves,Eibar,2,1.0,0.0,0.0,Eib0-0Ala;Ala2-0Eib
Alaves,Granada,2,3.0,0.5,1.0,Gra3-1Ala;Ala1-1Gra
Alaves,Huesca,2,2.0,0.5,0.5,Ala2-1Hue;Hue0-1Ala
Alaves,Ibiza,2,4.0,0.5,1.0,Ibi1-1Ala;Ala4-2Ibi
Alaves,Las Palmas,2,1.0,0.0,0.5,Ala1-1Las;Las0-0Ala
Alaves,Leganes,2,3.0,1.0,1.0,Leg1-2Ala;Ala2-1Leg
Alaves,Levante,2,2.0,0.0,0.0,Ala0-2Lev;Lev2-0Ala
Alaves,Lugo,2,1.5,0.5,0.5,Lug1-2Ala;Ala0-0Lug
Alaves,Malaga,2,2.0,0.5,0.5,Mal1-0Ala;Ala2-1Mal
Alaves,Mirandes,2,2.5,0.5,0.5,Ala1-0Mir;Mir1-3Ala
Alaves,Oviedo,2,2.0,0.5,0.5,Ala2-1Ovi;Ovi1-0Ala
Alaves,Ponferradina,2,2.5,0.5,0.5,Ala3-1Pon;Pon1-0Ala
Alaves,Santander,2,2.5,0.5,0.5,San1-1Ala;Ala3-0San
Alaves,Sp Gijon,2,0.0,0.0,0.0,Ala0-0Sp ;Sp 0-0Ala
Alaves,Tenerife,2,2.0,0.5,0.5,Ten2-1Ala;Ala1-0Ten
Alaves,Villarreal B,2,1.5,0.0,0.0,Ala2-0Vil;Vil1-0Ala
Alaves,Zaragoza,2,3.0,0.5,0.5,Ala1-0Zar;Zar1-4Ala
Albacete,Alcorcon,2,2.0,0.5,0.5,Alc1-2Alb;Alb0-1Alc
Albacete,Almeria,4,4.25,0.75,1.0,Alm3-1Alb;Alb2-1Alm;Alm4-4Alb;Alb1-1Alm
Albacete,Amorebieta,2,3.0,0.5,1.0,Alb2-2Amo;Amo1-1Alb
Albacete,Andorra,6,1.67,0.17,0.33,And0-1Alb;Alb3-1And;And0-1Alb;Alb1-0And;And0-1Alb
Albacete,Burgos,8,2.12,0.38,0.5,Bur2-1Alb;Alb2-0Bur;Bur1-0Alb;Bur0-1Alb;Alb2-3Bur
Albacete,Cadiz,4,2.0,0.5,0.25,Cad1-0Alb;Alb3-0Cad;Cad2-1Alb;Alb1-0Cad
Albacete,Cartagena,6,2.17,0.33,0.83,Alb1-1Car;Car1-1Alb;Alb1-1Car;Car0-0Alb;Alb3-1Car
Albacete,Castellon,5,1.8,0.2,0.4,Alb0-0Cas;Cas2-2Alb;Cas0-1Alb;Alb1-1Cas;Cas2-0Alb
Albacete,Ceuta,2,0.5,0.0,0.0,Alb0-0Ceu;Ceu1-0Alb
Albacete,Cordoba,4,2.75,0.5,1.0,Alb1-1Cor;Cor1-1Alb;Alb1-3Cor;Cor1-2Alb
Albacete,Cultural Leonesa,2,1.5,0.5,0.5,Cul0-0Alb;Alb2-1Cul
Albacete,Eibar,8,2.75,0.5,0.75,Alb2-1Eib;Alb0-1Eib;Eib1-1Alb;Eib3-2Alb;Alb0-3Eib
Albacete,Elche,4,3.0,0.5,0.75,Alb1-1Elc;Elc3-2Alb;Alb1-0Elc;Elc2-2Alb
