eq_a,eq_b,n,goles,over25,btts,ultimos
Ajaccio,Amiens,6,2.0,0.5,0.5,Ami0-1Aja;Ami0-0Aja;Aja0-0Ami;Ami3-1Aja;Aja2-1Ami
Ajaccio,Angers,2,3.0,0.5,1.0,Aja1-1Ang;Ang3-1Aja
Ajaccio,Annecy,4,2.75,0.5,0.5,Ann2-0Aja;Aja1-3Ann;Aja1-2Ann;Ann2-0Aja
Ajaccio,Auxerre,4,0.75,0.0,0.0,Aux0-0Aja;Aja0-0Aux;Aux2-0Aja;Aja0-1Aux
Ajaccio,Bastia,6,1.67,0.17,0.0,Aja0-1Bas;Aja2-0Bas;Bas1-0Aja;Aja0-0Bas;Bas4-0Aja
Ajaccio,Bordeaux,2,2.0,0.5,0.0,Aja0-0Bor;Bor4-0Aja
Ajaccio,Caen,6,2.33,0.5,0.33,Cae2-0Aja;Cae3-0Aja;Aja2-1Cae;Cae1-0Aja;Aja2-1Cae
Ajaccio,Clermont,2,1.5,0.0,0.0,Aja2-0Cle;Cle0-1Aja
Ajaccio,Concarneau,2,2.0,0.5,0.5,Con2-1Aja;Aja1-0Con
Ajaccio,Dijon,2,2.0,0.5,0.0,Aja1-0Dij;Dij0-3Aja
Ajaccio,Dunkerque,6,2.33,0.5,0.5,Aja2-1Dun;Aja2-2Dun;Dun2-0Aja;Dun1-0Aja;Aja1-2Dun
Ajaccio,Grenoble,6,2.5,0.5,0.5,Gre1-1Aja;Gre0-3Aja;Aja1-2Gre;Aja2-0Gre;Gre2-2Aja
Ajaccio,Guingamp,6,2.17,0.5,0.17,Aja0-1Gui;Gui3-0Aja;Aja3-0Gui;Gui1-0Aja;Aja0-3Gui
Ajaccio,Laval,4,2.25,0.25,0.5,Aja2-0Lav;Lav1-1Aja;Lav1-1Aja;Aja3-0Lav
Ajaccio,Le Havre,2,2.0,0.5,0.5,Le 0-1Aja;Aja2-1Le 
Ajaccio,Lorient,2,3.0,1.0,0.5,Lor3-0Aja;Aja2-1Lor
Ajaccio,Martigues,2,2.0,0.0,0.5,Aja1-1Mar;Mar2-0Aja
Ajaccio,Metz,2,1.0,0.0,0.0,Aja0-1Met;Met0-1Aja
Ajaccio,Nancy,2,2.0,0.0,0.0,Aja2-0Nan;Nan0-2Aja
Ajaccio,Nimes,2,1.5,0.0,0.0,Nim0-2Aja;Aja1-0Nim
Ajaccio,Niort,2,0.5,0.0,0.0,Aja0-0Nio;Nio0-1Aja
Ajaccio,Paris FC,6,2.0,0.17,0.17,Par2-0Aja;Aja2-1Par;Par2-0Aja;Aja0-2Par;Par2-0Aja
Ajaccio,Pau FC,6,1.83,0.17,0.5,Aja2-1Pau;Aja2-0Pau;Pau1-1Aja;Pau1-0Aja;Aja1-1Pau
Ajaccio,Quevilly Rouen,4,1.0,0.0,0.25,Aja0-1Que;Que0-0Aja;Que0-1Aja;Aja1-1Que
Ajaccio,Red Star,2,2.0,0.5,0.5,Red1-0Aja;Aja2-1Red
Ajaccio,Rodez,6,2.17,0.33,0.5,Aja2-1Rod;Aja1-1Rod;Rod2-0Aja;Aja1-0Rod;Rod1-2Aja
Ajaccio,Sochaux,2,1.0,0.0,0.0,Aja1-0Soc;Soc0-1Aja
Ajaccio,St Etienne,2,1.0,0.0,0.0,St 0-0Aja;Aja2-0St 
Ajaccio,Toulouse,2,2.5,0.5,0.5,Tou2-2Aja;Aja1-0Tou
Ajaccio,Troyes,4,2.0,0.5,0.5,Aja1-0Tro;Tro3-1Aja;Aja2-1Tro;Tro0-0Aja
Ajaccio,Valenciennes,4,1.0,0.25,0.25,Aja0-0Val;Val0-0Aja;Aja2-1Val;Val1-0Aja
Amiens,Angers,2,4.5,1.0,1.0,Ami1-4Ang;Ang1-3Ami
Amiens,Annecy,8,1.62,0.12,0.12,Ami1-0Ann;Ann3-0Ami;Ami1-0Ann;Ami0-1Ann;Ann2-0Ami
Amiens,Auxerre,4,1.75,0.5,0.5,Ami1-2Aux;Aux2-1Ami;Aux0-1Ami;Ami0-0Aux
Amiens,Bastia,10,1.6,0.3,0.5,Bas1-2Ami;Bas1-0Ami;Ami1-0Bas;Ami0-0Bas;Bas1-1Ami
