eq_a,eq_b,n,goles,over25,btts,ultimos
AVS,Alverca,2,2.0,0.5,0.5,AVS1-3Alv;Alv0-0AVS
AVS,Arouca,4,2.0,0.25,0.5,Aro1-1AVS;AVS0-1Aro;Aro3-1AVS;AVS0-1Aro
AVS,Benfica,4,3.5,0.75,0.25,AVS1-1Ben;Ben6-0AVS;AVS0-3Ben;Ben3-0AVS
AVS,Boavista,2,1.5,0.5,0.5,Boa0-0AVS;AVS1-2Boa
AVS,Casa Pia,4,3.0,0.25,0.75,Cas1-1AVS;AVS1-1Cas;AVS0-2Cas;Cas3-3AVS
AVS,Estoril,4,2.5,0.75,0.25,Est0-0AVS;AVS0-3Est;Est3-1AVS;AVS3-0Est
AVS,Estrela,4,1.5,0.25,0.25,AVS1-1Est;Est0-1AVS;Est3-0AVS;AVS0-0Est
AVS,Famalicao,4,3.75,0.75,0.75,AVS2-3Fam;Fam4-1AVS;AVS0-1Fam;Fam3-1AVS
AVS,Farense,2,0.5,0.0,0.0,AVS0-0Far;Far0-1AVS
AVS,Gil Vicente,4,3.0,0.5,0.5,Gil4-2AVS;AVS1-0Gil;AVS1-1Gil;Gil3-0AVS
AVS,Guimaraes,4,2.25,0.25,0.25,AVS1-0Gui;Gui2-0AVS;Gui4-0AVS;AVS1-1Gui
AVS,Moreirense,4,1.75,0.25,0.25,Mor1-1AVS;AVS0-3Mor;AVS0-2Mor;Mor0-0AVS
AVS,Nacional,4,3.25,0.75,1.0,AVS1-1Nac;Nac3-1AVS;AVS2-2Nac;Nac1-2AVS
AVS,Porto,4,3.25,0.5,0.25,AVS0-5Por;Por2-0AVS;Por2-0AVS;AVS3-1Por
AVS,Rio Ave,4,2.5,0.5,0.75,AVS1-0Rio;Rio1-1AVS;AVS1-2Rio;Rio2-2AVS
AVS,Santa Clara,4,2.25,0.5,0.5,San2-1AVS;AVS1-2San;San2-0AVS;AVS0-1San
AVS,Sp Braga,4,3.5,0.75,0.5,AVS0-1Sp ;Sp 4-1AVS;Sp 2-2AVS;AVS0-4Sp 
AVS,Sp Lisbon,4,3.75,0.75,0.5,Sp 3-0AVS;AVS2-2Sp ;Sp 6-0AVS;AVS1-1Sp 
AVS,Tondela,2,2.0,0.5,0.5,AVS2-2Ton;Ton0-0AVS
Alverca,Arouca,2,2.0,0.5,0.5,Aro1-0Alv;Alv2-1Aro
Alverca,Benfica,2,3.0,1.0,1.0,Alv1-2Ben;Ben2-1Alv
Alverca,Casa Pia,2,3.0,0.5,0.5,Cas0-2Alv;Alv3-1Cas
Alverca,Estoril,2,3.5,0.5,1.0,Est4-1Alv;Alv1-1Est
Alverca,Estrela,3,3.33,0.67,1.0,Est2-2Alv;Alv1-1Est;Alv2-2Est
Alverca,Famalicao,2,1.0,0.0,0.0,Alv1-0Fam;Fam1-0Alv
Alverca,Gil Vicente,2,4.0,1.0,0.5,Alv0-4Gil;Gil2-2Alv
Alverca,Guimaraes,2,2.0,0.0,0.5,Alv2-0Gui;Gui1-1Alv
Alverca,Moreirense,2,3.0,1.0,1.0,Mor2-1Alv;Alv2-1Mor
Alverca,Nacional,3,2.0,0.33,0.33,Alv1-0Nac;Nac1-0Alv;Nac1-3Alv
Alverca,Porto,3,2.0,0.33,0.0,Alv0-3Por;Por1-0Alv;Por2-0Alv
Alverca,Rio Ave,3,2.0,0.33,0.67,Alv1-1Rio;Rio1-2Alv;Alv1-0Rio
Alverca,Santa Clara,3,2.33,0.33,1.0,San2-1Alv;Alv1-1San;Alv1-1San
Alverca,Sp Braga,3,3.67,1.0,0.33,Alv0-3Sp ;Sp 5-0Alv;Alv1-2Sp 
Alverca,Sp Lisbon,3,3.67,0.67,0.67,Sp 2-0Alv;Alv1-4Sp ;Sp 3-1Alv
Alverca,Tondela,2,1.5,0.0,0.5,Alv1-0Ton;Ton1-1Alv
Arouca,Belenenses,2,1.5,0.5,0.5,Bel2-1Aro;Aro0-0Bel
Arouca,Benfica,10,3.3,0.7,0.2,Ben5-0Aro;Aro0-2Ben;Ben2-2Aro;Ben5-0Aro;Aro1-2Ben
Arouca,Boavista,8,2.88,0.75,0.62,Boa0-0Aro;Boa0-4Aro;Aro2-1Boa;Boa1-3Aro;Aro4-1Boa
Arouca,Casa Pia,8,1.88,0.25,0.25,Cas1-0Aro;Cas3-1Aro;Aro0-0Cas;Aro0-2Cas;Cas3-2Aro
Arouca,Chaves,4,2.75,0.25,0.5,Cha1-1Aro;Aro1-0Cha;Aro0-2Cha;Cha1-5Aro
Arouca,Estoril,11,3.45,0.55,0.64,Est4-1Aro;Aro1-1Est;Est4-3Aro;Aro3-2Est;Est0-0Aro
Arouca,Estrela,6,2.33,0.5,0.5,Aro0-0Est;Est2-1Aro;Aro1-0Est;Est3-1Aro;Aro1-0Est
Arouca,Famalicao,10,2.1,0.4,0.5,Aro3-2Fam;Fam0-0Aro;Aro1-2Fam;Aro1-1Fam;Fam1-0Aro
Arouca,Farense,4,2.5,0.5,0.5,Far2-0Aro;Aro2-1Far;Far0-1Aro;Aro2-2Far
Arouca,Gil Vicente,10,2.7,0.5,0.8,Gil2-2Aro;Aro1-1Gil;Gil1-1Aro;Aro2-2Gil;Gil1-3Aro
Arouca,Guimaraes,11,3.09,0.64,0.73,Aro0-1Gui;Gui2-2Aro;Gui1-1Aro;Aro3-2Gui;Gui0-1Aro
Arouca,Maritimo,5,2.6,0.6,0.6,Mar2-2Aro;Aro0-3Mar;Mar1-1Aro;Aro1-0Mar;Aro2-1Mar
Arouca,Moreirense,9,2.11,0.33,0.33,Mor3-1Aro;Aro1-0Mor;Aro0-2Mor;Mor0-1Aro;Aro4-0Mor
Arouca,Nacional,4,2.5,0.75,0.5,Aro1-0Nac;Nac1-2Aro;Nac1-2Aro;Aro3-0Nac
Arouca,Pacos Ferreira,4,1.25,0.0,0.5,Pac0-0Aro;Aro0-1Pac;Pac1-1Aro;Aro1-1Pac
