eq_a,eq_b,n,goles,over25,btts,ultimos
Arsenal,Aston Villa,11,2.91,0.55,0.55,Ast0-2Ars;Ars2-2Ast;Ast2-1Ars;Ars4-1Ast;Ast0-1Ars
Arsenal,Bournemouth,8,3.5,0.88,0.5,Ars3-0Bou;Bou2-0Ars;Ars1-2Bou;Bou2-3Ars;Ars1-2Bou
Arsenal,Brentford,10,2.4,0.4,0.6,Ars2-1Bre;Bre1-3Ars;Ars1-1Bre;Ars2-0Bre;Bre1-1Ars
Arsenal,Brighton,10,2.5,0.5,0.5,Bri0-3Ars;Ars1-1Bri;Bri1-1Ars;Ars2-1Bri;Bri0-1Ars
Arsenal,Burnley,6,2.17,0.33,0.17,Ars0-0Bur;Ars3-1Bur;Bur0-5Ars;Bur0-2Ars;Ars1-0Bur
Arsenal,Chelsea,11,3.0,0.55,0.64,Che1-1Ars;Ars1-0Che;Che1-1Ars;Ars2-1Che;Ars2-1Che
Arsenal,Crystal Palace,10,3.4,0.7,0.5,Ars5-0Cry;Cry1-5Ars;Ars2-2Cry;Ars1-0Cry;Cry1-2Ars
Arsenal,Everton,10,2.3,0.4,0.4,Ars2-1Eve;Ars0-0Eve;Eve1-1Ars;Eve0-1Ars;Ars2-0Eve
Arsenal,Fulham,8,2.75,0.75,0.62,Ful2-1Ars;Ful1-1Ars;Ars2-1Ful;Ful0-1Ars;Ars3-0Ful
Arsenal,Ipswich,2,2.5,0.5,0.0,Ars1-0Ips;Ips0-4Ars
Arsenal,Leeds,6,3.83,0.83,0.5,Ars2-1Lee;Lee0-1Ars;Ars4-1Lee;Ars5-0Lee;Lee0-4Ars
Arsenal,Leicester,6,3.17,0.33,0.33,Ars2-0Lei;Ars4-2Lei;Lei0-1Ars;Ars4-2Lei;Lei0-2Ars
Arsenal,Liverpool,10,3.0,0.6,0.6,Ars3-1Liv;Ars2-2Liv;Liv2-2Ars;Liv1-0Ars;Ars0-0Liv
Arsenal,Luton,2,4.5,0.5,0.5,Lut3-4Ars;Ars2-0Lut
Arsenal,Man City,10,3.3,0.7,0.7,Man0-0Ars;Man2-2Ars;Ars5-1Man;Ars1-1Man;Man2-1Ars
Arsenal,Man United,10,3.3,0.6,0.7,Man0-1Ars;Ars2-0Man;Man1-1Ars;Man0-1Ars;Ars2-3Man
Arsenal,Newcastle,10,1.8,0.2,0.2,Ars4-1New;New1-0Ars;Ars1-0New;New1-2Ars;Ars1-0New
Arsenal,Norwich,2,3.0,0.5,0.0,Ars1-0Nor;Nor0-5Ars
Arsenal,Nott'm Forest,8,2.25,0.62,0.25,Not1-2Ars;Ars3-0Not;Not0-0Ars;Ars3-0Not;Not0-0Ars
Arsenal,Sheffield United,2,5.5,1.0,0.0,Ars5-0She;She0-6Ars
Arsenal,Southampton,6,3.17,0.67,0.67,Sou1-0Ars;Sou1-1Ars;Ars3-3Sou;Ars3-1Sou;Sou1-2Ars
Arsenal,Sunderland,2,3.5,1.0,0.5,Sun2-2Ars;Ars3-0Sun
Arsenal,Tottenham,10,3.6,0.8,0.7,Tot2-3Ars;Tot0-1Ars;Ars2-1Tot;Ars4-1Tot;Tot1-4Ars
Arsenal,Watford,2,3.0,0.5,0.5,Ars1-0Wat;Wat2-3Ars
Arsenal,West Ham,10,3.2,0.5,0.4,Wes0-6Ars;Wes2-5Ars;Ars0-1Wes;Ars2-0Wes;Wes0-1Ars
Arsenal,Wolves,10,2.6,0.5,0.4,Wol0-2Ars;Ars2-0Wol;Wol0-1Ars;Ars2-1Wol;Wol2-2Ars
Aston Villa,Bournemouth,8,2.75,0.5,0.5,Ast3-1Bou;Ast1-1Bou;Bou0-1Ast;Ast4-0Bou;Bou1-1Ast
Aston Villa,Brentford,10,2.7,0.5,0.6,Ast3-3Bre;Ast3-1Bre;Bre0-1Ast;Bre1-0Ast;Ast0-1Bre
Aston Villa,Brighton,11,3.36,0.64,0.45,Ast2-2Bri;Bri0-3Ast;Bri3-4Ast;Ast1-0Bri;Bri4-0Ast
Aston Villa,Burnley,6,3.67,0.83,1.0,Ast1-1Bur;Bur1-3Ast;Ast3-2Bur;Ast2-1Bur;Bur2-2Ast
Aston Villa,Chelsea,10,3.0,0.7,0.5,Ast2-2Che;Che3-0Ast;Ast2-1Che;Che1-2Ast;Ast1-4Che
Aston Villa,Crystal Palace,10,3.1,0.7,0.6,Cry5-0Ast;Ast2-2Cry;Cry4-1Ast;Ast0-3Cry;Cry0-0Ast
Aston Villa,Everton,10,2.0,0.4,0.2,Eve0-0Ast;Ast3-2Eve;Eve0-1Ast;Eve0-0Ast;Ast0-1Eve
Aston Villa,Fulham,8,2.62,0.62,0.5,Ful1-2Ast;Ful1-3Ast;Ast1-0Ful;Ast3-1Ful;Ful1-0Ast
Aston Villa,Ipswich,2,3.0,0.5,1.0,Ips2-2Ast;Ast1-1Ips
Aston Villa,Leeds,6,2.83,0.67,0.67,Lee0-3Ast;Lee0-0Ast;Ast2-1Lee;Lee1-2Ast;Ast1-1Lee
Aston Villa,Leicester,6,3.0,0.83,0.83,Lei0-0Ast;Ast2-4Lei;Lei1-2Ast;Lei1-2Ast;Ast2-1Lei
Aston Villa,Liverpool,10,3.3,0.6,0.6,Ast3-3Liv;Liv2-0Ast;Ast2-2Liv;Liv2-0Ast;Ast4-2Liv
Aston Villa,Luton,2,4.5,1.0,1.0,Ast3-1Lut;Lut2-3Ast
Aston Villa,Man City,10,3.0,0.7,0.8,Man4-1Ast;Ast2-1Man;Man2-1Ast;Ast1-0Man;Man1-2Ast
Aston Villa,Man United,10,2.7,0.6,0.6,Ast1-2Man;Ast0-0Man;Man2-0Ast;Ast2-1Man;Man3-1Ast
Aston Villa,Newcastle,10,3.0,0.6,0.3,Ast1-3New;New3-0Ast;Ast4-1New;Ast0-0New;New0-2Ast
Aston Villa,Norwich,2,2.0,0.0,0.0,Nor0-2Ast;Ast2-0Nor
Aston Villa,Nott'm Forest,8,3.0,0.5,0.75,Ast4-2Not;Not2-1Ast;Ast2-1Not;Ast3-1Not;Not1-1Ast
Aston Villa,Sheffield United,2,3.5,0.5,0.5,Ast1-1She;She0-5Ast
Aston Villa,Southampton,6,1.83,0.33,0.0,Ast4-0Sou;Ast1-0Sou;Sou0-1Ast;Ast1-0Sou;Sou0-3Ast
Aston Villa,Sunderland,2,4.5,0.5,1.0,Sun1-1Ast;Ast4-3Sun
Aston Villa,Tottenham,10,3.2,0.8,0.6,Ast0-4Tot;Tot4-1Ast;Ast2-0Tot;Tot1-2Ast;Ast1-2Tot
Aston Villa,Watford,2,3.0,0.5,0.5,Wat3-2Ast;Ast0-1Wat
Aston Villa,West Ham,10,3.0,0.5,0.8,Wes1-1Ast;Wes1-2Ast;Ast1-1Wes;Wes2-3Ast;Ast2-0Wes
Aston Villa,Wolves,10,2.4,0.3,0.5,Ast2-0Wol;Ast3-1Wol;Wol2-0Ast;Ast1-0Wol;Wol2-0Ast
Bournemouth,Brentford,8,2.75,0.62,0.62,Bou1-2Bre;Bre3-2Bou;Bou1-2Bre;Bre4-1Bou;Bou0-0Bre
Bournemouth,Brighton,8,2.62,0.62,0.62,Bou3-0Bri;Bou1-2Bri;Bri2-1Bou;Bou2-1Bri;Bri1-1Bou
Bournemouth,Burnley,4,1.75,0.25,0.5,Bou2-1Bur;Bur0-2Bou;Bou1-1Bur;Bur0-0Bou
Bournemouth,Chelsea,8,2.25,0.5,0.5,Che2-1Bou;Bou0-1Che;Che2-2Bou;Bou0-0Che;Che2-2Bou
Bournemouth,Crystal Palace,8,2.0,0.25,0.12,Bou1-0Cry;Bou0-0Cry;Cry0-0Bou;Cry3-3Bou;Bou3-0Cry
Bournemouth,Everton,9,2.44,0.56,0.44,Eve2-3Bou;Bou1-0Eve;Bou0-1Eve;Eve1-2Bou;Bou1-1Eve
Bournemouth,Fulham,8,3.0,0.75,0.62,Ful3-1Bou;Ful2-2Bou;Bou1-0Ful;Bou3-1Ful;Ful0-1Bou
Bournemouth,Ipswich,2,3.0,1.0,1.0,Ips1-2Bou;Bou1-2Ips
Bournemouth,Leeds,4,5.0,1.0,1.0,Lee4-3Bou;Bou4-1Lee;Lee2-2Bou;Bou2-2Lee
Bournemouth,Leicester,4,1.75,0.25,0.25,Bou2-1Lei;Lei0-1Bou;Lei1-0Bou;Bou2-0Lei
Bournemouth,Liverpool,8,4.25,0.75,0.38,Bou0-4Liv;Liv3-0Bou;Bou0-2Liv;Liv4-2Bou;Bou3-2Liv
Bournemouth,Luton,2,5.0,1.0,1.0,Bou4-3Lut;Lut2-1Bou
Bournemouth,Man City,9,3.67,0.78,0.78,Bou2-1Man;Man3-1Bou;Man3-1Bou;Bou1-1Man;Man2-1Bou
Bournemouth,Man United,8,3.5,0.75,0.5,Bou2-2Man;Man0-3Bou;Bou1-1Man;Man4-4Bou;Bou2-2Man
Bournemouth,Newcastle,9,2.67,0.44,0.78,Bou1-1New;New1-4Bou;Bou0-0New;New1-2Bou;New2-2Bou
Bournemouth,Nott'm Forest,8,3.12,0.38,0.75,Bou1-1Not;Not1-1Bou;Bou5-0Not;Bou2-0Not;Not1-1Bou
Bournemouth,Sheffield United,2,4.0,1.0,1.0,She1-3Bou;Bou2-2She
Bournemouth,Southampton,4,2.5,0.5,0.5,Bou0-1Sou;Sou0-1Bou;Bou3-1Sou;Sou1-3Bou
Bournemouth,Sunderland,2,3.5,0.5,1.0,Sun3-2Bou;Bou1-1Sun
Bournemouth,Tottenham,8,3.38,0.62,0.62,Tot3-1Bou;Bou1-0Tot;Tot2-2Bou;Tot0-1Bou;Bou3-2Tot
Bournemouth,West Ham,8,2.5,0.38,0.62,Wes1-1Bou;Bou1-1Wes;Wes2-2Bou;Bou2-2Wes;Wes0-0Bou
Bournemouth,Wolves,8,1.88,0.25,0.25,Wol0-1Bou;Wol2-4Bou;Bou0-1Wol;Bou1-0Wol;Wol0-2Bou
Brentford,Brighton,10,2.5,0.4,0.4,Bre0-0Bri;Bri0-0Bre;Bre4-2Bri;Bri2-1Bre;Bre0-2Bri
Brentford,Burnley,6,3.83,0.83,0.67,Bre2-0Bur;Bre3-0Bur;Bur2-1Bre;Bre3-1Bur;Bur3-4Bre
Brentford,Chelsea,10,2.3,0.4,0.4,Bre2-2Che;Che2-1Bre;Bre0-0Che;Bre2-2Che;Che2-0Bre
Brentford,Crystal Palace,10,2.2,0.4,0.7,Cry3-1Bre;Bre2-1Cry;Cry1-2Bre;Cry2-0Bre;Bre2-2Cry
Brentford,Everton,10,2.6,0.4,0.6,Eve1-0Bre;Eve0-0Bre;Bre1-1Eve;Eve2-4Bre;Bre2-2Eve
Brentford,Fulham,8,3.12,0.75,0.62,Bre0-0Ful;Ful2-1Bre;Bre2-3Ful;Ful3-1Bre;Bre0-0Ful
Brentford,Ipswich,2,4.0,0.5,0.5,Bre4-3Ips;Ips0-1Bre
Brentford,Leeds,7,2.57,0.43,0.71,Bre5-2Lee;Lee0-0Bre;Bre1-1Lee;Lee0-0Bre;Lee1-1Bre
Brentford,Leicester,6,3.5,0.83,0.83,Lei2-1Bre;Lei2-2Bre;Bre1-1Lei;Bre4-1Lei;Lei0-4Bre
Brentford,Liverpool,10,3.3,0.6,0.5,Bre1-4Liv;Liv2-0Bre;Bre0-2Liv;Bre3-2Liv;Liv1-1Bre
Brentford,Luton,2,5.0,1.0,1.0,Bre3-1Lut;Lut1-5Bre
