eq_a,eq_b,n,goles,over25,btts,ultimos
Atalanta,Bologna,11,1.64,0.18,0.27,Bol1-1Ata;Ata2-0Bol;Bol0-2Ata;Ata0-1Bol;Ata1-0Bol
Atalanta,Cagliari,9,2.56,0.67,0.67,Cag0-1Ata;Ata0-0Cag;Ata2-1Cag;Cag3-2Ata;Ata1-2Cag
Atalanta,Como,4,2.5,0.5,0.75,Ata2-3Com;Com1-2Ata;Ata1-1Com;Com0-0Ata
Atalanta,Cremonese,4,2.75,0.5,1.0,Ata1-1Cre;Cre1-3Ata;Cre1-1Ata;Ata2-1Cre
Atalanta,Empoli,8,3.25,0.62,0.38,Ata2-1Emp;Emp0-3Ata;Ata2-0Emp;Ata3-2Emp;Emp0-5Ata
Atalanta,Fiorentina,10,2.7,0.4,0.6,Ata2-3Fio;Ata3-2Fio;Fio1-0Ata;Ata2-0Fio;Fio1-1Ata
Atalanta,Frosinone,2,4.0,1.0,0.5,Fro2-1Ata;Ata5-0Fro
Atalanta,Genoa,8,2.38,0.38,0.38,Gen1-4Ata;Ata5-1Gen;Gen2-3Ata;Gen0-1Ata;Ata0-0Gen
Atalanta,Inter,10,3.0,0.6,0.5,Int4-0Ata;Int4-0Ata;Ata0-2Int;Ata0-1Int;Int1-1Ata
Atalanta,Juventus,10,2.4,0.3,0.5,Juv2-2Ata;Ata1-1Juv;Juv0-4Ata;Juv1-1Ata;Ata0-1Juv
Atalanta,Lazio,10,2.2,0.3,0.4,Ata3-1Laz;Laz1-1Ata;Ata0-1Laz;Ata0-0Laz;Laz0-2Ata
Atalanta,Lecce,8,2.88,0.62,0.5,Lec0-2Ata;Lec0-4Ata;Ata1-1Lec;Ata4-1Lec;Lec0-3Ata
Atalanta,Milan,10,2.9,0.4,0.7,Mil1-1Ata;Ata2-1Mil;Mil0-1Ata;Ata1-1Mil;Mil2-3Ata
Atalanta,Monza,6,3.5,0.67,0.33,Ata5-2Mon;Ata3-0Mon;Mon1-2Ata;Ata2-0Mon;Mon0-4Ata
Atalanta,Napoli,10,3.5,0.9,0.7,Nap0-3Ata;Nap0-3Ata;Ata2-3Nap;Nap3-1Ata;Ata2-1Nap
Atalanta,Parma,4,3.75,0.75,0.75,Par1-3Ata;Ata2-3Par;Par1-1Ata;Ata4-0Par
Atalanta,Pisa,2,2.0,0.0,1.0,Ata1-1Pis;Pis1-1Ata
Atalanta,Roma,11,2.45,0.45,0.64,Rom0-2Ata;Ata2-1Rom;Ata1-0Rom;Rom1-1Ata;Rom2-1Ata
Atalanta,Salernitana,6,3.67,0.5,0.67,Ata1-1Sal;Ata8-2Sal;Sal1-0Ata;Ata4-1Sal;Sal1-2Ata
Atalanta,Sampdoria,4,3.0,0.5,0.25,Sam1-3Ata;Ata4-0Sam;Sam0-2Ata;Ata2-0Sam
Atalanta,Sassuolo,9,2.67,0.78,0.56,Sas0-2Ata;Ata3-0Sas;Ata0-3Sas;Sas2-1Ata;Ata2-1Sas
Atalanta,Spezia,4,5.0,1.0,1.0,Ata5-2Spe;Spe1-3Ata;Spe2-2Ata;Ata3-2Spe
Atalanta,Torino,10,3.4,0.8,0.6,Ata3-0Tor;Tor2-1Ata;Ata1-1Tor;Tor0-3Ata;Ata2-0Tor
Atalanta,Udinese,10,2.6,0.4,0.6,Ata2-0Udi;Ata2-1Udi;Udi0-0Ata;Udi1-0Ata;Ata2-2Udi
Atalanta,Venezia,4,2.5,0.5,0.25,Ata4-0Ven;Ven1-3Ata;Ven0-2Ata;Ata0-0Ven
Atalanta,Verona,10,3.3,0.7,0.6,Ata2-2Ver;Ata6-1Ver;Ver0-5Ata;Ver3-1Ata;Ata1-0Ver
Bologna,Cagliari,8,2.25,0.5,0.5,Cag2-1Bol;Cag0-2Bol;Bol2-1Cag;Cag0-2Bol;Bol0-0Cag
Bologna,Como,4,2.25,0.25,0.5,Com2-2Bol;Bol2-0Com;Bol1-0Com;Com1-1Bol
Bologna,Cremonese,4,3.75,0.75,1.0,Bol1-1Cre;Cre1-5Bol;Bol1-3Cre;Cre1-2Bol
Bologna,Empoli,8,2.38,0.38,0.5,Emp3-1Bol;Bol3-0Emp;Emp0-1Bol;Bol1-1Emp;Emp1-1Bol
Bologna,Fiorentina,10,3.0,0.7,0.7,Bol2-0Fio;Bol1-0Fio;Fio3-2Bol;Fio2-2Bol;Bol1-2Fio
Bologna,Frosinone,2,1.5,0.5,0.5,Bol2-1Fro;Fro0-0Bol
Bologna,Genoa,8,3.12,0.62,0.75,Gen2-0Bol;Gen2-2Bol;Bol1-3Gen;Bol2-1Gen;Gen3-2Bol
Bologna,Inter,10,3.8,0.7,0.7,Bol0-1Int;Int2-2Bol;Bol1-0Int;Int3-1Bol;Bol3-3Int
Bologna,Juventus,10,2.6,0.3,0.6,Bol3-3Juv;Juv2-2Bol;Bol1-1Juv;Bol0-1Juv;Juv2-0Bol
Bologna,Lazio,11,2.36,0.55,0.27,Laz3-0Bol;Bol5-0Laz;Laz1-1Bol;Bol0-2Laz;Bol0-1Laz
Bologna,Lecce,8,2.5,0.38,0.38,Bol4-0Lec;Bol1-0Lec;Lec0-0Bol;Lec2-2Bol;Bol2-0Lec
Bologna,Milan,10,2.7,0.5,0.5,Mil2-2Bol;Bol2-1Mil;Mil3-1Bol;Mil1-0Bol;Bol0-3Mil
Bologna,Monza,6,1.83,0.5,0.5,Bol0-1Mon;Mon0-0Bol;Bol0-0Mon;Mon1-2Bol;Bol3-1Mon
Bologna,Napoli,11,2.64,0.45,0.36,Nap3-0Bol;Bol1-1Nap;Bol2-0Nap;Nap2-3Bol;Nap1-0Bol
Bologna,Parma,4,1.75,0.25,0.25,Bol0-0Par;Par2-0Bol;Par1-3Bol;Bol0-1Par
Bologna,Pisa,2,2.5,0.5,0.0,Bol4-0Pis;Pis0-1Bol
Bologna,Roma,10,2.0,0.3,0.3,Rom1-3Bol;Rom2-3Bol;Bol2-2Rom;Rom1-0Bol;Bol0-2Rom
Bologna,Salernitana,6,3.17,0.67,0.83,Sal1-1Bol;Bol1-1Sal;Sal2-2Bol;Sal1-2Bol;Bol3-0Sal
Bologna,Sampdoria,4,2.5,0.5,0.75,Sam1-2Bol;Bol2-0Sam;Bol1-1Sam;Sam1-2Bol
Bologna,Sassuolo,9,3.0,0.56,0.67,Sas1-1Bol;Bol4-2Sas;Bol1-1Sas;Sas0-1Bol;Bol2-2Sas
Bologna,Spezia,4,2.5,0.5,0.5,Spe0-1Bol;Bol2-1Spe;Spe2-2Bol;Bol2-0Spe
Bologna,Torino,10,1.9,0.4,0.4,Tor0-0Bol;Tor0-2Bol;Bol3-2Tor;Bol0-0Tor;Tor1-2Bol
Bologna,Udinese,10,2.3,0.5,0.5,Bol1-1Udi;Bol1-1Udi;Udi0-0Bol;Udi0-3Bol;Bol1-0Udi
Bologna,Venezia,4,3.0,0.5,0.25,Bol0-1Ven;Ven4-3Bol;Bol3-0Ven;Ven0-1Bol
Bologna,Verona,10,2.7,0.6,0.7,Bol2-0Ver;Bol2-3Ver;Ver1-2Bol;Ver2-3Bol;Bol1-2Ver
Cagliari,Como,4,2.25,0.5,0.75,Cag1-1Com;Com3-1Cag;Com0-0Cag;Cag1-2Com
Cagliari,Cremonese,2,2.5,0.5,0.5,Cre2-2Cag;Cag1-0Cre
Cagliari,Empoli,6,1.17,0.0,0.17,Emp1-1Cag;Cag0-0Emp;Emp0-1Cag;Cag0-2Emp;Emp0-0Cag
Cagliari,Fiorentina,8,2.75,0.62,0.62,Cag2-3Fio;Fio1-0Cag;Cag1-2Fio;Cag1-1Fio;Fio1-2Cag
Cagliari,Frosinone,2,5.5,1.0,1.0,Cag4-3Fro;Fro3-1Cag
Cagliari,Genoa,8,3.38,0.75,0.62,Gen3-0Cag;Gen2-2Cag;Cag1-1Gen;Cag3-3Gen;Gen3-0Cag
Cagliari,Inter,9,3.0,0.67,0.33,Cag0-3Int;Int3-1Cag;Cag0-2Int;Int3-0Cag;Cag0-1Int
Cagliari,Juventus,8,2.38,0.5,0.62,Cag2-2Juv;Juv1-1Cag;Cag0-1Juv;Juv2-1Cag;Cag1-0Juv
Cagliari,Lazio,8,2.5,0.62,0.5,Cag1-3Laz;Laz2-1Cag;Cag1-2Laz;Laz2-0Cag;Cag0-0Laz
Cagliari,Lecce,7,2.29,0.29,0.57,Lec1-0Cag;Cag4-1Lec;Lec1-2Cag;Cag0-2Lec;Cag1-0Lec
Cagliari,Milan,8,3.5,0.62,0.75,Mil5-1Cag;Cag3-3Mil;Mil1-1Cag;Cag0-1Mil;Mil1-2Cag
Cagliari,Monza,4,2.25,0.5,0.5,Cag1-1Mon;Mon1-0Cag;Mon1-2Cag;Cag3-0Mon
Cagliari,Napoli,8,2.12,0.25,0.38,Cag1-1Nap;Cag0-4Nap;Nap2-0Cag;Nap1-0Cag;Cag0-1Nap
Cagliari,Parma,5,2.6,0.4,0.6,Par2-3Cag;Cag2-1Par;Cag2-0Par;Par1-1Cag;Par0-1Cag
Cagliari,Pisa,2,4.0,1.0,1.0,Cag2-2Pis;Pis3-1Cag
Cagliari,Roma,8,2.12,0.38,0.25,Rom4-0Cag;Cag0-0Rom;Rom1-0Cag;Cag1-0Rom;Rom2-0Cag
Cagliari,Salernitana,4,3.5,0.5,1.0,Cag1-1Sal;Sal1-1Cag;Sal2-2Cag;Cag4-2Sal
Cagliari,Sampdoria,2,3.5,1.0,1.0,Cag3-1Sam;Sam1-2Cag
Cagliari,Sassuolo,6,2.67,0.67,0.67,Cag1-0Sas;Cag2-1Sas;Sas0-2Cag;Cag1-2Sas;Sas2-1Cag
Cagliari,Spezia,2,3.0,0.5,0.5,Cag2-2Spe;Spe2-0Cag
Cagliari,Torino,8,2.62,0.62,0.75,Cag1-2Tor;Cag3-2Tor;Tor2-0Cag;Tor1-2Cag;Cag2-1Tor
